Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,933.4135074218314,933.4135074218314,906.3454006496862,911.5844116210938,1474131,0.0,0.0
2017-01-04,909.8381467885498,914.4415303023185,904.5992349438883,912.4577026367188,1482518,0.0,0.0
2017-01-05,915.0773084371702,917.6968647143894,908.0919915743433,910.7115478515625,2372432,0.0,0.0
2017-01-06,910.7113203629604,925.9489101923147,910.7113203629604,922.935546875,2260016,0.0,0.0
2017-01-09,922.0626102678729,925.5552183009188,894.994398382556,902.8529663085938,1947870,0.0,0.0
2017-01-10,901.1066857828355,908.0919020310236,894.9944217139815,907.21875,2559367,0.0,0.0
2017-01-11,906.3455743416397,909.8381823746856,901.1066622920707,902.8529663085938,1830972,0.0,0.0
2017-01-12,899.3600434383391,901.9908903804549,888.8820219913483,894.1210327148438,1948135,0.0,0.0
2017-01-13,894.1210251376033,897.613732232274,888.6026218731286,890.62841796875,1556257,0.0,0.0
2017-01-16,884.5165067171293,888.6884107773915,878.4043425098466,882.7702026367188,1566912,0.0,0.0
2017-01-17,880.1503966105555,895.8674286478473,872.2919305548182,890.62841796875,2899898,0.0,0.0
2017-01-18,894.9944377755904,894.9944377755904,884.5165132894263,886.2628173828125,1253986,0.0,0.0
2017-01-19,886.262696574699,889.7554042112206,861.3337993437435,862.6871948242188,2493533,0.0,0.0
2017-01-20,864.4335387109059,872.2544333307362,858.3213757148645,859.631103515625,2258505,0.0,0.0
2017-01-23,856.5751272585026,874.0383655805946,854.8287234856274,872.7286376953125,1997181,0.0,0.0
2017-01-24,878.4042828101936,879.2774347910563,861.3775194058561,862.2506713867188,1802378,0.0,0.0
2017-01-25,877.5311069344277,877.5311069344277,859.1946160580933,866.179931640625,2069040,0.0,0.0
2017-01-26,869.6726770007264,878.8408728724216,862.2506851928772,878.404296875,2038848,0.0,0.0
2017-01-27,881.8968667198624,881.8968667198624,862.6872238864411,866.179931640625,1457473,0.0,0.0
2017-01-30,860.9409790039062,865.5241777232582,853.3915815581505,860.9409790039062,1153918,0.0,0.0
