Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,304.28520629126285,308.3396221339567,302.27847016789104,304.2442626953125,14324026,0.0,0
2017-01-04,305.10426598947123,311.9025523875794,299.4117065987487,311.6977844238281,22025318,0.0,0
2017-01-05,313.3769074157673,316.2026904142896,307.41651472457465,314.8512268066406,18310312,0.0,0
2017-01-06,315.50650731046096,315.54745090721053,312.5578434578594,314.9740905761719,12651601,0.0,0
2017-01-09,316.3665306705802,316.89892242200494,311.9435472798408,316.1208190917969,13307527,0.0,0
2017-01-10,314.9331590281415,318.7418385269228,314.1550306914038,317.55419921875,23103009,0.0,0
2017-01-11,325.17153131798636,328.2021072254312,322.14095541054155,325.0486755371094,29094238,0.0,0
2017-01-12,323.53338747608416,326.6409513387753,320.2161564130564,321.076171875,24210563,0.0,0
2017-01-13,321.8542951493885,322.28347800273616,319.3151674018109,320.87139892578125,22586462,0.0,0
2017-01-16,320.70759847109446,320.70759847109446,317.6360787883956,318.2913513183594,17387665,0.0,0
2017-01-17,316.57129344944235,317.70079181445027,313.4178615943888,314.03216552734375,14856927,0.0,0
2017-01-18,316.16173603204265,316.16173603204265,310.5961317790024,311.6977844238281,19083173,0.0,0
2017-01-19,312.107331620535,313.1721400681423,307.56149265955554,309.6501159667969,18010196,0.0,0
2017-01-20,311.24730936484895,317.26749258467646,311.24730936484895,317.1036682128906,17947148,0.0,0
2017-01-23,314.4826887574202,314.8676535781174,311.57496830438146,313.3359680175781,29047084,0.0,0
2017-01-24,266.1983855093273,270.29374528639386,246.86828236235456,248.17880249023438,214275017,0.0,0
2017-01-25,248.54736159302573,257.68410703258786,243.91958566763435,247.64637756347656,90610473,0.0,0
2017-01-26,246.9501412890095,250.79978864750515,246.09012591977114,247.44158935546875,49045051,0.0,0
2017-01-27,250.79983341372463,253.87135313223322,244.53391319109394,248.0149688720703,49123499,0.0,0
2017-01-30,248.99784788640548,250.47216725045487,246.67168678068165,250.22645568847656,34021663,0.0,0
2017-01-31,249.8988551890983,254.52660667487768,248.09688691331723,248.87501525878906,46058678,0.0,0
2017-02-01,252.76564207711712,259.3018211019155,249.07981781642192,250.3084259033203,46532823,0.0,0
2017-02-02,249.32548613678557,252.1430955264461,247.89211028432825,249.9807586669922,21647702,0.0,0
2017-02-03,251.2503395446454,252.51989116411877,248.95694791072768,251.82369995117188,20244309,0.0,0
2017-02-06,251.86459079344806,255.09173584265122,250.47215866704875,251.3321990966797,21923551,0.0,0
