Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,3714.372671479227,3813.394130956968,3687.1381284847375,3719.819580078125,3489721,0.0,0
2017-01-04,3732.388484917765,3816.1870588943652,3722.751648910456,3751.2431640625,2376565,0.0,0
2017-01-05,3763.8137611607144,3838.7345306773764,3751.378181038322,3812.8359375,2296016,0.0,0
2017-01-06,3823.7294618744677,3839.925338905914,3806.969744750319,3813.254638671875,2024588,0.0,0
2017-01-09,3821.6339574307767,3881.475468250829,3806.7011988846034,3861.019287109375,3483481,0.0,0
2017-01-10,3894.5390932795317,3955.221050742563,3882.3882989056633,3905.013916015625,2846457,0.0,0
2017-01-11,3899.1476089580888,3966.4544756149708,3822.8909073859445,3835.460693359375,5454457,0.0,0
2017-01-12,3815.349859437596,3864.533658576082,3760.042789215131,3817.44482421875,5406619,0.0,0
2017-01-13,3834.2043289644753,3920.9039505973874,3774.06534039144,3862.27685546875,3560827,0.0,0
2017-01-16,3873.5891882707065,3902.6052636510885,3825.7049305283717,3834.203857421875,1535835,0.0,0
2017-01-17,3807.3879545148848,3928.4817959017446,3795.2371620992435,3796.494140625,2601103,0.0,0
2017-01-18,3817.8636332431643,3854.735011615135,3807.807802778081,3838.394287109375,2309840,0.0,0
2017-01-19,3808.6462095016677,3867.7827317273977,3741.1883393443777,3744.540283203125,4155412,0.0,0
2017-01-20,3729.036430066502,3779.29470513548,3601.243608586695,3618.84130859375,5682885,0.0,0
2017-01-23,3601.6629806050623,3676.013352796567,3557.6687259559776,3566.048583984375,5267069,0.0,0
2017-01-24,3573.1711641829775,3629.7527955664436,3517.864105825549,3532.10986328125,3077286,0.0,0
2017-01-25,3574.009271043347,3653.4292897159826,3541.3278263608872,3571.914306640625,3542769,0.0,0
2017-01-26,3590.3505206420955,3689.199302802645,3571.495838248713,3601.663330078125,2881787,0.0,0
2017-01-27,3515.3507890136602,3622.7128204996784,3466.328614721098,3552.22216796875,5450717,0.0,0
2017-01-30,3540.071036383686,3631.922545983385,3535.46211445207,3570.238525390625,2693995,0.0,0
2017-01-31,3579.0376065044557,3611.8966360180843,3491.049091242698,3514.5126953125,4270510,0.0,0
2017-02-01,3569.819596921356,3646.647920972295,3550.964915951701,3558.92578125,3630009,0.0,0
2017-02-02,3551.802915573343,3596.2161642522124,3477.641170137873,3580.29443359375,4083885,0.0,0
2017-02-03,3604.1769477805724,3732.838047649019,3587.836224580916,3651.942138671875,4284576,0.0,0
