Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,377.38009258041143,384.1005419524282,376.78929127439625,382.03271484375,30062704,0.0,0
2017-01-04,382.40199620085195,383.5407773992437,380.48188056243,383.509765625,51985767,0.0,0
2017-01-05,381.4419135377348,384.14854709402476,378.6355735277251,382.03271484375,24830093,0.0,0
2017-01-06,382.10654894603584,382.328093775739,379.00478610445623,379.96484375,17355531,0.0,0
2017-01-09,379.96486172773587,381.73731059971345,373.04574366350056,379.2263488769531,22575964,0.0,0
2017-01-10,377.0108397039348,378.3401539238838,375.533813887269,377.8970642089844,24385862,0.0,0
2017-01-11,375.3860794815295,380.7033811134892,374.1306211362224,379.0786437988281,19913918,0.0,0
2017-01-12,378.118645990663,381.7373776249726,375.18600481505933,380.6296081542969,23620003,0.0,0
2017-01-13,380.92497560833164,384.9129636209192,380.33417425560674,382.5497131347656,28300981,0.0,0
2017-01-16,382.03272629834964,382.3281494978401,378.19245008123147,378.56170654296875,19326432,0.0,0
2017-01-17,377.4540242865641,378.56177132371147,370.7335510253906,370.7335510253906,32334856,0.0,0
2017-01-18,371.5458623127719,374.352202452283,370.06883644195,373.02288818359375,27657038,0.0,0
2017-01-19,372.65362761326026,373.0044257612437,354.486205094635,368.62872314453125,28425393,0.0,0
2017-01-20,369.0718469726728,372.1366712093928,367.15394001909345,368.0379333496094,27490489,0.0,0
2017-01-23,364.8623057785172,368.03792491512456,358.2156893770556,359.7665710449219,28404349,0.0,0
2017-01-24,360.8743281970103,364.6171065685077,358.0384413331525,361.6497802734375,25028032,0.0,0
2017-01-25,362.38832128570004,364.8992608615661,360.28355482591996,360.4312438964844,21598417,0.0,0
2017-01-26,361.6128929573714,362.2406335270745,358.3634402018612,358.4742126464844,27240802,0.0,0
2017-01-27,360.2466000920019,360.50508412635673,355.4832051915754,359.5080871582031,22529929,0.0,0
2017-01-30,356.4802520415237,357.3295375267065,350.57214774442036,351.5691223144531,27283839,0.0,0
2017-01-31,351.56906890167915,354.818543801507,349.16890189563065,349.2058410644531,39307342,0.0,0
