Date,Pearson,education,Edexcel,publisher,penguin,books
2017-06-17,56,59,27,47,91,86
2017-06-18,61,55,40,46,69,90
2017-06-19,75,90,49,70,66,96
2017-06-20,76,94,64,87,70,100
2017-06-21,70,90,36,66,68,94
2017-06-22,77,84,42,71,65,98
2017-06-23,66,81,34,76,67,94
2017-06-24,63,62,19,53,68,96
2017-06-25,81,57,21,34,75,96
2017-06-26,90,80,30,68,66,96
2017-06-27,81,88,24,84,71,99
2017-06-28,84,85,22,73,67,100
2017-06-29,89,84,16,58,73,95
2017-06-30,73,74,10,59,61,89
2017-07-01,61,63,31,47,74,84
2017-07-02,59,62,23,61,76,90
2017-07-03,82,83,100,52,75,90
2017-07-04,60,76,93,65,80,84
2017-07-05,91,99,73,76,69,87
2017-07-06,79,94,94,85,69,92
2017-07-07,85,86,61,86,89,91
2017-07-08,56,69,21,48,85,87
2017-07-09,53,68,31,51,88,100
2017-07-10,93,91,61,83,81,96
2017-07-11,90,93,59,100,80,94
2017-07-12,88,100,55,77,84,96
2017-07-13,79,96,66,68,77,89
2017-07-14,77,86,52,93,76,85
2017-07-15,63,65,36,52,87,90
2017-07-16,52,64,46,41,81,96
2017-07-17,88,91,57,80,74,90
2017-07-18,87,91,60,94,76,99
2017-07-19,85,95,49,88,90,94
2017-07-20,81,94,37,76,76,96
2017-07-21,70,81,27,69,86,89
2017-07-22,58,68,33,51,77,98
2017-07-23,56,85,28,44,100,97
2017-07-24,86,91,26,82,79,93
2017-07-25,89,96,31,83,74,93
2017-07-26,86,93,28,92,80,95
2017-07-27,96,87,40,87,89,95
2017-07-28,100,80,25,71,80,91
2017-07-29,66,61,15,50,66,92
2017-07-30,64,68,23,59,78,96
2017-07-31,83,89,30,76,68,90
2017-08-01,55,86,9,73,84,93
2017-08-02,59,89,7,82,86,93
2017-08-03,54,87,8,90,86,89
2017-08-04,56,80,11,88,76,86
2017-08-05,44,64,9,44,85,85
2017-08-06,38,59,7,63,100,92
2017-08-07,54,85,9,87,71,89
2017-08-08,53,89,10,80,82,93
2017-08-09,48,88,8,79,73,90
2017-08-10,56,92,10,85,80,90
2017-08-11,58,81,10,69,86,86
2017-08-12,66,62,10,45,93,85
2017-08-13,58,62,8,59,87,95
2017-08-14,63,88,9,67,67,91
2017-08-15,78,87,18,58,90,96
2017-08-16,70,93,46,86,73,93
2017-08-17,72,93,77,74,77,93
2017-08-18,59,87,19,59,73,88
2017-08-19,40,67,12,60,85,88
2017-08-20,47,65,13,55,85,93
2017-08-21,67,89,19,73,80,90
2017-08-22,77,97,18,100,77,99
2017-08-23,89,95,54,92,85,97
2017-08-24,100,100,100,75,72,95
2017-08-25,79,81,27,89,80,90
2017-08-26,53,60,15,48,76,86
2017-08-27,60,60,12,59,78,89
2017-08-28,90,91,15,91,79,98
2017-08-29,100,99,18,92,86,100
2017-08-30,96,98,22,93,74,100
2017-08-31,94,98,18,96,81,98
2017-09-01,72,75,32,74,87,90
2017-09-02,40,51,30,50,84,88
2017-09-03,48,54,35,50,89,92
2017-09-04,64,70,61,68,93,91
2017-09-05,99,92,85,76,92,94
2017-09-06,94,100,63,93,81,96
2017-09-07,95,98,95,82,80,100
2017-09-08,77,86,69,75,80,93
2017-09-09,47,58,34,46,91,84
2017-09-10,47,68,43,42,88,93
2017-09-11,94,92,92,80,85,97
2017-09-12,90,91,89,94,82,100
2017-09-13,89,93,90,85,79,98
2017-09-14,98,94,96,98,86,93
2017-09-15,85,86,72,71,87,93
2017-09-16,52,61,42,44,92,86
2017-09-17,52,62,61,49,94,90
2017-09-18,98,91,100,77,77,99
2017-09-19,100,95,58,82,88,94
2017-09-20,94,88,67,86,89,93
