Date,bank,capital,Barclays,banking,business,London
2020-10-14,89,96,67,83,88,71
2020-10-15,90,99,67,83,95,91
2020-10-16,92,92,76,86,81,72
2020-10-17,70,71,98,67,63,74
2020-10-18,56,67,62,49,65,73
2020-10-19,93,91,86,81,88,71
2020-10-20,90,93,78,80,93,72
2020-10-21,90,96,81,79,87,74
2020-10-22,87,90,76,77,90,72
2020-10-23,90,90,88,78,81,71
2020-10-24,64,70,75,56,63,74
2020-10-25,53,66,68,45,62,79
2020-10-26,93,85,92,76,84,77
2020-10-27,92,97,86,79,87,74
2020-10-28,90,95,79,80,88,71
2020-10-29,86,94,83,83,89,75
2020-10-30,90,93,84,84,78,73
2020-10-31,73,84,75,67,61,74
2020-11-01,58,71,80,59,64,97
2020-11-02,100,90,100,97,100,94
2020-11-03,91,93,76,90,92,85
2020-11-04,74,78,63,74,75,71
2020-11-05,82,84,74,83,87,76
2020-11-06,85,84,73,87,82,77
2020-11-07,67,69,71,66,62,78
2020-11-08,52,68,70,54,68,88
2020-11-09,92,90,89,93,91,86
2020-11-10,91,90,84,90,97,82
2020-11-11,86,88,76,87,91,84
2020-11-12,93,91,82,86,96,83
2020-11-13,93,89,80,88,86,87
2020-11-14,61,67,58,55,64,89
2020-11-15,53,66,45,49,66,91
2020-11-16,88,92,84,81,92,92
2020-11-17,92,100,76,80,99,89
2020-11-18,90,89,75,80,95,91
2020-11-19,89,89,75,84,95,93
2020-11-20,89,82,85,80,85,88
2020-11-21,67,65,81,65,67,94
2020-11-22,54,63,73,50,66,100
2020-11-23,89,88,90,80,88,92
2020-11-24,89,89,85,79,94,90
2020-11-25,90,87,80,84,87,89
2020-11-26,76,76,73,78,81,100
2020-11-27,87,85,81,84,75,94
2020-11-28,66,72,74,65,70,92
2020-11-29,54,67,67,53,63,95
2020-11-30,97,90,93,100,90,93
2020-12-01,86,79,80,100,95,72
2020-12-02,80,74,72,96,98,71
2020-12-03,83,77,80,92,100,76
2020-12-04,83,75,88,92,92,76
2020-12-05,61,62,73,76,72,73
2020-12-06,45,55,71,52,68,76
2020-12-07,79,76,80,83,97,80
2020-12-08,76,71,76,77,94,78
2020-12-09,77,78,70,84,95,81
2020-12-10,82,100,66,83,99,81
2020-12-11,79,78,81,84,90,80
2020-12-12,56,62,68,62,70,82
2020-12-13,45,54,63,48,68,81
2020-12-14,79,80,81,85,93,100
2020-12-15,82,81,76,89,94,79
2020-12-16,78,80,79,83,90,73
2020-12-17,76,77,79,84,93,71
2020-12-18,79,74,81,83,82,71
2020-12-19,60,59,74,66,65,97
2020-12-20,46,53,63,50,63,90
2020-12-21,85,69,89,88,86,80
2020-12-22,82,70,75,90,85,69
2020-12-23,81,67,74,87,75,65
2020-12-24,79,57,66,78,70,64
2020-12-25,45,49,35,49,49,62
2020-12-26,54,54,60,53,57,72
2020-12-27,49,63,63,49,58,73
2020-12-28,87,66,69,83,75,71
2020-12-29,85,66,100,92,86,69
2020-12-30,100,67,92,96,79,71
2020-12-31,96,65,84,96,70,82
2021-01-01,71,38,72,69,56,100
2021-01-02,72,41,87,71,65,81
2021-01-03,53,39,68,53,66,78
2021-01-04,100,52,100,100,92,82
2021-01-05,91,51,95,90,97,76
2021-01-06,82,90,79,79,86,71
2021-01-07,83,100,83,85,90,69
2021-01-08,83,77,84,86,90,77
2021-01-09,59,56,59,59,67,75
2021-01-10,48,52,48,47,67,74
2021-01-11,79,60,83,79,90,72
2021-01-12,80,60,87,79,94,75
2021-01-13,79,59,84,76,94,74
2021-01-14,76,60,80,67,95,72
2021-01-15,78,58,85,71,89,71
2021-01-16,60,47,76,57,68,74
2021-01-17,45,42,68,43,66,70
2021-01-18,74,53,92,74,93,74
2021-01-19,78,54,93,75,97,71
2021-01-20,78,55,77,72,90,70
2021-01-21,75,55,84,74,95,70
2021-01-22,79,53,96,75,91,73
2021-01-23,59,43,74,55,69,72
2021-01-24,46,40,57,45,63,80
2021-01-25,81,54,78,78,95,70
2021-01-26,71,56,88,65,95,73
2021-01-27,79,65,96,79,98,69
2021-01-28,80,64,90,76,100,72
2021-01-29,83,62,96,84,88,73
2021-01-30,63,48,72,67,65,67
2021-01-31,49,48,70,53,66,69
2021-02-01,100,93,89,100,96,93
2021-02-02,94,98,100,95,100,92
2021-02-03,91,100,90,92,100,90
2021-02-04,93,96,91,87,99,94
2021-02-05,91,95,88,91,88,93
2021-02-06,72,76,79,70,68,93
2021-02-07,53,69,71,52,67,100
2021-02-08,90,93,90,84,95,97
2021-02-09,87,92,83,84,99,90
2021-02-10,87,95,85,84,99,99
2021-02-11,83,96,71,80,97,93
2021-02-12,85,96,85,81,87,96
2021-02-13,64,76,76,60,65,89
2021-02-14,50,67,60,46,63,92
2021-02-15,87,85,92,80,88,92
2021-02-16,87,90,81,78,91,94
2021-02-17,88,94,79,84,97,91
2021-02-18,86,93,83,78,96,95
2021-02-19,90,94,86,80,89,94
2021-02-20,69,74,73,64,68,93
2021-02-21,52,71,70,49,68,96
2021-02-22,91,93,90,82,95,99
2021-02-23,88,95,88,79,96,95
2021-02-24,89,96,75,81,99,94
2021-02-25,89,94,75,85,98,92
2021-02-26,96,94,92,99,89,94
2021-02-27,69,76,74,68,68,97
2021-02-28,56,69,73,55,67,94
2021-03-01,98,97,93,96,96,86
2021-03-02,92,96,93,89,95,87
2021-03-03,90,95,89,86,100,86
2021-03-04,88,100,90,87,98,90
2021-03-05,89,96,91,92,85,84
2021-03-06,67,75,74,66,66,86
2021-03-07,51,74,66,51,67,88
2021-03-08,88,89,93,84,90,84
2021-03-09,90,95,77,86,95,86
2021-03-10,86,94,82,79,94,88
2021-03-11,80,91,75,74,96,93
2021-03-12,90,97,86,81,86,87
2021-03-13,78,80,73,64,70,93
2021-03-14,59,71,66,50,66,96
2021-03-15,89,97,84,73,91,89
2021-03-16,90,97,76,72,95,89
2021-03-17,100,98,83,79,95,88
2021-03-18,92,100,82,76,90,88
2021-03-19,86,93,90,77,83,87
2021-03-20,69,76,73,64,67,93
2021-03-21,54,70,58,44,64,91
2021-03-22,89,95,81,75,94,90
2021-03-23,85,95,93,79,91,89
2021-03-24,86,93,87,76,97,87
2021-03-25,88,97,83,81,94,91
2021-03-26,88,93,85,79,81,92
2021-03-27,66,73,66,59,66,94
2021-03-28,52,69,48,45,64,100
2021-03-29,79,93,79,68,87,98
2021-03-30,91,100,87,88,93,93
2021-03-31,97,96,100,100,100,97
2021-04-01,100,81,93,100,90,85
2021-04-02,88,85,62,73,79,85
2021-04-03,73,71,65,72,63,85
2021-04-04,50,63,49,50,63,84
2021-04-05,89,83,53,85,84,85
2021-04-06,86,88,91,88,96,88
2021-04-07,88,89,85,87,98,87
2021-04-08,84,89,80,84,96,89
2021-04-09,85,87,79,78,87,90
2021-04-10,63,69,69,57,69,87
2021-04-11,51,68,60,47,72,92
2021-04-12,88,86,81,82,95,100
2021-04-13,82,88,70,71,95,98
2021-04-14,74,88,80,67,96,89
2021-04-15,84,94,76,77,98,91
2021-04-16,83,89,79,74,89,89
2021-04-17,62,68,59,58,68,96
2021-04-18,50,68,51,44,67,93
2021-04-19,84,92,84,74,100,93
2021-04-20,80,89,76,73,98,91
2021-04-21,77,86,71,67,100,96
2021-04-22,78,100,82,68,97,90
2021-04-23,79,100,83,70,89,94
2021-04-24,58,71,72,53,68,96
2021-04-25,47,70,57,42,67,93
2021-04-26,83,94,76,71,94,95
2021-04-27,80,94,83,71,99,91
2021-04-28,79,92,71,76,99,94
2021-04-29,81,93,75,78,100,90
2021-04-30,88,89,100,89,87,94
2021-05-01,70,64,76,72,63,66
2021-05-02,59,60,58,58,63,67
2021-05-03,100,100,60,98,89,69
2021-05-04,88,88,100,96,96,66
2021-05-05,91,85,81,96,100,68
2021-05-06,89,86,91,97,94,75
2021-05-07,94,82,93,96,88,90
2021-05-08,67,62,91,69,65,100
2021-05-09,53,61,64,56,62,79
2021-05-10,95,80,88,100,93,71
2021-05-11,88,83,85,88,90,66
2021-05-12,85,81,88,83,93,67
2021-05-13,76,81,88,76,89,65
2021-05-14,82,84,87,77,85,65
2021-05-15,66,67,74,69,68,71
2021-05-16,53,60,63,52,67,69
2021-05-17,88,77,77,82,90,71
2021-05-18,86,87,90,82,95,69
2021-05-19,82,81,82,79,98,67
2021-05-20,84,80,89,82,93,71
2021-05-21,87,80,82,81,84,70
2021-05-22,63,64,59,58,64,69
2021-05-23,52,55,64,49,63,70
2021-05-24,84,77,98,76,90,71
2021-05-25,88,77,81,86,95,71
2021-05-26,82,80,80,81,92,70
2021-05-27,85,81,77,86,92,64
2021-05-28,92,82,76,90,83,72
2021-05-29,69,60,52,71,65,73
2021-05-30,57,60,37,53,67,71
2021-05-31,88,68,47,100,77,66
2021-06-01,95,95,100,92,91,84
2021-06-02,93,99,76,85,99,88
2021-06-03,93,98,83,79,96,88
2021-06-04,91,94,81,77,85,93
2021-06-05,71,76,56,67,66,87
2021-06-06,55,71,45,50,66,89
2021-06-07,91,94,87,84,91,92
2021-06-08,92,93,76,79,95,95
2021-06-09,88,94,79,78,95,88
2021-06-10,91,95,86,80,98,86
2021-06-11,89,91,74,77,83,84
2021-06-12,64,74,58,57,66,84
2021-06-13,52,69,46,46,63,87
2021-06-14,91,96,85,79,91,85
2021-06-15,89,96,74,81,92,85
2021-06-16,85,100,82,80,100,86
2021-06-17,86,92,83,78,90,85
2021-06-18,85,93,84,76,84,92
2021-06-19,66,68,55,57,62,86
2021-06-20,52,64,50,44,60,85
2021-06-21,88,88,81,75,90,85
2021-06-22,86,93,74,79,93,84
2021-06-23,85,95,79,75,95,81
2021-06-24,87,92,79,79,94,85
2021-06-25,90,91,89,83,85,86
2021-06-26,66,75,55,61,65,98
2021-06-27,55,72,47,45,64,98
2021-06-28,92,89,93,83,93,100
2021-06-29,90,91,75,85,91,92
2021-06-30,100,97,90,100,99,90
