Date,spill,BP,gas,British Petroleum,oil,petroleum
2019-01-03,75,94,91,69,96,78
2019-01-04,58,89,91,53,95,81
2019-01-05,60,93,88,39,100,61
2019-01-06,62,84,78,19,97,56
2019-01-07,83,96,88,68,94,100
2019-01-08,79,88,84,33,94,89
2019-01-09,87,97,89,85,94,90
2019-01-10,96,93,90,51,93,96
2019-01-11,82,95,92,88,95,94
2019-01-12,74,84,83,0,95,69
2019-01-13,67,84,81,56,94,57
2019-01-14,64,87,85,16,88,87
2019-01-15,84,90,90,49,90,95
2019-01-16,81,93,89,0,91,100
2019-01-17,65,92,88,17,91,89
2019-01-18,72,91,89,86,91,85
2019-01-19,72,89,83,0,95,59
2019-01-20,59,87,80,18,90,60
2019-01-21,79,94,94,100,92,76
2019-01-22,100,90,97,65,93,87
2019-01-23,73,90,90,49,90,90
2019-01-24,85,93,87,0,93,82
2019-01-25,61,93,86,17,90,71
2019-01-26,61,91,80,57,93,51
2019-01-27,50,82,81,19,94,52
2019-01-28,63,89,92,81,94,96
2019-01-29,80,89,92,82,94,87
2019-01-30,86,96,95,98,89,85
2019-01-31,92,96,100,0,91,83
2019-02-01,66,94,100,86,99,76
2019-02-02,68,89,87,0,100,56
2019-02-03,55,86,85,75,95,68
2019-02-04,71,97,93,17,94,100
2019-02-05,79,100,97,100,93,98
2019-02-06,62,96,93,33,94,95
2019-02-07,66,91,92,33,97,92
2019-02-08,87,90,93,17,95,82
2019-02-09,55,84,87,56,97,58
2019-02-10,61,81,83,18,91,59
2019-02-11,60,89,92,49,91,83
2019-02-12,74,89,94,16,92,87
2019-02-13,65,89,90,97,88,87
2019-02-14,67,93,91,50,86,75
2019-02-15,70,86,87,51,87,77
2019-02-16,66,88,84,19,96,54
2019-02-17,54,82,84,19,93,48
2019-02-18,53,91,91,66,95,86
2019-02-19,61,87,96,65,93,85
2019-02-20,63,92,92,82,93,86
2019-02-21,75,97,93,66,91,91
2019-02-22,66,95,89,51,93,73
2019-02-23,52,90,85,38,96,57
2019-02-24,55,87,83,19,95,55
2019-02-25,73,94,95,33,94,87
2019-02-26,72,89,92,49,92,92
2019-02-27,100,88,96,95,89,93
2019-02-28,72,92,94,83,88,76
2019-03-01,75,93,100,39,91,64
2019-03-02,75,87,87,11,95,51
2019-03-03,59,91,86,21,93,67
2019-03-04,71,97,98,29,92,79
2019-03-05,69,96,99,67,92,78
2019-03-06,77,92,96,37,92,93
2019-03-07,82,94,95,10,89,90
2019-03-08,79,92,92,10,90,77
2019-03-09,60,89,86,22,94,62
2019-03-10,75,83,85,21,89,56
2019-03-11,77,90,100,9,96,81
2019-03-12,81,91,99,37,92,86
2019-03-13,97,87,95,37,88,81
2019-03-14,91,96,95,9,88,72
2019-03-15,75,90,94,19,89,72
2019-03-16,72,89,89,22,100,66
2019-03-17,64,85,86,22,91,54
2019-03-18,99,93,95,19,95,75
2019-03-19,94,94,98,100,93,91
2019-03-20,91,92,96,38,88,88
2019-03-21,100,94,96,29,91,86
2019-03-22,90,93,99,20,93,73
2019-03-23,67,92,93,0,98,46
2019-03-24,65,88,87,29,98,53
2019-03-25,81,94,100,9,95,100
2019-03-26,85,91,97,19,91,84
2019-03-27,99,96,97,48,91,76
2019-03-28,83,97,98,10,93,84
2019-03-29,93,100,95,0,89,74
2019-03-30,84,89,91,0,98,50
2019-03-31,62,92,93,22,92,57
2019-04-01,61,94,100,74,91,79
2019-04-02,75,96,94,56,93,97
2019-04-03,75,90,95,37,90,92
2019-04-04,66,92,94,38,96,93
2019-04-05,78,97,93,78,91,80
2019-04-06,52,84,87,21,99,46
2019-04-07,53,85,87,21,97,56
2019-04-08,60,88,97,93,94,100
2019-04-09,66,98,94,73,93,91
2019-04-10,71,90,100,37,91,92
2019-04-11,68,91,96,76,92,87
2019-04-12,75,93,94,59,92,90
2019-04-13,60,86,89,22,95,63
2019-04-14,52,85,82,21,89,54
2019-04-15,62,90,97,19,90,69
2019-04-16,71,88,92,75,91,90
2019-04-17,74,95,97,39,95,85
2019-04-18,67,96,94,60,95,80
2019-04-19,56,96,91,85,95,57
2019-04-20,59,91,90,0,100,47
2019-04-21,55,93,88,0,89,48
2019-04-22,74,91,96,100,98,77
2019-04-23,82,91,98,37,91,77
2019-04-24,71,94,98,38,96,100
2019-04-25,100,92,96,0,93,74
2019-04-26,75,96,92,78,92,85
2019-04-27,53,89,88,0,94,52
2019-04-28,50,85,89,0,96,57
2019-04-29,80,91,94,37,93,69
2019-04-30,74,100,96,57,93,95
2019-05-01,81,99,98,18,100,89
2019-05-02,77,95,94,50,97,88
2019-05-03,74,86,97,34,100,85
2019-05-04,56,89,90,38,97,54
2019-05-05,80,91,86,0,97,50
2019-05-06,81,92,98,17,96,79
2019-05-07,90,89,95,66,96,85
2019-05-08,84,93,95,50,94,80
2019-05-09,65,97,93,66,96,100
2019-05-10,79,92,97,35,96,71
2019-05-11,81,96,89,39,99,57
2019-05-12,76,89,87,0,92,55
2019-05-13,88,88,98,100,97,81
2019-05-14,76,92,96,50,98,87
2019-05-15,86,95,98,33,99,87
2019-05-16,100,93,96,50,95,81
2019-05-17,73,93,94,52,93,81
2019-05-18,66,93,91,0,100,50
2019-05-19,60,90,87,0,100,54
2019-05-20,85,97,97,50,94,80
2019-05-21,63,96,97,49,97,89
2019-05-22,84,95,97,16,94,73
2019-05-23,64,88,94,48,94,73
2019-05-24,72,100,96,35,97,72
2019-05-25,74,91,93,19,99,54
2019-05-26,67,84,90,19,93,55
2019-05-27,76,98,95,67,91,68
2019-05-28,64,91,97,49,94,81
2019-05-29,91,95,94,0,95,80
2019-05-30,89,96,100,67,98,84
2019-05-31,78,95,97,51,97,83
2019-06-01,80,91,94,19,98,65
2019-06-02,62,84,94,36,92,55
2019-06-03,94,93,100,65,88,80
2019-06-04,100,96,95,16,90,86
2019-06-05,77,91,94,0,86,70
2019-06-06,83,97,95,33,88,78
2019-06-07,95,98,97,51,90,81
2019-06-08,79,93,93,0,92,49
2019-06-09,76,87,91,37,89,67
2019-06-10,82,97,98,64,85,87
2019-06-11,97,95,94,48,88,100
2019-06-12,84,97,94,66,87,79
2019-06-13,87,95,98,48,100,94
2019-06-14,86,94,99,33,97,92
2019-06-15,64,94,94,75,95,63
2019-06-16,69,87,87,55,86,59
2019-06-17,76,98,95,66,90,98
2019-06-18,67,95,92,16,88,99
2019-06-19,93,100,93,81,93,91
2019-06-20,94,92,93,100,93,81
2019-06-21,90,92,95,34,93,71
2019-06-22,74,91,94,0,97,55
2019-06-23,70,89,91,38,91,59
2019-06-24,72,93,96,33,94,88
2019-06-25,72,96,95,49,90,99
2019-06-26,91,94,97,16,93,95
2019-06-27,74,93,96,80,89,80
2019-06-28,87,98,96,87,88,96
2019-06-29,85,92,98,76,96,54
2019-06-30,62,92,98,0,89,60
2019-07-01,87,100,100,78,91,84
2019-07-02,77,95,92,19,87,89
2019-07-03,88,92,89,78,92,82
2019-07-04,72,91,92,40,85,73
2019-07-05,52,99,92,62,85,84
2019-07-06,77,87,91,45,92,53
2019-07-07,76,86,84,44,90,71
2019-07-08,66,99,91,39,92,88
2019-07-09,87,91,91,97,90,84
2019-07-10,66,92,85,19,86,84
2019-07-11,80,98,91,58,90,83
2019-07-12,86,94,91,41,93,78
2019-07-13,75,89,91,0,96,71
2019-07-14,85,87,82,22,93,55
2019-07-15,86,92,91,39,90,91
2019-07-16,91,94,90,19,94,99
2019-07-17,74,98,90,78,93,100
2019-07-18,100,98,90,40,94,78
2019-07-19,79,93,92,63,95,78
2019-07-20,84,91,86,0,100,60
2019-07-21,80,87,86,0,97,69
2019-07-22,89,98,86,20,90,87
2019-07-23,77,99,89,98,91,80
2019-07-24,70,95,87,100,90,82
2019-07-25,78,94,89,62,93,97
2019-07-26,66,96,89,41,92,73
2019-07-27,73,91,88,23,97,66
2019-07-28,73,91,83,23,97,61
2019-07-29,76,94,90,60,89,78
2019-07-30,65,93,90,79,91,90
2019-07-31,74,90,87,40,90,87
2019-08-01,73,93,91,34,94,93
2019-08-02,100,91,92,36,94,73
2019-08-03,63,86,92,65,97,70
2019-08-04,75,84,88,26,93,64
2019-08-05,69,86,91,34,93,95
2019-08-06,60,96,91,23,92,89
2019-08-07,61,93,89,34,89,85
2019-08-08,68,90,89,23,95,94
2019-08-09,69,91,92,24,95,86
2019-08-10,75,84,89,27,97,60
2019-08-11,62,83,88,26,95,53
2019-08-12,81,86,92,57,96,93
2019-08-13,73,94,92,45,96,85
2019-08-14,84,84,89,43,94,88
2019-08-15,78,83,86,35,92,75
2019-08-16,86,99,90,47,97,74
2019-08-17,81,89,88,38,100,51
2019-08-18,76,95,87,64,94,68
2019-08-19,84,100,92,33,98,89
2019-08-20,81,92,90,22,96,87
2019-08-21,73,99,93,100,94,100
2019-08-22,99,90,89,45,95,100
2019-08-23,94,96,90,47,95,83
2019-08-24,68,85,88,38,97,65
2019-08-25,66,86,88,0,96,65
2019-08-26,79,87,91,44,94,87
2019-08-27,88,91,90,55,91,98
2019-08-28,71,95,91,44,92,88
2019-08-29,83,93,98,11,91,94
2019-08-30,90,93,100,11,94,84
2019-08-31,89,87,94,12,95,69
2019-09-01,46,85,83,0,68,48
2019-09-02,70,86,92,62,68,65
2019-09-03,75,90,94,29,69,78
2019-09-04,68,86,89,44,69,80
2019-09-05,78,87,88,15,66,76
2019-09-06,86,87,87,46,72,70
2019-09-07,55,85,83,0,74,57
2019-09-08,69,80,81,17,71,53
2019-09-09,77,90,92,0,71,84
2019-09-10,70,89,88,87,69,76
2019-09-11,85,91,86,73,69,86
2019-09-12,82,88,89,74,69,84
2019-09-13,86,89,88,30,68,75
2019-09-14,70,85,83,0,79,55
2019-09-15,73,85,84,67,83,59
2019-09-16,71,100,100,73,100,100
2019-09-17,92,92,98,15,85,91
2019-09-18,100,93,90,58,75,98
2019-09-19,80,86,91,29,73,84
2019-09-20,88,94,89,45,73,77
2019-09-21,64,85,86,33,75,64
2019-09-22,61,79,86,33,74,51
2019-09-23,67,87,90,57,70,72
2019-09-24,71,91,89,29,72,73
2019-09-25,68,91,91,43,68,83
2019-09-26,80,94,89,30,72,87
2019-09-27,71,94,93,46,69,81
2019-09-28,57,85,87,34,74,56
2019-09-29,68,82,84,100,70,56
2019-09-30,66,90,92,29,69,76
2019-10-01,82,85,92,50,90,83
2019-10-02,86,78,88,49,90,73
2019-10-03,100,84,89,63,93,86
2019-10-04,86,78,87,26,89,80
2019-10-05,83,78,80,44,100,54
2019-10-06,71,76,78,43,94,69
2019-10-07,86,83,88,50,94,84
2019-10-08,96,82,91,38,92,73
2019-10-09,92,88,100,25,93,87
2019-10-10,93,82,92,63,91,100
2019-10-11,91,86,91,26,95,74
2019-10-12,91,85,84,29,99,59
2019-10-13,84,80,83,29,95,53
2019-10-14,72,88,90,38,95,89
2019-10-15,95,83,90,25,91,79
2019-10-16,91,86,91,50,92,87
2019-10-17,93,85,89,100,95,81
2019-10-18,96,89,88,13,97,67
2019-10-19,67,84,84,28,98,51
2019-10-20,82,84,82,14,97,53
2019-10-21,85,86,93,49,94,82
2019-10-22,94,86,88,24,94,82
2019-10-23,100,84,90,25,94,92
2019-10-24,96,86,86,61,94,79
2019-10-25,96,87,88,26,91,82
2019-10-26,59,88,79,0,95,59
2019-10-27,62,74,76,14,91,51
2019-10-28,92,85,87,85,89,77
2019-10-29,98,95,94,25,93,96
2019-10-30,85,94,88,74,93,89
2019-10-31,92,100,85,13,89,89
2019-11-01,89,90,98,53,91,76
2019-11-02,81,91,88,19,96,47
2019-11-03,60,88,85,55,94,67
2019-11-04,81,100,97,50,99,97
2019-11-05,90,95,95,97,97,96
2019-11-06,87,94,94,49,95,81
2019-11-07,89,95,95,17,91,88
2019-11-08,70,91,99,17,94,70
2019-11-09,62,87,89,0,99,54
2019-11-10,68,82,87,18,93,50
2019-11-11,65,91,97,82,94,76
2019-11-12,84,95,98,49,91,88
2019-11-13,72,96,98,66,96,76
2019-11-14,100,94,93,82,93,86
2019-11-15,75,95,94,0,95,78
2019-11-16,70,92,87,0,100,63
2019-11-17,68,91,90,37,95,75
2019-11-18,84,99,96,99,95,100
2019-11-19,88,96,100,100,94,79
2019-11-20,91,94,94,34,94,92
2019-11-21,81,94,96,17,91,91
2019-11-22,85,96,93,34,95,93
2019-11-23,58,92,83,0,96,51
2019-11-24,59,86,82,19,95,57
2019-11-25,64,91,92,49,91,72
2019-11-26,70,92,95,50,94,80
2019-11-27,78,89,89,50,92,68
2019-11-28,77,91,87,17,82,65
2019-11-29,78,92,87,50,85,55
2019-11-30,62,92,84,18,91,58
2019-12-01,58,83,89,17,90,59
2019-12-02,69,89,100,45,87,96
2019-12-03,73,89,96,75,89,90
2019-12-04,85,86,93,45,89,100
2019-12-05,86,86,93,31,91,100
2019-12-06,90,87,88,48,92,76
2019-12-07,75,80,84,18,90,59
2019-12-08,65,78,76,18,89,74
2019-12-09,78,92,91,31,89,80
2019-12-10,84,92,90,47,85,81
2019-12-11,91,88,91,61,85,93
2019-12-12,100,85,91,46,87,93
2019-12-13,79,90,88,0,90,83
2019-12-14,68,84,83,0,90,63
2019-12-15,80,88,81,35,89,56
2019-12-16,79,88,95,45,88,68
2019-12-17,100,88,91,46,90,81
2019-12-18,83,86,84,30,85,80
2019-12-19,75,86,88,63,86,75
2019-12-20,87,94,87,33,87,71
2019-12-21,56,84,84,53,91,51
2019-12-22,67,84,76,18,86,44
2019-12-23,66,96,86,33,94,69
2019-12-24,77,99,84,0,90,73
2019-12-25,81,100,89,38,75,36
2019-12-26,61,90,84,51,89,61
2019-12-27,57,87,90,100,94,75
2019-12-28,75,85,84,18,100,58
2019-12-29,63,89,79,0,90,54
2019-12-30,75,92,90,0,96,79
2019-12-31,53,93,90,18,92,71
2020-01-01,65,94,89,84,79,51
2020-01-02,70,92,96,24,91,79
2020-01-03,60,96,99,23,95,84
2020-01-04,54,83,91,100,98,55
2020-01-05,58,84,87,51,94,59
2020-01-06,56,88,98,46,96,82
2020-01-07,74,94,100,68,97,100
2020-01-08,61,93,100,68,100,94
2020-01-09,84,92,94,45,95,90
2020-01-10,76,94,93,68,88,73
2020-01-11,56,90,89,51,95,55
2020-01-12,58,85,87,75,92,56
2020-01-13,71,91,98,83,88,96
2020-01-14,68,86,99,59,88,95
2020-01-15,65,86,98,22,89,78
2020-01-16,74,92,95,67,88,89
2020-01-17,71,92,96,0,88,76
2020-01-18,71,92,88,76,93,63
2020-01-19,55,85,86,25,89,59
2020-01-20,68,98,99,67,93,75
2020-01-21,74,96,100,89,89,90
2020-01-22,64,97,96,22,87,90
2020-01-23,81,100,98,44,86,92
2020-01-24,100,87,95,45,87,70
2020-01-25,65,88,90,51,92,54
2020-01-26,52,82,84,24,86,55
2020-01-27,75,95,94,21,84,89
2020-01-28,82,94,95,87,81,97
2020-01-29,71,94,96,66,83,82
2020-01-30,75,93,97,45,86,96
2020-01-31,76,96,93,68,85,79
2020-02-01,87,91,92,46,96,55
2020-02-02,67,86,85,23,92,51
2020-02-03,93,97,97,37,88,78
2020-02-04,96,98,98,20,92,85
2020-02-05,89,96,95,72,92,79
2020-02-06,88,97,95,62,89,83
2020-02-07,77,99,95,21,88,75
2020-02-08,66,88,87,23,96,58
2020-02-09,61,88,87,11,93,43
2020-02-10,81,98,99,30,92,80
2020-02-11,79,95,97,49,89,84
2020-02-12,96,96,100,100,92,100
2020-02-13,83,98,97,30,93,84
2020-02-14,80,93,92,63,86,66
2020-02-15,79,94,92,57,97,73
2020-02-16,79,90,87,45,93,54
2020-02-17,79,92,97,40,92,73
2020-02-18,100,93,94,39,90,87
2020-02-19,85,100,98,40,90,80
2020-02-20,91,92,95,40,90,76
2020-02-21,97,91,95,31,92,72
2020-02-22,89,89,89,56,96,53
2020-02-23,86,86,87,33,95,46
2020-02-24,88,96,96,40,95,85
2020-02-25,89,92,95,30,95,84
2020-02-26,81,95,97,10,93,89
2020-02-27,93,92,100,48,93,84
2020-02-28,76,99,96,81,96,79
2020-02-29,74,90,89,55,100,48
2020-03-01,85,83,84,52,56,51
2020-03-02,91,93,92,35,55,64
2020-03-03,88,83,88,58,55,72
2020-03-04,83,86,88,57,54,66
2020-03-05,82,87,88,24,55,68
2020-03-06,90,89,87,36,58,65
2020-03-07,56,81,82,27,60,45
2020-03-08,70,82,80,40,60,42
2020-03-09,87,100,100,92,100,91
2020-03-10,94,93,91,81,75,100
2020-03-11,65,94,92,46,64,79
2020-03-12,97,93,90,34,62,83
2020-03-13,100,93,90,59,59,71
2020-03-14,83,88,88,13,61,60
2020-03-15,79,78,87,13,58,50
2020-03-16,70,90,90,45,60,79
2020-03-17,76,91,87,80,56,70
2020-03-18,85,90,94,23,66,81
2020-03-19,85,98,96,57,66,66
2020-03-20,82,89,94,23,60,60
2020-03-21,62,77,88,0,60,45
2020-03-22,71,78,81,38,55,43
2020-03-23,82,86,90,43,57,63
2020-03-24,82,84,89,100,53,62
2020-03-25,81,86,90,68,53,77
2020-03-26,97,83,95,69,55,69
2020-03-27,75,81,94,11,56,62
2020-03-28,76,74,89,12,58,51
2020-03-29,84,74,85,50,59,41
2020-03-30,71,83,95,43,62,67
2020-03-31,76,82,96,0,59,64
2020-04-01,32,89,91,18,36,88
2020-04-02,32,90,89,74,40,88
2020-04-03,31,90,87,47,40,65
2020-04-04,30,83,88,31,39,45
2020-04-05,24,82,82,11,39,42
2020-04-06,37,94,86,64,39,62
2020-04-07,32,93,87,47,37,63
2020-04-08,36,88,88,57,38,57
2020-04-09,34,95,87,19,42,68
2020-04-10,24,92,87,0,41,47
2020-04-11,28,77,85,43,42,37
2020-04-12,28,77,76,64,38,39
2020-04-13,22,80,85,29,40,57
2020-04-14,37,90,84,74,38,65
2020-04-15,26,87,86,47,40,67
2020-04-16,31,88,85,37,38,62
2020-04-17,34,90,87,19,42,74
2020-04-18,33,74,84,21,42,48
2020-04-19,27,76,80,32,40,36
2020-04-20,34,100,98,100,100,91
2020-04-21,40,99,100,91,86,98
2020-04-22,37,96,89,47,56,88
2020-04-23,30,88,84,27,45,100
2020-04-24,31,88,84,47,43,83
2020-04-25,31,78,80,42,42,53
2020-04-26,37,73,79,32,43,45
2020-04-27,99,92,84,66,44,75
2020-04-28,37,91,85,55,42,69
2020-04-29,31,92,82,46,41,73
2020-04-30,100,92,86,88,41,92
2020-05-01,30,90,64,55,97,94
2020-05-02,29,90,64,14,100,71
2020-05-03,31,89,62,15,95,62
2020-05-04,35,100,62,76,96,91
2020-05-05,100,94,62,95,95,98
2020-05-06,33,93,60,100,95,100
2020-05-07,98,100,100,26,92,77
2020-05-08,31,95,67,53,91,92
2020-05-09,32,85,62,73,93,57
2020-05-10,38,84,56,15,88,51
2020-05-11,40,88,60,51,89,81
2020-05-12,38,93,59,13,90,87
2020-05-13,32,88,61,52,91,95
2020-05-14,38,92,56,13,89,84
2020-05-15,37,93,59,79,90,82
2020-05-16,32,86,57,59,96,60
2020-05-17,35,82,57,15,97,60
2020-05-18,35,94,59,78,94,89
2020-05-19,33,93,59,77,91,83
2020-05-20,35,91,58,65,91,92
2020-05-21,36,90,61,40,93,97
2020-05-22,26,94,59,26,88,66
2020-05-23,33,81,60,15,98,70
2020-05-24,30,84,58,45,89,46
2020-05-25,29,93,60,28,89,53
2020-05-26,35,96,59,0,89,72
2020-05-27,34,100,61,27,92,88
2020-05-28,30,96,61,79,92,87
2020-05-29,29,93,62,27,88,78
2020-05-30,27,94,63,0,92,60
2020-05-31,27,87,63,0,85,60
2020-06-01,31,85,99,15,84,60
2020-06-02,29,83,100,23,84,62
2020-06-03,32,80,98,22,88,64
2020-06-04,100,80,98,7,91,58
2020-06-05,94,88,98,30,92,77
2020-06-06,84,76,98,0,98,55
2020-06-07,70,80,90,26,98,42
2020-06-08,41,100,96,72,95,100
2020-06-09,40,88,91,100,92,92
2020-06-10,43,88,90,23,92,90
2020-06-11,40,80,89,47,93,83
2020-06-12,37,85,87,16,92,70
2020-06-13,28,80,90,18,100,43
2020-06-14,34,79,86,27,91,42
2020-06-15,32,90,87,54,92,69
2020-06-16,36,88,88,38,90,69
2020-06-17,29,84,87,23,89,64
2020-06-18,39,83,86,39,91,62
2020-06-19,29,86,85,24,89,64
2020-06-20,27,80,87,36,94,46
2020-06-21,27,78,80,45,86,41
2020-06-22,28,85,86,32,87,61
2020-06-23,33,90,85,47,88,65
2020-06-24,26,89,84,24,90,71
2020-06-25,31,85,87,16,89,73
2020-06-26,29,89,87,16,89,60
2020-06-27,26,82,83,18,95,38
2020-06-28,32,79,86,27,93,45
2020-06-29,28,90,90,24,90,67
2020-06-30,28,91,86,0,88,58
2020-07-01,86,100,100,71,91,84
2020-07-02,83,98,92,100,92,88
2020-07-03,81,97,97,44,94,65
2020-07-04,72,89,96,33,91,54
2020-07-05,82,90,92,16,91,52
2020-07-06,80,97,97,57,94,83
2020-07-07,80,96,92,28,92,82
2020-07-08,76,99,90,57,92,87
2020-07-09,97,93,90,87,91,85
2020-07-10,83,98,92,45,94,85
2020-07-11,83,92,89,33,100,70
2020-07-12,88,88,89,0,92,54
2020-07-13,88,93,90,58,93,93
2020-07-14,94,94,90,58,90,81
2020-07-15,100,99,88,73,91,81
2020-07-16,95,97,92,74,90,82
2020-07-17,88,96,92,61,93,74
2020-07-18,98,88,94,17,96,72
2020-07-19,91,85,91,17,94,55
2020-07-20,92,94,92,44,91,84
2020-07-21,76,97,93,60,96,96
2020-07-22,92,99,89,44,91,100
2020-07-23,78,97,92,15,93,79
2020-07-24,72,97,93,31,91,92
2020-07-25,80,94,94,34,95,65
2020-07-26,83,87,87,34,92,75
2020-07-27,81,96,95,30,92,83
2020-07-28,86,94,89,44,91,87
2020-07-29,81,93,90,30,90,87
2020-07-30,99,96,88,60,87,80
2020-07-31,90,100,94,0,92,79
2020-08-01,46,80,94,40,99,47
2020-08-02,53,80,92,13,96,65
2020-08-03,52,91,96,23,88,72
2020-08-04,56,100,94,11,92,96
2020-08-05,58,96,95,100,88,100
2020-08-06,56,93,97,68,91,85
2020-08-07,69,88,93,46,93,77
2020-08-08,80,80,93,13,98,63
2020-08-09,98,87,90,26,100,54
2020-08-10,97,93,100,79,94,93
2020-08-11,100,91,93,11,92,90
2020-08-12,82,88,89,22,90,90
2020-08-13,86,93,95,57,89,91
2020-08-14,67,86,92,46,88,89
2020-08-15,78,79,90,0,98,64
2020-08-16,78,83,91,39,95,51
2020-08-17,81,87,95,11,90,93
2020-08-18,81,87,90,56,88,89
2020-08-19,81,83,90,22,89,91
2020-08-20,72,82,94,46,93,79
2020-08-21,74,85,94,58,89,79
2020-08-22,69,77,91,26,99,48
2020-08-23,54,77,90,0,93,50
2020-08-24,63,84,95,44,90,96
2020-08-25,74,83,92,33,88,85
2020-08-26,67,88,97,67,91,90
2020-08-27,74,88,95,34,92,91
2020-08-28,62,88,94,12,86,93
2020-08-29,57,79,95,51,99,56
2020-08-30,61,80,92,0,95,57
2020-08-31,76,84,94,44,87,78
2020-09-01,100,95,100,61,94,67
2020-09-02,75,97,95,30,92,100
2020-09-03,80,85,98,10,95,78
2020-09-04,76,91,93,42,93,68
2020-09-05,55,90,89,46,100,48
2020-09-06,52,89,87,47,94,41
2020-09-07,71,95,95,10,95,61
2020-09-08,71,90,94,40,93,65
2020-09-09,72,87,92,30,96,68
2020-09-10,86,89,95,70,95,65
2020-09-11,83,92,87,62,93,69
2020-09-12,63,89,86,0,100,46
2020-09-13,62,89,84,12,98,42
2020-09-14,68,92,95,30,92,64
2020-09-15,70,95,92,10,92,73
2020-09-16,70,92,90,41,93,70
2020-09-17,68,93,94,30,93,66
2020-09-18,92,94,90,21,94,67
2020-09-19,66,87,90,0,99,44
2020-09-20,65,84,85,35,94,42
2020-09-21,54,91,91,39,93,74
2020-09-22,71,92,94,29,93,63
2020-09-23,69,88,93,0,96,72
2020-09-24,76,95,98,100,97,77
2020-09-25,74,100,94,0,93,59
2020-09-26,66,91,86,12,99,44
2020-09-27,54,84,83,23,93,48
2020-09-28,63,92,97,31,91,78
2020-09-29,77,95,94,41,89,69
2020-09-30,58,94,93,40,87,69
2020-10-01,77,89,98,73,90,83
2020-10-02,86,93,90,38,93,78
2020-10-03,66,92,91,42,100,59
2020-10-04,60,82,86,62,91,66
2020-10-05,66,91,97,55,93,82
2020-10-06,78,92,92,54,89,85
2020-10-07,75,91,100,92,91,93
2020-10-08,80,100,98,37,93,95
2020-10-09,73,99,93,100,91,77
2020-10-10,62,90,89,22,98,67
2020-10-11,71,89,87,44,93,60
2020-10-12,60,92,96,79,91,93
2020-10-13,71,94,96,39,93,91
2020-10-14,74,93,91,38,87,91
2020-10-15,70,96,95,19,88,84
2020-10-16,72,94,92,20,90,100
2020-10-17,80,83,88,0,98,65
2020-10-18,65,89,87,0,96,71
2020-10-19,80,91,95,58,88,94
2020-10-20,81,93,91,58,90,87
2020-10-21,76,90,94,77,86,84
2020-10-22,100,89,94,98,89,82
2020-10-23,87,91,95,81,97,90
2020-10-24,65,82,84,0,94,58
2020-10-25,79,80,82,0,92,54
2020-10-26,69,92,96,19,89,77
2020-10-27,83,96,92,58,91,88
2020-10-28,81,99,88,96,88,82
2020-10-29,80,95,91,58,88,85
2020-10-30,79,96,91,60,90,81
2020-10-31,63,87,85,22,90,53
2020-11-01,73,76,85,28,88,51
2020-11-02,72,95,96,25,95,84
2020-11-03,94,88,89,12,86,78
2020-11-04,78,74,77,21,75,75
2020-11-05,77,79,88,22,81,76
2020-11-06,80,82,86,35,84,74
2020-11-07,68,82,86,65,93,51
2020-11-08,70,74,89,27,93,58
2020-11-09,82,96,96,24,93,94
2020-11-10,96,91,95,49,91,89
2020-11-11,87,84,91,49,92,83
2020-11-12,78,87,95,50,95,87
2020-11-13,81,92,90,65,94,66
2020-11-14,94,71,85,42,95,57
2020-11-15,74,86,84,14,92,58
2020-11-16,69,89,97,73,89,78
2020-11-17,73,95,95,49,92,69
2020-11-18,100,96,95,87,93,99
2020-11-19,98,92,100,100,92,87
2020-11-20,98,89,93,13,91,77
2020-11-21,75,85,86,42,100,72
2020-11-22,82,81,84,0,93,52
2020-11-23,69,98,96,12,97,86
2020-11-24,79,100,95,0,93,100
2020-11-25,75,90,88,61,94,90
2020-11-26,76,93,92,0,88,77
2020-11-27,91,90,92,62,90,80
2020-11-28,82,88,88,54,96,48
2020-11-29,66,83,82,13,90,62
2020-11-30,89,92,95,48,91,75
2020-12-01,75,98,100,85,89,87
2020-12-02,91,94,95,100,89,91
2020-12-03,81,94,100,51,91,87
2020-12-04,97,93,93,52,90,93
2020-12-05,88,83,88,0,100,74
2020-12-06,73,79,83,0,97,64
2020-12-07,79,92,94,85,94,87
2020-12-08,89,89,87,0,93,98
2020-12-09,85,94,88,34,90,84
2020-12-10,78,96,92,69,92,90
2020-12-11,86,91,87,88,90,87
2020-12-12,75,83,82,57,96,69
2020-12-13,68,83,78,19,91,61
2020-12-14,97,88,87,34,90,100
2020-12-15,100,98,92,87,90,93
2020-12-16,81,89,89,86,89,87
2020-12-17,96,100,90,87,89,84
2020-12-18,79,90,85,73,91,84
2020-12-19,75,82,81,0,94,61
2020-12-20,79,82,77,59,91,53
2020-12-21,77,94,85,72,93,78
2020-12-22,65,97,83,54,88,82
2020-12-23,63,91,86,74,90,74
2020-12-24,68,95,86,20,88,86
2020-12-25,71,94,87,0,75,59
2020-12-26,72,88,81,80,90,63
2020-12-27,72,82,81,38,95,54
2020-12-28,71,93,81,18,92,70
2020-12-29,63,93,93,54,97,83
2020-12-30,75,93,86,74,96,86
2020-12-31,72,87,87,20,93,78
2021-01-01,79,82,88,0,80,63
2021-01-02,68,83,90,0,96,59
2021-01-03,65,76,84,0,94,50
2021-01-04,72,95,94,50,91,82
2021-01-05,75,95,91,82,89,98
2021-01-06,79,87,90,33,89,88
