Date,spill,BP,gas,British Petroleum,oil,petroleum
2017-06-17,60,75,93,19,95,65
2017-06-18,64,82,86,0,88,51
2017-06-19,71,100,97,62,95,93
2017-06-20,75,97,96,15,97,94
2017-06-21,80,84,94,30,97,99
2017-06-22,65,88,95,45,96,88
2017-06-23,62,91,96,0,91,92
2017-06-24,64,75,91,36,93,56
2017-06-25,66,85,91,19,97,71
2017-06-26,81,96,100,16,100,72
2017-06-27,62,95,95,16,93,89
2017-06-28,75,92,93,16,91,86
2017-06-29,71,100,98,32,90,92
2017-06-30,59,98,92,33,88,77
2017-07-01,73,74,94,17,93,51
2017-07-02,81,71,91,17,94,62
2017-07-03,90,88,100,74,93,67
2017-07-04,82,91,99,30,92,65
2017-07-05,66,100,95,74,93,71
2017-07-06,89,93,100,0,95,76
2017-07-07,78,99,94,61,96,66
2017-07-08,74,82,94,17,100,38
2017-07-09,71,71,90,67,95,52
2017-07-10,66,98,96,43,96,88
2017-07-11,76,86,94,57,95,100
2017-07-12,73,84,93,14,96,70
2017-07-13,74,80,94,72,94,73
2017-07-14,100,85,92,74,91,77
2017-07-15,85,71,93,85,98,61
2017-07-16,85,68,85,17,97,59
2017-07-17,71,81,98,100,98,73
2017-07-18,90,82,94,43,97,87
2017-07-19,94,83,100,15,96,81
2017-07-20,80,85,94,29,96,69
2017-07-21,87,85,94,45,91,78
2017-07-22,66,74,87,17,98,44
2017-07-23,87,71,87,33,96,53
2017-07-24,84,84,95,14,94,70
2017-07-25,67,85,93,43,97,86
2017-07-26,73,82,91,71,93,74
2017-07-27,74,89,87,73,98,90
2017-07-28,74,85,92,59,98,72
2017-07-29,98,77,88,0,98,55
2017-07-30,83,73,89,0,95,49
2017-07-31,74,89,98,14,93,92
2017-08-01,72,96,58,58,99,77
2017-08-02,78,100,56,28,100,74
2017-08-03,82,90,55,29,94,83
2017-08-04,100,83,53,46,90,74
2017-08-05,84,73,50,17,94,49
2017-08-06,68,81,51,17,93,42
2017-08-07,85,95,56,43,89,75
2017-08-08,74,95,53,84,96,85
2017-08-09,70,96,54,29,94,73
2017-08-10,80,98,52,0,92,77
2017-08-11,85,87,53,46,87,79
2017-08-12,72,77,50,34,94,53
2017-08-13,72,82,48,51,92,56
2017-08-14,81,95,52,44,90,82
2017-08-15,87,79,51,30,92,75
2017-08-16,75,96,51,44,93,84
2017-08-17,64,90,52,15,93,78
2017-08-18,82,96,51,60,93,78
2017-08-19,75,88,50,17,95,52
2017-08-20,79,83,49,49,91,53
2017-08-21,66,86,52,43,86,78
2017-08-22,90,94,51,86,90,95
2017-08-23,79,89,53,15,90,90
2017-08-24,99,82,51,0,91,100
2017-08-25,90,91,52,15,87,72
2017-08-26,67,81,51,0,91,53
2017-08-27,57,71,48,17,85,64
2017-08-28,68,95,55,44,90,73
2017-08-29,95,88,56,100,91,80
2017-08-30,79,93,59,29,92,71
2017-08-31,90,98,100,15,90,76
2017-09-01,62,91,100,46,95,68
2017-09-02,53,84,78,70,98,54
2017-09-03,57,76,65,17,94,45
2017-09-04,63,87,67,0,95,60
2017-09-05,64,96,69,57,94,65
2017-09-06,67,89,76,43,95,73
2017-09-07,65,88,75,45,97,72
2017-09-08,61,91,66,15,90,56
2017-09-09,54,78,60,50,93,45
2017-09-10,59,79,55,33,94,47
2017-09-11,61,100,66,43,93,81
2017-09-12,82,91,66,71,92,81
2017-09-13,66,89,62,43,97,88
2017-09-14,72,94,62,0,97,87
2017-09-15,78,86,60,15,94,76
2017-09-16,50,73,53,34,100,51
2017-09-17,67,78,51,16,92,56
2017-09-18,92,92,60,14,96,70
2017-09-19,66,96,57,100,92,74
2017-09-20,59,94,56,29,95,79
2017-09-21,76,90,57,58,93,66
2017-09-22,60,86,56,30,93,66
2017-09-23,48,70,52,17,96,46
2017-09-24,44,80,52,66,94,51
2017-09-25,67,90,61,43,94,64
2017-09-26,66,93,56,56,96,100
2017-09-27,77,93,57,14,97,78
2017-09-28,100,97,56,73,96,74
2017-09-29,66,92,55,46,95,54
2017-09-30,61,81,53,17,96,44
2017-10-01,68,74,74,20,90,52
2017-10-02,59,100,82,69,94,83
2017-10-03,60,95,84,86,88,95
2017-10-04,71,93,83,69,94,84
2017-10-05,85,87,83,52,91,100
2017-10-06,73,90,77,71,91,69
2017-10-07,58,84,74,100,93,64
2017-10-08,72,78,74,20,95,68
2017-10-09,89,95,85,17,93,93
2017-10-10,78,96,81,67,95,85
2017-10-11,83,92,82,68,92,93
2017-10-12,64,98,100,71,95,89
2017-10-13,75,95,79,18,92,73
2017-10-14,67,84,75,59,95,53
2017-10-15,67,76,74,39,96,70
2017-10-16,96,91,85,52,100,90
2017-10-17,84,95,84,17,94,84
2017-10-18,88,86,84,34,92,85
2017-10-19,77,90,84,35,94,84
2017-10-20,83,91,76,53,92,70
2017-10-21,59,79,71,60,95,51
2017-10-22,83,80,71,57,91,56
2017-10-23,75,98,86,50,94,92
2017-10-24,100,98,88,67,95,86
2017-10-25,91,99,84,67,92,83
2017-10-26,90,100,86,86,94,83
2017-10-27,73,97,81,36,98,77
2017-10-28,64,82,75,78,94,57
2017-10-29,68,84,74,58,91,53
2017-10-30,87,100,94,34,90,96
2017-10-31,71,97,88,34,91,88
2017-11-01,37,81,100,57,90,92
2017-11-02,41,96,99,14,96,76
2017-11-03,34,93,91,100,97,77
2017-11-04,33,76,88,63,99,56
2017-11-05,25,73,82,31,96,47
2017-11-06,36,89,96,81,99,94
2017-11-07,36,93,98,54,99,99
2017-11-08,45,94,96,81,99,100
2017-11-09,42,93,93,27,99,95
2017-11-10,37,97,93,42,98,90
2017-11-11,30,74,84,78,100,63
2017-11-12,33,81,85,77,96,69
2017-11-13,32,86,98,27,98,84
2017-11-14,34,88,98,13,99,80
2017-11-15,40,89,97,40,98,96
2017-11-16,50,89,96,27,99,93
2017-11-17,100,89,89,71,99,77
2017-11-18,54,75,83,16,100,59
2017-11-19,49,80,84,30,98,53
2017-11-20,49,91,95,40,98,83
2017-11-21,44,96,95,40,99,81
2017-11-22,41,100,92,27,95,77
2017-11-23,33,91,84,28,92,58
2017-11-24,38,87,81,28,86,60
2017-11-25,31,80,80,31,93,55
2017-11-26,38,77,82,46,94,58
2017-11-27,40,85,93,52,95,82
2017-11-28,43,97,93,53,92,86
2017-11-29,41,91,93,54,97,93
2017-11-30,37,96,95,41,96,75
2017-12-01,86,87,94,96,85,75
2017-12-02,83,86,86,21,89,52
2017-12-03,74,75,87,42,91,48
2017-12-04,100,91,100,0,87,83
2017-12-05,96,91,95,18,86,84
2017-12-06,99,96,98,19,87,100
2017-12-07,91,97,99,74,87,81
2017-12-08,61,89,89,96,85,68
2017-12-09,76,83,87,86,89,52
2017-12-10,74,78,82,41,86,54
2017-12-11,71,95,96,90,86,74
2017-12-12,94,94,99,54,87,96
2017-12-13,89,87,97,54,86,80
2017-12-14,93,99,92,37,87,82
2017-12-15,82,98,92,58,84,77
2017-12-16,78,81,82,43,86,58
2017-12-17,68,79,82,64,89,57
2017-12-18,90,96,93,74,87,74
2017-12-19,98,94,89,95,88,76
2017-12-20,88,91,90,78,89,72
2017-12-21,81,98,90,79,85,67
2017-12-22,55,94,86,0,85,60
2017-12-23,75,92,80,23,88,47
2017-12-24,58,84,81,71,78,34
2017-12-25,59,94,92,24,70,47
2017-12-26,71,80,89,0,89,52
2017-12-27,68,99,93,40,97,63
2017-12-28,69,97,95,100,100,61
2017-12-29,84,100,95,62,98,71
2017-12-30,82,91,89,22,96,47
2017-12-31,71,77,85,0,87,45
2018-01-01,59,75,82,18,86,50
2018-01-02,80,89,97,45,100,70
2018-01-03,81,84,100,29,99,77
2018-01-04,76,79,99,29,95,85
2018-01-05,57,84,99,45,97,79
2018-01-06,67,78,89,0,98,63
2018-01-07,98,71,87,66,100,59
2018-01-08,83,85,91,100,94,89
2018-01-09,82,87,88,14,94,95
2018-01-10,64,91,92,15,98,88
2018-01-11,90,88,89,58,93,84
2018-01-12,86,84,86,30,90,80
2018-01-13,74,77,80,16,93,58
2018-01-14,61,73,76,32,89,62
2018-01-15,77,86,89,14,95,81
2018-01-16,89,93,89,57,91,100
2018-01-17,90,85,85,28,87,98
2018-01-18,96,87,88,86,90,89
2018-01-19,94,88,85,44,92,90
2018-01-20,72,75,76,49,90,60
2018-01-21,62,75,77,16,91,51
