Date,Legal & General,assurance,insurance,business,pensions,investment
2017-06-17,0,57,57,60,38,61
2017-06-18,16,54,52,59,24,68
2017-06-19,27,92,92,97,82,96
2017-06-20,13,93,96,100,73,96
2017-06-21,39,88,87,95,70,93
2017-06-22,13,79,90,95,60,97
2017-06-23,54,89,86,86,87,75
2017-06-24,16,52,58,58,44,54
2017-06-25,16,57,58,64,35,56
2017-06-26,28,100,96,94,86,85
2017-06-27,14,88,97,96,72,93
2017-06-28,56,97,97,96,86,98
2017-06-29,28,92,90,92,98,89
2017-06-30,57,87,90,81,80,87
2017-07-01,0,56,58,56,35,54
2017-07-02,0,51,53,60,23,53
2017-07-03,75,90,87,84,60,79
2017-07-04,100,91,69,78,58,80
2017-07-05,25,86,95,94,68,98
2017-07-06,74,88,93,93,65,98
2017-07-07,26,89,94,88,49,85
2017-07-08,0,51,61,62,28,58
2017-07-09,0,46,57,64,32,65
2017-07-10,72,97,98,96,46,92
2017-07-11,24,100,95,98,55,100
2017-07-12,24,90,95,99,54,91
2017-07-13,73,75,90,94,64,88
2017-07-14,75,57,88,86,60,92
2017-07-15,0,51,59,61,21,59
2017-07-16,84,47,54,61,22,60
2017-07-17,48,89,93,94,40,96
2017-07-18,73,94,94,98,52,89
2017-07-19,49,82,94,100,100,92
2017-07-20,49,93,90,96,66,99
2017-07-21,25,81,85,85,56,85
2017-07-22,85,50,60,61,42,65
2017-07-23,28,45,53,60,31,59
2017-07-24,47,79,94,91,73,93
2017-07-25,48,89,94,98,65,100
2017-07-26,24,85,94,94,75,100
2017-07-27,49,84,96,97,66,96
2017-07-28,99,77,88,86,49,89
2017-07-29,0,48,61,61,39,57
2017-07-30,56,48,54,59,22,61
2017-07-31,47,82,100,93,62,93
2017-08-01,58,90,98,98,80,98
2017-08-02,28,96,100,99,100,100
2017-08-03,72,83,94,96,80,96
2017-08-04,15,82,89,85,74,91
2017-08-05,35,57,64,60,38,60
2017-08-06,0,43,54,61,45,69
2017-08-07,29,88,97,94,84,95
2017-08-08,42,90,96,97,65,99
2017-08-09,87,91,91,92,81,92
2017-08-10,15,85,94,97,75,97
2017-08-11,46,74,90,85,77,86
2017-08-12,0,52,63,59,36,64
2017-08-13,17,44,52,59,38,61
2017-08-14,15,70,94,90,57,86
2017-08-15,0,62,94,98,77,95
2017-08-16,74,87,90,94,93,90
2017-08-17,89,81,93,94,71,91
2017-08-18,30,76,83,86,55,84
2017-08-19,0,49,57,58,59,63
2017-08-20,0,45,49,61,35,65
2017-08-21,43,83,90,95,78,90
2017-08-22,57,80,93,100,97,100
2017-08-23,59,84,88,98,76,97
2017-08-24,30,89,89,96,72,95
2017-08-25,15,79,80,82,67,74
2017-08-26,0,51,55,59,32,53
2017-08-27,0,44,47,58,27,64
2017-08-28,0,92,90,91,58,88
2017-08-29,100,91,98,98,78,95
2017-08-30,15,100,98,100,80,100
2017-08-31,44,92,93,96,81,94
2017-09-01,40,69,87,77,74,71
2017-09-02,0,48,63,53,39,54
2017-09-03,0,47,56,60,44,54
2017-09-04,26,92,71,77,80,69
2017-09-05,25,97,100,92,77,80
2017-09-06,49,91,97,97,99,85
2017-09-07,26,100,98,97,88,89
2017-09-08,13,81,88,87,98,82
2017-09-09,0,55,59,55,42,54
2017-09-10,0,47,61,62,44,59
2017-09-11,12,88,97,99,73,78
2017-09-12,61,92,91,95,77,90
2017-09-13,37,84,93,96,93,91
2017-09-14,62,91,87,95,85,86
2017-09-15,13,80,89,84,86,74
2017-09-16,0,46,59,59,47,55
2017-09-17,0,48,51,59,41,59
2017-09-18,50,93,93,97,81,93
2017-09-19,25,86,94,100,82,93
2017-09-20,49,86,93,96,100,88
2017-09-21,13,79,93,92,83,81
2017-09-22,26,78,87,89,86,76
