Date,network,BT,EE,data,services,communications
2018-12-18,59,76,73,81,92,87
2018-12-19,55,77,83,85,92,86
2018-12-20,56,73,78,82,86,90
2018-12-21,53,72,80,72,82,76
2018-12-22,51,83,69,59,52,43
2018-12-23,51,69,71,55,50,35
2018-12-24,49,59,75,60,65,52
2018-12-25,47,68,70,56,43,33
2018-12-26,50,69,78,68,67,61
2018-12-27,54,66,84,68,77,62
2018-12-28,56,70,81,67,79,71
2018-12-29,52,86,84,58,54,53
2018-12-30,49,69,78,58,51,43
2018-12-31,49,67,72,60,66,58
2019-01-01,72,80,82,60,52,40
2019-01-02,80,92,93,88,88,77
2019-01-03,86,91,97,88,95,75
2019-01-04,84,89,96,83,88,80
2019-01-05,73,89,88,68,55,47
2019-01-06,74,80,88,68,52,42
2019-01-07,90,83,90,91,96,82
2019-01-08,88,85,89,91,93,86
2019-01-09,88,88,100,95,97,92
2019-01-10,86,82,89,98,98,90
2019-01-11,86,84,95,88,90,79
2019-01-12,71,81,87,68,54,45
2019-01-13,70,76,84,67,54,39
2019-01-14,83,81,87,88,95,81
2019-01-15,83,85,94,93,96,77
2019-01-16,87,87,89,99,94,90
2019-01-17,85,82,85,98,95,93
2019-01-18,86,78,82,91,91,85
2019-01-19,82,83,84,68,56,47
2019-01-20,80,78,83,66,52,43
2019-01-21,88,84,87,89,89,81
2019-01-22,89,83,89,97,96,93
2019-01-23,92,82,84,96,95,94
2019-01-24,90,85,87,100,97,91
2019-01-25,82,89,87,88,89,73
2019-01-26,75,82,87,64,50,49
2019-01-27,81,81,90,68,53,45
2019-01-28,100,86,88,95,94,82
2019-01-29,98,100,80,97,97,100
2019-01-30,92,95,87,99,100,100
2019-01-31,86,77,83,97,95,81
2019-02-01,87,75,84,91,91,83
2019-02-02,72,73,85,68,58,48
2019-02-03,81,69,81,67,55,48
2019-02-04,88,78,92,90,98,86
2019-02-05,89,85,88,91,95,94
2019-02-06,93,90,92,97,96,85
2019-02-07,90,80,85,94,97,100
2019-02-08,87,79,89,89,88,82
2019-02-09,76,74,83,66,56,48
2019-02-10,75,72,88,66,50,44
2019-02-11,100,84,100,94,100,91
2019-02-12,98,100,95,97,93,96
2019-02-13,94,88,95,96,93,90
2019-02-14,84,87,99,100,91,85
2019-02-15,81,82,90,87,85,84
2019-02-16,73,79,88,68,55,48
2019-02-17,75,72,79,69,52,50
2019-02-18,85,83,90,93,87,80
2019-02-19,88,97,89,97,96,86
2019-02-20,87,85,98,96,96,91
2019-02-21,86,86,100,98,93,92
2019-02-22,83,80,90,91,86,84
2019-02-23,79,72,79,70,58,58
2019-02-24,79,79,79,67,54,43
2019-02-25,86,78,93,95,95,88
2019-02-26,90,85,93,97,94,95
2019-02-27,86,93,87,93,92,86
2019-02-28,82,80,88,97,93,99
2019-03-01,90,87,95,85,91,76
2019-03-02,82,88,83,64,57,47
2019-03-03,85,76,80,68,55,50
2019-03-04,95,86,92,91,97,100
2019-03-05,94,85,88,94,100,88
2019-03-06,94,98,88,99,98,84
2019-03-07,94,91,86,95,96,97
2019-03-08,90,88,91,84,87,78
2019-03-09,77,82,82,67,56,50
2019-03-10,76,80,80,66,52,43
2019-03-11,92,83,100,94,100,88
2019-03-12,94,92,84,96,98,87
2019-03-13,96,100,95,98,93,86
2019-03-14,100,86,90,97,94,87
2019-03-15,89,83,87,86,84,73
2019-03-16,78,83,82,67,55,48
2019-03-17,77,70,85,71,51,48
2019-03-18,87,84,91,94,96,86
2019-03-19,91,87,92,99,94,87
2019-03-20,90,79,82,96,93,89
2019-03-21,92,77,91,91,85,83
2019-03-22,87,83,91,89,83,83
2019-03-23,73,80,83,68,57,52
2019-03-24,74,74,80,68,54,44
2019-03-25,87,80,83,95,98,87
2019-03-26,88,83,89,99,98,91
2019-03-27,90,77,88,99,96,84
2019-03-28,91,78,86,100,94,86
2019-03-29,86,76,81,87,89,87
2019-03-30,79,78,83,69,55,47
2019-03-31,76,77,79,68,59,43
2019-04-01,87,80,81,95,93,92
2019-04-02,96,78,96,91,100,97
2019-04-03,92,83,96,94,93,97
2019-04-04,94,75,86,97,97,88
2019-04-05,92,73,94,84,89,72
2019-04-06,79,68,81,66,55,43
2019-04-07,94,77,91,67,53,49
2019-04-08,100,74,100,98,98,100
2019-04-09,94,98,93,95,97,84
2019-04-10,96,87,95,97,95,83
2019-04-11,95,76,92,100,96,92
2019-04-12,88,74,92,83,86,83
2019-04-13,74,77,82,64,51,47
2019-04-14,78,71,77,66,54,45
2019-04-15,87,78,88,89,95,89
2019-04-16,94,99,92,91,95,91
2019-04-17,90,100,93,91,91,90
2019-04-18,92,84,92,92,91,93
2019-04-19,78,67,76,75,76,64
2019-04-20,72,77,61,62,54,50
2019-04-21,69,67,70,66,54,37
2019-04-22,82,71,79,87,85,70
2019-04-23,90,79,92,92,92,95
2019-04-24,94,85,90,94,95,95
2019-04-25,96,80,87,92,89,89
2019-04-26,94,78,86,84,82,81
2019-04-27,75,74,89,64,53,42
2019-04-28,70,71,89,65,53,43
2019-04-29,87,77,90,90,93,83
2019-04-30,91,92,96,90,97,99
2019-05-01,93,82,90,88,91,88
2019-05-02,95,70,80,97,96,99
2019-05-03,93,67,78,87,89,85
2019-05-04,76,64,74,66,57,53
2019-05-05,73,60,68,68,53,51
2019-05-06,90,60,81,91,93,86
2019-05-07,95,89,86,94,96,89
2019-05-08,94,81,85,99,96,100
2019-05-09,97,81,74,100,95,100
2019-05-10,89,68,80,88,86,95
2019-05-11,75,64,73,67,52,47
2019-05-12,72,58,71,66,51,41
2019-05-13,90,64,77,96,95,98
2019-05-14,100,62,88,98,100,88
2019-05-15,98,64,88,97,95,91
2019-05-16,95,67,77,98,96,96
2019-05-17,87,66,71,87,85,76
2019-05-18,79,69,75,70,54,50
2019-05-19,85,62,74,72,54,47
2019-05-20,95,64,84,96,92,88
2019-05-21,94,66,100,93,98,96
2019-05-22,99,64,84,100,99,98
2019-05-23,93,59,80,90,87,80
2019-05-24,88,63,81,87,88,77
2019-05-25,83,61,74,64,55,53
2019-05-26,76,65,75,67,49,35
2019-05-27,85,60,73,84,69,59
2019-05-28,95,73,81,91,95,96
2019-05-29,91,100,80,96,98,92
2019-05-30,96,69,90,97,96,90
2019-05-31,88,72,87,87,90,87
2019-06-01,55,100,85,67,57,50
2019-06-02,55,37,84,65,56,46
2019-06-03,65,43,87,90,97,91
2019-06-04,65,42,89,89,100,100
2019-06-05,63,45,100,87,90,88
2019-06-06,64,46,84,89,95,82
2019-06-07,64,42,83,85,90,85
2019-06-08,54,38,95,66,55,46
2019-06-09,51,35,76,65,53,48
2019-06-10,66,41,81,91,96,81
2019-06-11,66,39,93,93,99,86
2019-06-12,65,40,84,99,91,99
2019-06-13,100,42,89,98,97,89
2019-06-14,71,41,80,87,90,80
2019-06-15,56,43,71,67,57,48
2019-06-16,52,37,76,67,52,43
2019-06-17,66,42,86,99,98,87
2019-06-18,66,41,85,96,99,92
2019-06-19,71,41,81,97,98,98
2019-06-20,72,41,83,95,96,94
2019-06-21,63,37,87,90,89,84
2019-06-22,55,34,78,65,55,46
2019-06-23,53,34,73,68,53,52
2019-06-24,70,42,89,100,99,84
2019-06-25,68,43,81,94,100,90
2019-06-26,66,42,82,98,97,92
2019-06-27,66,39,80,96,94,92
2019-06-28,65,41,84,87,87,83
2019-06-29,55,37,84,66,53,52
2019-06-30,52,37,78,67,53,38
2019-07-01,85,100,100,81,90,85
2019-07-02,92,85,88,80,90,94
2019-07-03,91,97,92,85,89,93
2019-07-04,82,91,79,76,70,64
2019-07-05,88,87,83,73,79,72
2019-07-06,75,83,82,57,54,42
2019-07-07,75,88,76,60,52,39
2019-07-08,91,98,88,86,100,97
2019-07-09,89,87,83,84,99,95
2019-07-10,90,92,81,85,93,100
2019-07-11,95,88,77,86,89,93
2019-07-12,88,94,80,79,88,94
2019-07-13,78,88,76,63,54,52
2019-07-14,76,76,77,57,53,51
2019-07-15,96,93,82,83,96,95
2019-07-16,94,85,81,87,98,100
2019-07-17,100,93,88,89,96,99
2019-07-18,93,91,74,87,93,84
2019-07-19,92,93,81,78,86,75
2019-07-20,76,79,77,68,55,50
2019-07-21,78,78,73,66,54,50
2019-07-22,87,84,86,82,93,89
2019-07-23,88,82,76,82,91,87
2019-07-24,88,91,80,83,90,86
2019-07-25,92,83,81,98,91,100
2019-07-26,84,81,79,97,86,79
2019-07-27,79,85,82,79,55,50
2019-07-28,81,85,77,72,51,43
2019-07-29,91,87,74,92,91,95
2019-07-30,93,100,88,100,91,89
2019-07-31,88,92,83,93,92,93
2019-08-01,83,75,86,93,91,84
2019-08-02,79,76,87,82,85,80
2019-08-03,69,68,83,62,54,46
2019-08-04,70,81,91,68,54,45
2019-08-05,79,76,91,88,87,75
2019-08-06,84,76,96,88,92,86
2019-08-07,81,73,87,92,92,85
2019-08-08,100,77,94,92,90,86
2019-08-09,88,76,94,85,85,74
2019-08-10,77,86,82,66,53,43
2019-08-11,79,72,87,63,55,39
2019-08-12,86,77,97,84,91,84
2019-08-13,86,81,92,90,97,89
2019-08-14,83,100,95,93,92,100
2019-08-15,82,78,93,88,90,97
2019-08-16,87,78,86,87,88,87
2019-08-17,81,79,86,69,55,46
2019-08-18,78,75,82,67,54,41
2019-08-19,86,84,91,94,99,98
2019-08-20,84,84,95,94,100,93
2019-08-21,89,75,94,98,94,94
2019-08-22,91,78,82,95,89,87
2019-08-23,89,78,87,91,88,82
2019-08-24,76,78,81,68,52,46
2019-08-25,71,66,68,70,54,44
2019-08-26,86,71,81,100,92,80
2019-08-27,90,79,93,96,96,91
2019-08-28,89,81,100,96,94,87
2019-08-29,100,85,99,94,91,93
2019-08-30,96,79,92,85,86,71
2019-08-31,92,80,90,66,56,49
2019-09-01,71,67,80,63,49,39
2019-09-02,75,80,93,80,71,62
2019-09-03,84,77,82,93,97,99
2019-09-04,86,78,86,97,96,84
2019-09-05,82,100,97,97,94,93
2019-09-06,88,77,94,87,94,79
2019-09-07,91,76,78,65,60,51
2019-09-08,79,69,85,69,57,51
2019-09-09,86,77,79,94,100,96
2019-09-10,83,80,90,95,95,89
2019-09-11,82,80,98,98,96,92
2019-09-12,90,77,86,94,95,90
2019-09-13,100,79,100,87,92,81
2019-09-14,83,78,89,65,55,46
2019-09-15,81,69,81,70,57,47
2019-09-16,85,80,92,97,97,88
2019-09-17,81,93,96,97,98,100
2019-09-18,79,86,88,98,92,87
2019-09-19,83,82,85,96,91,86
2019-09-20,83,83,90,90,87,86
2019-09-21,79,71,94,66,55,44
2019-09-22,76,73,91,68,53,45
2019-09-23,83,75,90,99,95,88
2019-09-24,84,79,91,93,94,86
2019-09-25,81,80,94,100,94,93
2019-09-26,86,80,93,97,94,85
2019-09-27,88,77,90,93,87,80
2019-09-28,82,76,85,66,56,47
2019-09-29,72,69,85,71,55,45
2019-09-30,83,81,89,98,97,91
2019-10-01,88,100,98,91,100,100
2019-10-02,80,100,93,93,92,91
2019-10-03,82,93,95,95,95,95
2019-10-04,86,90,81,84,90,91
2019-10-05,81,84,84,69,57,53
2019-10-06,73,81,85,68,54,47
2019-10-07,88,90,100,90,96,90
2019-10-08,80,88,93,91,95,82
2019-10-09,80,86,85,97,94,82
2019-10-10,79,86,93,99,93,87
2019-10-11,81,88,84,86,88,77
2019-10-12,75,85,83,67,55,44
2019-10-13,73,75,86,68,56,40
2019-10-14,79,94,91,97,92,82
2019-10-15,84,86,90,95,98,95
2019-10-16,87,83,92,100,98,91
2019-10-17,100,85,95,98,95,90
2019-10-18,85,91,91,88,90,79
2019-10-19,78,75,81,66,54,48
2019-10-20,67,77,83,67,55,43
2019-10-21,80,86,90,94,94,90
2019-10-22,78,95,90,95,97,97
2019-10-23,81,99,83,99,94,89
2019-10-24,77,91,86,95,92,89
2019-10-25,77,91,83,85,88,79
2019-10-26,69,84,84,64,51,44
2019-10-27,65,88,78,66,50,44
2019-10-28,78,84,81,88,89,86
2019-10-29,79,84,90,93,91,88
2019-10-30,80,85,91,97,90,86
2019-10-31,84,82,84,91,87,79
2019-11-01,90,85,79,83,89,83
2019-11-02,81,86,73,64,58,52
2019-11-03,81,72,77,71,55,53
2019-11-04,90,85,84,97,98,98
2019-11-05,92,90,79,93,99,92
2019-11-06,92,87,84,100,97,96
2019-11-07,100,85,80,97,97,95
2019-11-08,91,81,72,88,93,87
2019-11-09,83,81,78,66,54,48
2019-11-10,84,73,69,67,55,44
2019-11-11,96,84,80,87,87,84
2019-11-12,97,82,85,94,97,100
2019-11-13,98,82,85,100,99,90
2019-11-14,95,88,84,99,95,99
2019-11-15,90,97,80,87,92,92
2019-11-16,85,80,75,69,57,57
2019-11-17,80,72,76,71,55,55
2019-11-18,96,87,81,98,100,98
2019-11-19,94,88,84,96,100,90
2019-11-20,95,80,74,100,95,98
2019-11-21,92,82,82,100,95,88
2019-11-22,94,86,82,91,90,95
2019-11-23,83,81,79,70,58,49
2019-11-24,88,83,76,71,55,46
2019-11-25,96,88,87,95,95,89
2019-11-26,95,100,88,93,92,88
2019-11-27,96,98,91,93,88,87
2019-11-28,89,92,88,84,67,59
2019-11-29,85,91,100,78,65,62
2019-11-30,80,75,75,65,51,51
2019-12-01,86,84,87,69,57,58
2019-12-02,91,93,100,97,100,89
2019-12-03,92,88,79,96,99,92
2019-12-04,91,100,87,99,100,97
2019-12-05,92,86,86,100,98,100
2019-12-06,92,92,86,89,93,85
2019-12-07,78,88,71,67,57,43
2019-12-08,75,86,76,68,55,42
2019-12-09,88,86,84,90,93,85
2019-12-10,90,98,85,90,94,92
2019-12-11,89,95,87,96,93,84
2019-12-12,85,93,75,96,95,81
2019-12-13,83,88,72,86,88,78
2019-12-14,77,84,75,69,60,52
2019-12-15,79,87,71,69,58,42
2019-12-16,87,94,83,89,100,87
2019-12-17,92,91,83,88,98,91
2019-12-18,85,84,85,88,93,84
2019-12-19,88,83,84,88,91,74
2019-12-20,80,84,75,81,87,77
2019-12-21,100,83,77,64,55,44
2019-12-22,81,75,79,58,51,36
2019-12-23,80,79,81,77,86,64
2019-12-24,83,75,80,67,73,57
2019-12-25,78,75,81,67,51,35
2019-12-26,80,79,86,74,71,56
2019-12-27,81,88,86,71,79,60
2019-12-28,74,94,85,64,57,48
2019-12-29,85,78,73,62,56,42
2019-12-30,87,82,79,73,86,66
2019-12-31,86,82,79,65,76,65
2020-01-01,69,100,88,64,54,40
2020-01-02,83,83,89,84,87,83
2020-01-03,81,74,91,85,85,84
2020-01-04,77,76,90,69,60,51
2020-01-05,80,66,83,69,61,46
2020-01-06,91,76,89,90,95,88
2020-01-07,88,73,90,92,100,92
2020-01-08,95,72,92,97,98,100
2020-01-09,94,79,91,96,95,89
2020-01-10,93,74,83,87,91,82
2020-01-11,84,72,78,67,59,50
2020-01-12,85,69,79,68,55,42
2020-01-13,91,77,88,95,93,93
2020-01-14,95,78,87,94,93,90
2020-01-15,93,81,87,95,95,95
2020-01-16,100,70,95,100,93,90
2020-01-17,92,69,89,88,87,82
2020-01-18,88,84,84,69,56,49
2020-01-19,81,74,88,67,52,44
2020-01-20,89,75,100,94,89,79
2020-01-21,90,84,97,95,97,88
2020-01-22,91,78,95,99,100,100
2020-01-23,89,83,93,99,92,89
2020-01-24,95,75,83,86,87,84
2020-01-25,86,69,95,67,55,44
2020-01-26,89,68,85,66,49,47
2020-01-27,99,75,88,96,95,88
2020-01-28,95,79,94,98,95,87
2020-01-29,92,72,81,97,92,80
2020-01-30,91,76,80,96,94,91
2020-01-31,85,73,85,91,89,79
2020-02-01,80,65,83,67,60,50
2020-02-02,83,63,81,69,54,46
2020-02-03,88,74,89,91,91,81
2020-02-04,89,75,96,97,98,87
2020-02-05,94,71,93,100,98,95
2020-02-06,96,70,82,92,100,88
2020-02-07,91,69,85,87,91,93
2020-02-08,75,65,83,66,56,51
2020-02-09,77,71,84,66,55,47
2020-02-10,89,75,94,93,95,89
2020-02-11,94,72,93,95,100,100
2020-02-12,97,76,100,97,100,90
2020-02-13,94,75,94,95,99,87
2020-02-14,86,72,88,85,87,85
2020-02-15,81,67,86,69,59,45
2020-02-16,79,69,88,68,55,41
2020-02-17,88,75,93,89,89,79
2020-02-18,97,90,86,94,97,95
2020-02-19,93,83,91,98,99,93
2020-02-20,94,85,94,95,96,89
2020-02-21,86,80,88,88,93,80
2020-02-22,78,100,80,67,63,53
2020-02-23,75,93,79,67,57,41
2020-02-24,92,75,87,90,98,90
2020-02-25,95,84,91,96,98,94
2020-02-26,96,84,83,95,99,86
2020-02-27,100,82,82,97,92,87
2020-02-28,93,77,83,89,89,90
2020-02-29,77,72,85,67,62,56
2020-03-01,76,70,93,66,52,45
2020-03-02,93,80,96,93,84,88
2020-03-03,95,78,93,97,87,86
2020-03-04,94,79,93,95,85,85
2020-03-05,100,79,93,95,83,85
2020-03-06,94,81,86,87,75,77
2020-03-07,82,76,82,68,52,49
2020-03-08,78,72,83,67,50,47
2020-03-09,92,83,84,92,83,92
2020-03-10,92,86,85,94,83,100
2020-03-11,93,100,91,92,79,89
2020-03-12,86,91,85,88,77,76
2020-03-13,84,85,91,82,77,81
2020-03-14,76,79,87,67,51,47
2020-03-15,80,71,86,68,57,40
2020-03-16,84,84,82,87,85,80
2020-03-17,94,88,96,90,82,80
2020-03-18,87,87,93,93,80,93
2020-03-19,90,86,92,94,78,85
2020-03-20,86,80,92,85,77,77
2020-03-21,86,74,92,76,59,55
2020-03-22,85,72,86,74,67,48
2020-03-23,91,88,95,93,100,89
2020-03-24,94,88,91,94,94,84
2020-03-25,91,84,96,95,78,81
2020-03-26,92,84,96,99,76,78
2020-03-27,94,82,89,91,70,73
2020-03-28,83,75,91,81,52,52
2020-03-29,88,74,100,82,52,49
2020-03-30,93,84,98,96,77,82
2020-03-31,94,81,94,100,71,71
2020-04-01,83,100,85,100,100,91
2020-04-02,87,98,91,97,96,88
2020-04-03,85,97,92,93,98,83
2020-04-04,100,91,89,83,71,61
2020-04-05,97,84,83,81,69,50
2020-04-06,90,100,87,97,97,84
2020-04-07,91,98,85,95,95,87
2020-04-08,91,100,83,94,93,86
2020-04-09,87,99,94,94,93,87
2020-04-10,87,84,85,83,89,76
2020-04-11,77,85,81,72,64,50
2020-04-12,79,82,81,70,63,48
2020-04-13,86,83,90,90,87,82
2020-04-14,83,92,92,95,92,89
2020-04-15,83,87,95,98,94,100
2020-04-16,83,91,96,96,89,91
2020-04-17,84,98,90,97,92,78
2020-04-18,82,85,84,77,62,61
2020-04-19,80,78,90,76,62,48
2020-04-20,81,93,97,92,90,84
2020-04-21,87,92,91,90,95,93
2020-04-22,87,94,93,95,88,89
2020-04-23,87,89,91,91,86,88
2020-04-24,84,86,86,87,87,71
2020-04-25,75,81,79,71,60,53
2020-04-26,80,83,93,75,62,62
2020-04-27,87,92,89,92,88,88
2020-04-28,83,97,95,87,88,90
2020-04-29,82,97,100,94,86,83
2020-04-30,81,92,87,95,88,87
2020-05-01,94,91,93,85,88,85
2020-05-02,82,72,88,72,61,58
2020-05-03,84,77,98,73,58,49
2020-05-04,94,92,100,90,91,88
2020-05-05,96,87,92,93,92,100
2020-05-06,90,85,92,94,84,87
2020-05-07,94,97,92,92,87,94
2020-05-08,91,77,84,89,82,79
2020-05-09,83,85,83,76,61,62
2020-05-10,87,89,83,71,56,52
2020-05-11,93,91,97,97,93,79
2020-05-12,93,92,93,100,93,94
2020-05-13,98,94,94,100,94,90
2020-05-14,89,93,89,94,92,84
2020-05-15,94,94,92,92,89,77
2020-05-16,85,100,89,75,66,56
2020-05-17,87,82,80,72,70,54
2020-05-18,91,91,92,93,99,78
2020-05-19,95,94,90,94,97,84
2020-05-20,98,91,82,91,93,83
2020-05-21,90,83,88,87,93,75
2020-05-22,89,90,95,83,83,80
2020-05-23,80,88,76,66,61,50
2020-05-24,86,78,87,66,60,52
2020-05-25,88,77,85,78,71,56
2020-05-26,93,89,90,85,97,77
2020-05-27,96,92,91,87,97,86
2020-05-28,100,87,92,87,100,90
2020-05-29,95,86,86,82,88,78
2020-05-30,85,78,78,66,60,49
2020-05-31,83,75,77,66,62,48
2020-06-01,85,76,100,86,90,92
2020-06-02,89,78,88,90,88,93
2020-06-03,94,81,92,95,87,88
2020-06-04,85,82,81,98,92,84
2020-06-05,86,79,85,93,82,77
2020-06-06,77,83,79,76,61,47
2020-06-07,74,79,81,73,59,44
2020-06-08,86,82,89,97,91,85
2020-06-09,85,81,78,100,91,92
2020-06-10,93,86,90,99,94,89
2020-06-11,90,87,85,99,95,86
2020-06-12,82,92,87,93,81,78
2020-06-13,73,77,77,74,60,53
2020-06-14,77,73,77,75,56,58
2020-06-15,96,89,91,95,98,98
2020-06-16,93,84,94,94,94,98
2020-06-17,88,97,84,94,93,88
2020-06-18,85,89,88,95,94,83
2020-06-19,92,91,86,88,84,79
2020-06-20,85,88,80,69,58,52
2020-06-21,87,79,75,70,54,57
2020-06-22,100,92,83,92,97,89
2020-06-23,96,89,86,97,96,80
2020-06-24,95,88,81,96,92,99
2020-06-25,88,100,84,97,97,90
2020-06-26,87,81,81,91,87,78
2020-06-27,80,83,88,74,60,52
2020-06-28,80,87,81,72,61,49
2020-06-29,93,87,95,94,100,92
2020-06-30,88,88,90,94,98,100
2020-07-01,91,97,93,95,95,83
2020-07-02,94,94,93,91,92,78
2020-07-03,86,88,88,80,73,61
2020-07-04,81,94,93,74,54,46
2020-07-05,77,87,89,73,55,44
2020-07-06,98,94,90,91,100,100
2020-07-07,95,85,93,89,96,78
2020-07-08,95,90,91,95,93,83
2020-07-09,97,90,87,94,93,79
2020-07-10,98,89,89,90,87,82
2020-07-11,87,95,74,75,59,44
2020-07-12,82,85,78,73,59,44
2020-07-13,92,88,99,89,96,76
2020-07-14,94,94,85,98,96,86
2020-07-15,96,98,96,98,98,88
2020-07-16,100,100,84,98,96,78
2020-07-17,93,93,84,92,87,73
2020-07-18,82,97,86,77,59,46
2020-07-19,94,84,83,72,56,37
2020-07-20,99,86,89,92,93,71
2020-07-21,94,94,93,98,97,83
2020-07-22,99,94,93,96,94,73
2020-07-23,100,94,100,100,93,81
2020-07-24,94,88,85,88,85,70
2020-07-25,89,88,94,73,61,42
2020-07-26,82,92,82,75,57,41
2020-07-27,97,96,96,97,95,79
2020-07-28,93,97,93,94,96,88
2020-07-29,96,97,95,97,92,70
2020-07-30,91,88,83,95,96,76
2020-07-31,89,89,96,88,85,66
2020-08-01,79,75,85,70,59,55
2020-08-02,84,71,79,68,56,44
2020-08-03,94,86,93,89,92,82
2020-08-04,96,84,92,90,95,86
2020-08-05,89,85,84,91,90,88
2020-08-06,93,90,87,93,96,90
2020-08-07,89,94,90,84,85,86
2020-08-08,79,77,84,72,61,49
2020-08-09,78,72,82,70,60,47
2020-08-10,90,90,98,90,95,99
2020-08-11,95,88,85,89,97,92
2020-08-12,88,88,97,89,88,88
2020-08-13,91,87,92,97,97,89
2020-08-14,86,98,96,85,86,83
2020-08-15,73,94,97,69,58,54
2020-08-16,82,95,85,69,60,49
2020-08-17,94,86,99,87,98,91
2020-08-18,90,86,91,92,94,88
2020-08-19,83,87,99,93,94,94
2020-08-20,89,83,81,94,97,88
2020-08-21,86,93,97,86,84,89
2020-08-22,80,89,93,73,60,56
2020-08-23,80,100,92,72,56,52
2020-08-24,91,85,96,90,92,80
2020-08-25,89,89,96,91,95,87
2020-08-26,100,85,97,100,92,85
2020-08-27,98,81,100,100,100,100
2020-08-28,91,80,96,92,88,85
2020-08-29,83,90,91,76,64,52
2020-08-30,80,74,81,73,59,45
2020-08-31,86,71,78,92,92,96
2020-09-01,87,87,95,91,98,99
2020-09-02,92,84,100,94,94,90
2020-09-03,86,91,94,94,93,93
2020-09-04,84,84,92,86,86,84
2020-09-05,75,81,82,72,60,53
2020-09-06,71,78,85,70,58,52
2020-09-07,82,96,98,84,78,65
2020-09-08,87,97,89,91,100,91
2020-09-09,85,92,85,92,94,93
2020-09-10,91,91,89,94,93,95
2020-09-11,84,91,87,88,84,88
2020-09-12,81,100,82,74,61,55
2020-09-13,84,94,88,72,59,48
2020-09-14,83,98,97,94,96,89
2020-09-15,82,99,82,94,93,96
2020-09-16,87,92,93,97,96,94
2020-09-17,89,93,85,99,96,96
2020-09-18,98,94,91,93,87,85
2020-09-19,77,99,88,73,59,48
2020-09-20,75,93,83,72,55,54
2020-09-21,83,91,87,96,93,92
2020-09-22,86,94,89,98,95,97
2020-09-23,86,90,90,100,90,100
2020-09-24,100,93,90,99,94,100
2020-09-25,87,95,89,89,82,83
2020-09-26,83,100,86,71,56,54
2020-09-27,78,95,91,68,58,42
2020-09-28,85,95,92,89,91,80
2020-09-29,82,92,91,91,88,82
2020-09-30,82,96,91,92,89,86
2020-10-01,89,79,85,99,99,89
2020-10-02,85,76,80,86,85,84
2020-10-03,83,82,86,75,60,57
2020-10-04,77,76,86,72,61,51
2020-10-05,88,70,93,96,97,93
2020-10-06,91,73,89,95,100,93
2020-10-07,100,75,85,100,94,97
2020-10-08,90,78,83,98,94,97
2020-10-09,89,78,85,87,83,81
2020-10-10,83,75,84,74,62,47
2020-10-11,76,70,73,73,58,48
2020-10-12,84,73,79,88,92,81
2020-10-13,92,77,93,93,92,87
2020-10-14,93,76,99,93,88,87
2020-10-15,91,78,84,93,95,88
2020-10-16,86,78,100,86,81,94
2020-10-17,80,90,87,74,56,54
2020-10-18,77,70,83,74,56,52
2020-10-19,86,81,78,94,93,100
2020-10-20,86,90,85,93,91,98
2020-10-21,88,88,87,92,89,92
2020-10-22,90,81,87,97,94,85
2020-10-23,89,88,95,88,82,85
2020-10-24,81,100,81,76,57,52
2020-10-25,74,69,80,69,52,48
2020-10-26,81,78,90,89,85,85
2020-10-27,86,81,90,91,90,92
2020-10-28,81,85,83,94,87,76
2020-10-29,82,84,89,88,89,81
2020-10-30,81,74,83,83,80,73
2020-10-31,74,72,75,71,56,48
2020-11-01,87,72,71,73,57,50
2020-11-02,97,84,78,94,99,94
2020-11-03,94,87,77,91,90,91
2020-11-04,83,78,81,82,76,68
2020-11-05,86,88,88,89,85,86
2020-11-06,84,83,86,80,77,78
2020-11-07,82,91,80,69,54,51
2020-11-08,91,74,77,71,57,54
2020-11-09,93,88,71,93,95,91
2020-11-10,97,85,77,92,100,95
2020-11-11,90,84,76,90,90,88
2020-11-12,96,83,74,96,96,95
2020-11-13,93,87,83,87,88,91
2020-11-14,84,77,76,72,58,53
2020-11-15,86,71,73,73,58,52
2020-11-16,93,83,75,91,93,92
2020-11-17,96,87,77,94,95,96
2020-11-18,93,84,76,96,94,85
2020-11-19,94,98,100,100,96,94
2020-11-20,94,86,81,88,82,81
2020-11-21,92,91,81,76,56,57
2020-11-22,96,74,79,76,53,54
2020-11-23,96,86,79,98,89,86
2020-11-24,98,92,82,96,89,90
2020-11-25,100,91,77,94,89,79
2020-11-26,95,91,79,92,72,65
2020-11-27,91,88,88,82,69,71
2020-11-28,89,100,78,74,56,49
2020-11-29,80,77,65,70,54,45
2020-11-30,92,83,82,95,89,100
2020-12-01,100,82,69,95,96,100
2020-12-02,96,82,73,100,90,89
2020-12-03,98,100,100,100,95,86
2020-12-04,98,83,86,92,88,84
2020-12-05,89,80,68,76,60,54
2020-12-06,85,74,65,67,56,50
2020-12-07,99,85,73,94,100,85
2020-12-08,97,85,65,92,96,98
2020-12-09,97,83,69,89,92,84
2020-12-10,98,84,77,96,96,84
2020-12-11,92,81,64,88,89,79
2020-12-12,91,82,59,71,64,49
2020-12-13,87,75,67,66,57,50
2020-12-14,98,82,69,89,97,84
2020-12-15,95,86,66,87,94,86
2020-12-16,93,87,69,86,93,78
2020-12-17,95,77,67,87,95,82
2020-12-18,96,83,65,79,82,78
2020-12-19,99,81,60,70,63,52
2020-12-20,92,76,62,67,57,40
2020-12-21,97,79,63,79,89,65
