Date,homes,site,property,building,Barratt Developments,developments
2017-06-17,86,84,65,65,0,35
2017-06-18,84,80,68,63,0,47
2017-06-19,90,94,93,90,85,100
2017-06-20,89,94,96,90,0,84
2017-06-21,87,92,96,84,83,89
2017-06-22,90,93,94,81,0,100
2017-06-23,84,86,90,77,0,71
2017-06-24,93,83,71,61,100,43
2017-06-25,97,87,74,62,0,64
2017-06-26,93,96,100,86,44,80
2017-06-27,86,100,96,82,0,85
2017-06-28,86,95,98,87,45,66
2017-06-29,81,96,93,79,0,70
2017-06-30,79,91,89,74,45,67
2017-07-01,86,84,71,59,0,40
2017-07-02,91,90,72,64,0,68
2017-07-03,84,97,90,85,0,84
2017-07-04,84,92,82,73,0,79
2017-07-05,87,98,96,89,0,92
2017-07-06,92,89,98,91,68,74
2017-07-07,91,89,91,84,35,78
2017-07-08,94,83,73,69,0,54
2017-07-09,100,87,75,70,0,59
2017-07-10,92,100,97,95,0,100
2017-07-11,88,94,93,95,0,94
2017-07-12,85,98,90,94,100,78
2017-07-13,84,96,94,88,33,78
2017-07-14,82,94,86,83,34,90
2017-07-15,93,87,72,66,0,55
2017-07-16,94,83,75,67,0,60
2017-07-17,87,94,89,92,0,84
2017-07-18,91,100,98,96,33,83
2017-07-19,91,99,95,93,68,91
2017-07-20,85,96,93,92,33,94
2017-07-21,83,92,93,80,0,78
2017-07-22,92,89,75,67,0,41
2017-07-23,93,84,73,71,0,73
2017-07-24,89,96,95,90,33,92
2017-07-25,89,94,95,100,66,70
2017-07-26,86,97,100,95,33,82
2017-07-27,86,98,95,96,0,66
2017-07-28,83,91,91,83,68,83
2017-07-29,89,86,74,68,0,77
2017-07-30,95,84,77,68,0,65
2017-07-31,88,97,98,93,0,87
2017-08-01,88,98,99,91,47,81
2017-08-02,93,100,100,90,23,86
2017-08-03,87,97,98,86,24,77
2017-08-04,87,91,90,82,100,56
2017-08-05,95,86,78,67,0,30
2017-08-06,100,86,75,68,0,56
2017-08-07,96,98,100,88,23,74
2017-08-08,92,95,98,94,0,74
2017-08-09,94,95,96,88,71,82
2017-08-10,88,98,96,87,24,53
2017-08-11,82,91,89,81,0,71
2017-08-12,92,83,68,68,0,42
2017-08-13,94,83,73,63,0,53
2017-08-14,88,92,96,89,24,74
2017-08-15,88,95,97,95,0,69
2017-08-16,86,97,96,90,24,100
2017-08-17,84,98,92,92,73,66
2017-08-18,81,92,92,82,25,68
2017-08-19,86,87,69,63,0,47
2017-08-20,91,85,71,65,27,48
2017-08-21,81,96,95,96,71,72
2017-08-22,86,97,97,98,24,73
2017-08-23,82,97,97,89,0,75
2017-08-24,80,98,95,88,0,87
2017-08-25,79,91,86,81,50,65
2017-08-26,80,83,65,64,28,39
2017-08-27,87,84,68,60,0,44
2017-08-28,81,94,93,88,0,44
2017-08-29,81,95,97,100,24,93
2017-08-30,81,99,97,93,24,69
2017-08-31,78,93,96,97,0,56
2017-09-01,84,92,89,80,36,63
2017-09-02,94,87,69,66,0,33
2017-09-03,100,86,71,64,0,46
2017-09-04,97,94,79,78,35,74
2017-09-05,91,93,96,98,99,92
2017-09-06,85,92,96,97,66,95
2017-09-07,89,90,100,95,34,89
2017-09-08,79,89,87,90,34,74
2017-09-09,82,81,64,68,0,55
2017-09-10,88,87,67,71,0,54
2017-09-11,83,96,93,98,0,76
2017-09-12,82,95,94,97,32,100
2017-09-13,86,100,94,93,0,79
2017-09-14,85,97,94,95,33,77
2017-09-15,82,91,86,89,0,70
2017-09-16,88,83,67,62,38,55
2017-09-17,96,85,71,68,0,61
2017-09-18,89,96,98,97,0,74
2017-09-19,84,93,96,100,33,84
2017-09-20,83,93,97,99,0,89
2017-09-21,83,95,96,93,0,79
2017-09-22,87,96,87,89,0,76
2017-09-23,87,86,68,69,0,35
2017-09-24,88,82,70,72,0,47
2017-09-25,92,97,96,95,0,94
2017-09-26,85,94,95,97,0,80
2017-09-27,85,98,100,92,0,84
2017-09-28,79,96,93,92,100,88
2017-09-29,84,96,88,83,35,64
2017-09-30,88,87,64,65,39,46
2017-10-01,94,85,69,68,100,62
2017-10-02,89,92,92,87,0,88
2017-10-03,90,96,94,95,29,72
2017-10-04,87,96,100,94,0,86
2017-10-05,86,98,94,92,29,72
2017-10-06,87,92,84,83,30,82
2017-10-07,87,82,65,69,67,59
2017-10-08,97,87,69,68,0,63
2017-10-09,94,95,91,93,29,83
2017-10-10,88,92,97,94,0,79
2017-10-11,91,94,95,95,29,82
2017-10-12,90,88,95,94,60,100
2017-10-13,85,88,81,81,0,79
2017-10-14,89,84,63,66,0,58
2017-10-15,100,85,69,67,33,43
2017-10-16,99,100,96,99,0,81
2017-10-17,89,95,92,98,0,78
2017-10-18,87,93,88,100,29,99
2017-10-19,85,98,94,90,30,92
2017-10-20,83,92,80,85,0,68
2017-10-21,89,85,64,64,0,54
2017-10-22,93,82,68,64,0,40
2017-10-23,92,94,90,92,28,92
2017-10-24,87,97,98,97,0,93
2017-10-25,83,96,92,94,0,70
2017-10-26,86,94,91,92,29,80
2017-10-27,80,89,84,84,0,61
2017-10-28,82,80,65,63,0,47
2017-10-29,89,83,65,61,0,48
2017-10-30,87,91,90,93,0,79
2017-10-31,78,92,87,90,0,78
2017-11-01,83,87,99,94,27,72
2017-11-02,90,85,100,93,26,100
2017-11-03,87,85,91,91,0,69
2017-11-04,93,79,72,71,0,52
2017-11-05,100,76,70,65,0,45
2017-11-06,89,86,96,100,25,78
2017-11-07,87,83,94,96,25,75
2017-11-08,85,90,98,97,0,60
2017-11-09,86,89,96,98,0,78
2017-11-10,83,85,81,86,0,51
2017-11-11,87,75,64,69,0,49
2017-11-12,96,80,67,71,0,55
2017-11-13,87,88,94,96,25,72
2017-11-14,85,86,96,94,25,69
2017-11-15,81,82,95,94,100,67
2017-11-16,81,84,91,88,50,70
2017-11-17,79,83,86,85,0,70
2017-11-18,82,80,64,67,0,42
2017-11-19,84,77,68,67,0,56
2017-11-20,82,87,90,92,25,61
2017-11-21,80,90,88,91,25,81
2017-11-22,75,91,83,82,25,62
