Date,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
2018-12-28,60,64,88,100,88,65
2018-12-29,100,72,89,42,89,72
2018-12-30,83,70,94,42,92,70
2018-12-31,97,75,91,58,92,63
2019-01-01,100,100,100,87,100,100
2019-01-02,53,40,87,68,86,65
2019-01-03,43,30,85,40,80,63
2019-01-04,59,49,84,100,85,69
2019-01-05,65,60,95,29,90,85
2019-01-06,57,51,92,43,88,72
2019-01-07,37,32,84,26,76,52
2019-01-08,42,24,82,50,76,51
2019-01-09,36,30,84,13,76,54
2019-01-10,33,31,86,26,79,56
2019-01-11,65,46,91,47,80,66
2019-01-12,81,61,91,29,88,80
2019-01-13,51,50,93,43,87,67
2019-01-14,33,34,85,19,74,52
2019-01-15,38,30,91,56,72,53
2019-01-16,44,29,92,19,75,53
2019-01-17,40,28,93,44,77,56
2019-01-18,59,46,88,85,81,63
2019-01-19,72,60,94,28,88,80
2019-01-20,57,51,90,61,90,73
2019-01-21,34,28,88,57,83,59
2019-01-22,37,27,84,43,75,53
2019-01-23,37,29,84,49,78,53
2019-01-24,40,33,86,31,80,54
2019-01-25,57,48,87,39,82,62
2019-01-26,80,64,94,14,92,87
2019-01-27,61,57,95,35,92,72
2019-01-28,40,26,82,25,80,51
2019-01-29,35,30,81,25,79,49
2019-01-30,34,30,82,19,86,50
2019-01-31,44,34,84,62,84,51
2019-02-01,69,78,87,36,73,64
2019-02-02,100,100,97,40,80,85
2019-02-03,71,74,96,13,78,65
2019-02-04,45,36,84,29,65,50
2019-02-05,43,43,86,23,64,54
2019-02-06,50,42,86,52,65,53
2019-02-07,44,46,86,46,69,56
2019-02-08,70,73,88,36,71,68
2019-02-09,78,86,95,65,78,91
2019-02-10,73,75,96,45,78,75
2019-02-11,39,33,85,28,73,59
2019-02-12,41,39,84,51,80,59
2019-02-13,48,39,87,11,84,60
2019-02-14,63,60,85,23,100,76
2019-02-15,66,65,90,18,71,79
2019-02-16,93,89,96,80,73,100
2019-02-17,72,80,100,26,74,86
2019-02-18,48,40,87,35,67,60
2019-02-19,49,41,87,34,62,52
2019-02-20,43,43,86,75,62,52
2019-02-21,52,46,88,29,62,55
2019-02-22,68,63,90,42,64,69
2019-02-23,94,79,97,100,75,90
2019-02-24,71,83,99,40,75,77
2019-02-25,44,34,86,40,59,52
2019-02-26,41,40,88,23,59,51
2019-02-27,42,45,85,33,59,50
2019-02-28,47,51,87,41,64,53
2019-03-01,70,69,87,50,81,71
2019-03-02,96,86,96,33,96,95
2019-03-03,73,85,97,22,100,84
2019-03-04,43,41,85,78,86,55
2019-03-05,39,36,83,39,77,57
2019-03-06,45,44,84,76,78,58
2019-03-07,51,44,84,20,76,59
2019-03-08,69,72,85,20,85,72
2019-03-09,97,94,95,56,95,95
2019-03-10,76,77,93,64,92,82
2019-03-11,56,38,88,68,82,61
2019-03-12,42,41,82,57,73,57
2019-03-13,44,42,81,67,75,59
2019-03-14,51,41,83,49,78,61
2019-03-15,73,69,83,49,78,72
2019-03-16,100,100,93,56,92,98
2019-03-17,73,76,94,33,88,84
2019-03-18,42,43,85,39,78,60
2019-03-19,46,40,82,37,79,63
2019-03-20,50,39,84,19,76,57
2019-03-21,51,47,85,0,80,64
2019-03-22,75,70,88,41,85,75
2019-03-23,93,88,98,56,90,99
2019-03-24,68,79,96,100,91,83
2019-03-25,46,39,84,68,78,61
2019-03-26,51,42,85,49,78,61
2019-03-27,40,43,83,69,74,59
2019-03-28,46,46,85,69,79,61
2019-03-29,70,69,89,61,94,78
2019-03-30,97,84,100,11,98,100
2019-03-31,94,91,93,11,96,85
2019-04-01,54,44,84,16,85,62
2019-04-02,52,44,85,40,81,62
2019-04-03,52,49,85,48,84,63
2019-04-04,60,47,89,48,88,70
2019-04-05,74,75,90,75,91,77
2019-04-06,95,94,95,18,93,99
2019-04-07,76,78,96,100,94,87
2019-04-08,54,46,84,63,83,63
2019-04-09,43,43,84,31,83,63
2019-04-10,51,45,83,55,83,65
2019-04-11,60,48,84,24,84,65
2019-04-12,73,68,87,50,91,77
2019-04-13,100,100,96,37,95,100
2019-04-14,77,82,94,27,100,89
2019-04-15,48,45,81,16,82,66
2019-04-16,55,40,84,32,84,67
2019-04-17,55,44,85,33,87,67
2019-04-18,65,65,87,17,87,72
2019-04-19,93,74,96,72,99,90
2019-04-20,80,74,100,57,93,99
2019-04-21,83,76,96,87,88,96
2019-04-22,68,70,86,8,82,67
2019-04-23,55,44,83,48,80,63
2019-04-24,50,46,86,56,78,64
2019-04-25,59,49,87,40,79,67
2019-04-26,65,75,91,25,89,79
2019-04-27,90,92,96,36,93,99
2019-04-28,65,77,95,45,92,84
2019-04-29,37,42,81,54,79,62
2019-04-30,49,48,85,24,80,64
2019-05-01,51,60,93,61,79,64
2019-05-02,43,49,86,48,75,61
2019-05-03,76,81,90,49,80,71
2019-05-04,100,88,96,97,89,90
2019-05-05,85,93,94,53,86,85
2019-05-06,61,59,84,29,77,59
2019-05-07,49,42,85,38,77,60
2019-05-08,48,47,85,58,81,60
2019-05-09,52,46,84,57,85,62
2019-05-10,69,74,89,80,94,75
2019-05-11,94,94,100,89,99,100
2019-05-12,74,78,96,55,100,99
2019-05-13,47,40,84,77,75,57
2019-05-14,50,39,85,57,77,59
2019-05-15,48,40,88,48,75,59
2019-05-16,49,53,86,38,75,60
2019-05-17,70,76,87,59,79,74
2019-05-18,88,100,99,55,83,92
2019-05-19,71,79,95,54,81,84
2019-05-20,53,46,86,95,72,62
2019-05-21,46,44,84,84,72,61
2019-05-22,43,39,84,47,72,66
2019-05-23,47,48,82,64,71,62
2019-05-24,59,72,87,70,76,75
2019-05-25,91,100,100,100,80,98
2019-05-26,86,95,99,22,81,91
2019-05-27,64,80,88,87,75,75
2019-05-28,48,52,83,28,70,61
2019-05-29,51,56,85,28,75,65
2019-05-30,52,61,88,58,74,68
2019-05-31,72,78,91,69,82,74
2019-06-01,76,98,92,56,94,84
2019-06-02,81,94,94,11,96,82
2019-06-03,47,44,81,48,82,59
2019-06-04,50,57,81,58,84,62
2019-06-05,49,55,80,87,83,62
2019-06-06,51,55,83,49,86,63
2019-06-07,78,83,89,70,93,73
2019-06-08,100,96,93,67,97,94
2019-06-09,67,77,92,55,94,86
2019-06-10,49,50,82,57,87,63
2019-06-11,47,50,81,38,80,64
2019-06-12,45,48,82,19,85,64
2019-06-13,44,53,84,57,88,66
2019-06-14,65,80,86,50,91,78
2019-06-15,86,89,96,100,94,100
2019-06-16,81,85,90,44,94,92
2019-06-17,48,45,84,29,81,64
2019-06-18,45,49,82,19,85,65
2019-06-19,41,46,83,39,82,64
2019-06-20,51,51,85,10,86,68
2019-06-21,74,77,87,71,90,76
2019-06-22,82,100,95,11,94,92
2019-06-23,77,84,99,56,98,92
2019-06-24,49,43,82,49,84,66
2019-06-25,47,47,85,58,82,67
2019-06-26,51,55,85,39,81,68
2019-06-27,55,47,84,57,88,67
2019-06-28,82,81,89,62,91,75
2019-06-29,95,91,100,90,100,95
2019-06-30,73,91,97,34,98,88
2019-07-01,45,52,85,24,85,64
2019-07-02,43,53,83,46,81,58
2019-07-03,47,51,86,48,82,60
2019-07-04,57,52,91,73,85,74
2019-07-05,69,78,86,59,90,80
2019-07-06,97,95,96,100,92,91
2019-07-07,62,89,95,80,97,81
2019-07-08,42,48,83,16,88,61
2019-07-09,48,47,84,16,85,62
2019-07-10,46,46,79,47,81,62
2019-07-11,40,53,83,55,81,64
2019-07-12,63,77,89,99,91,76
2019-07-13,88,89,95,82,92,90
2019-07-14,73,88,96,81,89,84
2019-07-15,53,46,83,40,81,63
2019-07-16,47,50,84,16,88,65
2019-07-17,56,55,82,40,85,66
2019-07-18,53,55,83,49,85,72
2019-07-19,66,94,88,42,92,81
2019-07-20,87,92,98,66,94,100
2019-07-21,74,91,98,47,100,91
2019-07-22,50,46,84,64,81,68
2019-07-23,60,54,84,32,82,64
2019-07-24,48,51,83,65,83,67
2019-07-25,63,70,85,75,89,68
2019-07-26,89,83,86,67,90,77
2019-07-27,100,100,95,56,94,96
2019-07-28,82,93,100,9,99,90
2019-07-29,63,65,85,33,85,68
2019-07-30,61,62,83,32,84,64
2019-07-31,60,60,80,89,86,64
2019-08-01,58,58,86,67,86,70
2019-08-02,82,69,90,39,90,76
2019-08-03,93,87,96,86,92,94
2019-08-04,83,87,97,26,100,90
2019-08-05,52,55,83,38,82,68
2019-08-06,45,51,82,75,80,65
2019-08-07,62,54,84,23,80,68
2019-08-08,54,53,82,38,80,68
2019-08-09,84,84,87,23,87,81
2019-08-10,89,96,100,26,92,100
2019-08-11,80,84,100,61,94,89
2019-08-12,60,53,84,37,81,69
2019-08-13,58,49,85,30,81,67
2019-08-14,63,58,83,36,84,67
2019-08-15,54,61,84,53,81,70
2019-08-16,89,73,90,54,85,77
2019-08-17,100,83,95,51,90,96
2019-08-18,83,78,94,76,90,83
2019-08-19,58,49,87,44,84,65
2019-08-20,45,51,84,29,75,64
2019-08-21,48,51,84,7,80,64
2019-08-22,64,51,84,44,79,64
2019-08-23,62,73,87,100,85,73
2019-08-24,80,74,94,42,88,90
2019-08-25,84,92,95,17,93,82
2019-08-26,67,60,84,15,78,62
2019-08-27,56,45,84,7,78,59
2019-08-28,61,43,83,87,77,57
2019-08-29,55,49,82,36,81,58
2019-08-30,79,76,84,7,85,69
2019-08-31,91,100,92,25,91,87
2019-09-01,76,79,96,59,90,94
2019-09-02,54,48,94,54,83,78
2019-09-03,53,40,84,22,82,63
2019-09-04,52,40,83,51,79,60
2019-09-05,45,44,85,22,80,61
2019-09-06,73,71,90,46,91,71
2019-09-07,95,85,99,77,92,96
2019-09-08,70,71,98,51,97,82
2019-09-09,39,40,84,44,80,61
2019-09-10,43,43,87,51,77,62
2019-09-11,48,41,86,15,76,64
2019-09-12,53,43,88,22,83,65
2019-09-13,61,62,89,23,87,76
2019-09-14,89,86,98,34,96,94
2019-09-15,79,70,99,51,95,85
2019-09-16,43,39,87,37,83,62
2019-09-17,44,40,85,51,78,62
2019-09-18,50,43,87,36,79,63
2019-09-19,43,49,86,44,83,63
2019-09-20,73,70,90,46,89,79
2019-09-21,94,79,95,100,92,99
2019-09-22,71,82,98,25,92,84
2019-09-23,44,46,86,14,80,63
2019-09-24,52,46,83,22,80,59
2019-09-25,48,42,88,21,82,59
2019-09-26,53,48,87,15,81,63
2019-09-27,77,81,92,38,95,76
2019-09-28,100,100,100,60,91,100
2019-09-29,82,88,99,58,100,84
2019-09-30,50,47,84,36,81,58
2019-10-01,55,43,87,52,81,59
2019-10-02,40,44,87,52,78,64
2019-10-03,52,49,88,36,82,66
2019-10-04,78,68,90,46,87,78
2019-10-05,100,91,100,62,99,100
2019-10-06,74,75,99,20,100,85
2019-10-07,46,36,85,44,79,65
2019-10-08,46,39,85,36,77,63
2019-10-09,51,40,88,53,79,62
2019-10-10,51,42,89,54,83,65
2019-10-11,72,68,92,27,89,79
2019-10-12,97,88,100,71,89,100
2019-10-13,71,78,99,20,97,88
2019-10-14,47,40,89,27,86,67
2019-10-15,47,38,84,35,79,60
2019-10-16,46,35,89,26,81,61
2019-10-17,48,44,87,53,79,63
2019-10-18,83,64,93,55,86,79
2019-10-19,99,86,98,100,95,97
2019-10-20,72,74,98,59,92,81
2019-10-21,47,43,88,43,80,61
2019-10-22,48,46,87,51,81,63
2019-10-23,43,44,87,53,81,61
2019-10-24,52,44,84,86,84,62
2019-10-25,89,82,91,74,90,74
2019-10-26,90,100,98,61,96,93
2019-10-27,80,82,94,40,97,77
2019-10-28,50,46,84,60,80,63
2019-10-29,51,43,87,27,80,62
2019-10-30,48,50,84,35,81,58
2019-10-31,60,54,81,72,85,58
2019-11-01,76,79,89,48,95,80
2019-11-02,92,94,96,91,94,97
2019-11-03,64,72,95,60,95,82
2019-11-04,44,39,86,27,85,63
2019-11-05,39,41,84,70,84,63
2019-11-06,46,37,85,18,85,63
2019-11-07,47,48,88,45,86,65
2019-11-08,62,71,91,64,88,77
2019-11-09,100,100,99,50,93,99
2019-11-10,68,79,94,59,100,91
2019-11-11,41,40,88,53,82,68
2019-11-12,42,43,86,70,83,62
2019-11-13,46,42,87,45,81,61
2019-11-14,47,45,87,53,81,64
2019-11-15,69,70,91,28,90,75
2019-11-16,97,90,100,71,97,100
2019-11-17,61,79,98,61,96,85
2019-11-18,45,38,84,54,82,61
2019-11-19,44,36,87,18,79,63
2019-11-20,48,42,87,18,83,62
2019-11-21,49,45,87,100,80,63
2019-11-22,63,73,89,65,85,73
2019-11-23,85,92,95,80,94,93
2019-11-24,62,77,99,50,98,81
2019-11-25,46,38,85,53,80,62
2019-11-26,44,36,88,72,80,60
2019-11-27,43,42,86,71,85,63
2019-11-28,50,47,89,54,75,75
2019-11-29,71,76,80,64,83,73
2019-11-30,80,91,89,89,89,80
2019-12-01,69,87,79,57,79,49
2019-12-02,43,45,73,42,65,37
2019-12-03,50,45,72,42,69,39
2019-12-04,39,43,76,43,68,40
2019-12-05,51,60,76,44,71,41
2019-12-06,60,80,79,63,73,48
2019-12-07,78,97,82,60,78,60
2019-12-08,75,92,83,40,79,53
2019-12-09,45,42,74,52,66,39
2019-12-10,47,46,73,53,67,40
2019-12-11,44,46,74,52,69,41
2019-12-12,52,52,74,35,72,42
2019-12-13,58,75,76,81,76,49
2019-12-14,90,99,85,79,82,62
2019-12-15,72,92,85,20,82,55
2019-12-16,44,45,76,77,75,41
2019-12-17,50,47,77,17,73,43
2019-12-18,47,51,73,77,72,41
2019-12-19,56,59,72,62,77,42
2019-12-20,69,78,74,74,80,48
2019-12-21,83,100,80,100,79,59
2019-12-22,71,88,82,30,72,58
2019-12-23,56,62,80,93,100,52
2019-12-24,76,76,85,41,76,58
2019-12-25,45,58,100,43,61,100
2019-12-26,67,80,83,10,63,67
2019-12-27,70,76,78,57,71,64
2019-12-28,84,91,84,40,72,71
2019-12-29,74,84,84,59,72,68
2019-12-30,70,67,83,64,95,59
2019-12-31,100,92,87,60,77,63
2020-01-01,100,100,100,60,95,100
2020-01-02,48,46,82,65,82,64
2020-01-03,51,47,81,29,79,68
2020-01-04,69,58,86,61,78,77
2020-01-05,47,52,87,31,79,69
2020-01-06,35,37,81,21,95,51
2020-01-07,33,35,79,21,73,49
2020-01-08,34,26,78,48,74,52
2020-01-09,37,34,81,27,71,54
2020-01-10,59,49,82,49,74,60
2020-01-11,72,62,89,54,83,80
2020-01-12,49,51,88,38,86,69
2020-01-13,33,32,82,32,97,52
2020-01-14,37,33,78,42,72,51
2020-01-15,34,31,79,33,74,52
2020-01-16,38,34,78,41,76,52
2020-01-17,55,48,79,84,78,62
2020-01-18,64,65,91,100,85,79
2020-01-19,52,51,88,82,88,70
2020-01-20,31,31,81,21,100,58
2020-01-21,34,30,76,41,75,51
2020-01-22,39,30,78,27,72,50
2020-01-23,41,32,80,47,74,53
2020-01-24,52,52,80,35,79,61
2020-01-25,67,67,87,62,83,85
2020-01-26,49,52,84,44,75,70
2020-01-27,33,30,79,7,94,47
2020-01-28,31,33,77,27,72,49
2020-01-29,34,33,77,33,70,50
2020-01-30,33,33,78,41,75,50
2020-01-31,49,56,79,77,77,60
2020-02-01,47,100,99,69,71,76
2020-02-02,30,77,95,80,69,59
2020-02-03,22,42,81,19,76,43
2020-02-04,23,40,87,41,61,48
2020-02-05,23,43,85,31,63,48
2020-02-06,24,44,88,41,66,52
2020-02-07,36,74,89,53,72,61
2020-02-08,46,91,94,69,77,79
2020-02-09,39,84,96,91,77,69
2020-02-10,19,39,86,40,87,51
2020-02-11,20,42,85,59,74,52
2020-02-12,24,45,89,100,79,57
2020-02-13,26,46,89,30,92,63
2020-02-14,49,90,92,53,100,85
2020-02-15,52,94,100,68,77,100
2020-02-16,36,83,97,79,74,79
2020-02-17,21,48,93,90,91,58
2020-02-18,22,45,90,49,77,49
2020-02-19,24,44,92,60,63,50
2020-02-20,27,49,89,70,62,52
2020-02-21,43,71,93,84,64,63
2020-02-22,100,83,98,44,70,82
2020-02-23,51,76,97,44,69,71
2020-02-24,27,48,91,30,77,49
2020-02-25,25,36,91,50,63,47
2020-02-26,25,41,88,67,58,47
2020-02-27,31,45,90,19,62,50
2020-02-28,39,77,92,81,65,59
2020-02-29,74,94,99,77,73,78
2020-03-01,39,52,100,32,34,86
2020-03-02,26,26,90,21,36,60
2020-03-03,24,29,89,14,28,59
2020-03-04,26,24,88,21,27,58
2020-03-05,26,32,88,50,27,60
2020-03-06,38,46,90,58,30,70
2020-03-07,75,61,98,65,32,98
2020-03-08,44,45,98,80,32,86
2020-03-09,28,27,84,21,36,60
2020-03-10,21,26,82,42,28,56
2020-03-11,23,25,83,90,27,51
2020-03-12,21,28,83,41,30,50
2020-03-13,31,44,89,72,38,59
2020-03-14,65,52,98,81,43,74
2020-03-15,41,43,98,64,48,87
2020-03-16,23,27,88,28,55,100
2020-03-17,29,30,86,62,63,70
2020-03-18,31,32,91,49,66,51
2020-03-19,31,31,85,49,66,42
2020-03-20,54,48,87,83,71,48
2020-03-21,90,67,94,70,82,47
2020-03-22,64,49,87,100,78,38
2020-03-23,41,38,91,52,100,30
2020-03-24,43,39,88,68,99,29
2020-03-25,36,41,88,28,91,27
2020-03-26,36,42,88,35,90,28
2020-03-27,60,80,93,20,94,32
2020-03-28,100,100,99,68,99,34
2020-03-29,45,56,94,68,97,32
2020-03-30,34,41,89,26,93,23
2020-03-31,40,47,89,52,87,23
2020-04-01,42,41,87,35,90,62
2020-04-02,45,47,86,64,91,67
2020-04-03,70,82,92,84,91,76
2020-04-04,100,100,93,100,100,88
2020-04-05,52,55,91,68,95,76
2020-04-06,34,39,84,35,90,59
2020-04-07,49,44,86,42,88,60
2020-04-08,40,45,88,60,86,63
2020-04-09,52,55,94,73,88,67
2020-04-10,76,74,96,77,87,79
2020-04-11,67,73,100,81,87,84
2020-04-12,52,58,89,27,75,87
2020-04-13,46,47,85,36,76,64
2020-04-14,44,38,88,12,69,69
2020-04-15,46,44,91,77,71,74
2020-04-16,47,47,93,94,71,71
2020-04-17,72,73,97,60,74,90
2020-04-18,87,98,99,87,77,96
2020-04-19,52,56,95,87,71,86
2020-04-20,40,42,90,52,67,69
2020-04-21,43,44,89,75,62,66
2020-04-22,43,43,91,88,62,73
2020-04-23,43,45,91,51,61,68
2020-04-24,58,67,91,54,65,88
2020-04-25,83,85,97,73,69,100
2020-04-26,59,60,94,47,65,93
2020-04-27,41,47,87,36,65,71
2020-04-28,53,49,90,41,62,72
2020-04-29,50,52,89,58,62,79
2020-04-30,49,52,88,50,61,79
2020-05-01,89,89,96,86,80,64
2020-05-02,95,100,95,81,79,69
2020-05-03,69,65,93,82,76,62
2020-05-04,49,47,89,40,70,52
2020-05-05,53,46,94,30,82,59
2020-05-06,46,48,87,78,72,50
2020-05-07,65,54,85,66,78,54
2020-05-08,66,61,90,42,83,69
2020-05-09,88,78,97,46,92,80
2020-05-10,68,65,100,93,100,93
2020-05-11,44,43,82,87,62,54
2020-05-12,47,41,85,64,61,56
2020-05-13,50,49,87,32,66,57
2020-05-14,51,46,87,56,64,63
2020-05-15,76,70,91,82,69,71
2020-05-16,100,88,93,93,72,83
2020-05-17,68,59,96,84,74,78
2020-05-18,51,42,89,73,61,61
2020-05-19,53,43,84,8,60,58
2020-05-20,52,44,87,73,59,63
2020-05-21,55,47,86,100,62,69
2020-05-22,74,67,89,74,63,80
2020-05-23,97,87,93,56,69,93
2020-05-24,68,62,93,66,70,91
2020-05-25,53,45,84,86,57,77
2020-05-26,52,40,81,65,57,64
2020-05-27,47,43,84,25,59,66
2020-05-28,49,48,87,33,58,73
2020-05-29,68,64,85,76,57,79
2020-05-30,83,66,89,93,59,100
2020-05-31,66,58,91,56,63,90
2020-06-01,52,53,81,52,83,55
2020-06-02,51,54,80,52,84,55
2020-06-03,48,57,85,33,88,58
2020-06-04,59,57,82,90,85,60
2020-06-05,78,81,90,68,93,70
2020-06-06,100,100,96,69,96,95
2020-06-07,81,77,98,40,99,83
2020-06-08,49,47,82,49,83,68
2020-06-09,53,50,81,8,80,61
2020-06-10,58,58,86,70,84,66
2020-06-11,72,58,89,9,85,69
2020-06-12,83,79,88,92,90,79
2020-06-13,94,94,94,61,91,96
2020-06-14,68,62,96,71,95,92
2020-06-15,51,44,86,44,80,68
2020-06-16,48,46,86,77,81,66
2020-06-17,49,56,85,44,78,69
2020-06-18,61,53,87,26,85,70
2020-06-19,80,79,87,73,86,84
2020-06-20,93,88,96,92,89,99
2020-06-21,79,84,97,41,100,100
2020-06-22,47,45,84,36,75,71
2020-06-23,56,46,87,72,78,70
2020-06-24,51,50,86,55,80,70
2020-06-25,55,52,86,100,83,71
2020-06-26,82,77,89,65,85,84
2020-06-27,98,100,98,71,88,99
2020-06-28,75,76,100,20,93,93
2020-06-29,50,50,86,27,80,74
2020-06-30,58,54,84,55,78,68
2020-07-01,49,51,80,47,81,64
2020-07-02,48,59,79,39,87,69
2020-07-03,78,96,84,16,88,74
2020-07-04,90,100,86,99,87,83
2020-07-05,68,81,89,54,100,87
2020-07-06,50,51,80,31,79,68
2020-07-07,52,54,77,53,78,69
2020-07-08,51,53,80,16,80,65
2020-07-09,56,52,76,94,85,66
2020-07-10,66,80,81,75,84,78
2020-07-11,80,90,93,45,89,94
2020-07-12,69,82,88,36,94,88
2020-07-13,47,47,77,32,79,68
2020-07-14,55,50,78,56,79,68
2020-07-15,50,56,78,56,77,64
2020-07-16,46,55,79,24,83,66
2020-07-17,67,80,82,67,86,77
2020-07-18,80,95,91,84,87,96
2020-07-19,68,75,93,64,98,87
2020-07-20,46,51,76,48,74,67
2020-07-21,54,49,81,33,78,68
2020-07-22,49,55,78,48,77,64
2020-07-23,59,54,84,24,82,71
2020-07-24,75,70,92,100,83,81
2020-07-25,100,95,99,37,88,100
2020-07-26,74,84,100,55,93,94
2020-07-27,48,52,81,48,77,73
2020-07-28,54,51,79,32,77,67
2020-07-29,47,53,80,81,76,70
2020-07-30,54,53,78,57,81,73
2020-07-31,71,89,85,35,83,83
2020-08-01,97,95,97,28,88,93
2020-08-02,75,85,99,28,100,88
2020-08-03,69,56,90,25,76,75
2020-08-04,67,60,87,40,75,69
2020-08-05,57,54,84,40,72,67
2020-08-06,61,56,86,57,76,69
2020-08-07,75,79,90,17,81,74
2020-08-08,85,84,97,75,83,94
2020-08-09,75,85,99,38,94,89
2020-08-10,58,52,87,73,71,74
2020-08-11,66,54,86,89,75,67
2020-08-12,53,51,83,40,70,69
2020-08-13,59,56,90,25,81,67
2020-08-14,67,72,89,100,76,75
2020-08-15,90,91,99,92,80,100
2020-08-16,82,79,100,28,98,89
2020-08-17,55,49,89,16,72,71
2020-08-18,58,45,86,56,71,69
2020-08-19,50,53,85,32,70,69
2020-08-20,58,62,87,58,77,69
2020-08-21,70,78,89,67,78,77
2020-08-22,100,84,98,46,79,100
2020-08-23,71,85,100,55,90,89
2020-08-24,53,54,84,32,66,67
2020-08-25,60,56,86,63,69,69
2020-08-26,57,53,88,32,67,66
2020-08-27,62,62,87,8,75,66
2020-08-28,76,88,87,17,75,73
2020-08-29,94,100,98,36,79,95
2020-08-30,75,87,100,28,92,88
2020-08-31,66,72,86,32,68,71
2020-09-01,64,50,86,61,71,60
2020-09-02,51,47,90,68,72,62
2020-09-03,57,46,89,68,76,63
2020-09-04,72,78,93,39,81,77
2020-09-05,93,91,100,26,85,100
2020-09-06,75,75,99,26,100,96
2020-09-07,52,45,94,70,74,80
2020-09-08,55,48,87,30,70,56
2020-09-09,52,49,87,30,69,57
2020-09-10,55,46,90,22,78,60
2020-09-11,68,73,94,100,71,69
2020-09-12,95,87,98,44,80,92
2020-09-13,76,69,99,78,96,76
2020-09-14,49,45,86,52,68,57
2020-09-15,50,45,90,37,69,57
2020-09-16,54,47,88,76,70,57
2020-09-17,49,50,89,30,74,57
2020-09-18,74,71,92,39,71,71
2020-09-19,96,90,100,70,75,92
2020-09-20,68,69,99,60,89,77
2020-09-21,49,44,86,59,66,54
2020-09-22,66,42,84,22,69,53
2020-09-23,52,48,90,44,73,56
2020-09-24,56,47,87,45,74,61
2020-09-25,73,84,93,56,82,71
2020-09-26,100,100,97,26,87,91
2020-09-27,71,71,96,61,98,77
2020-09-28,59,43,85,31,72,56
2020-09-29,65,47,84,61,74,54
2020-09-30,58,49,83,30,71,56
2020-10-01,63,51,90,37,81,64
2020-10-02,80,80,89,69,81,80
2020-10-03,100,100,99,68,86,100
2020-10-04,75,69,96,49,100,83
2020-10-05,52,39,86,29,71,60
2020-10-06,54,38,87,0,74,58
2020-10-07,59,43,89,59,72,61
2020-10-08,60,49,87,44,78,65
2020-10-09,67,72,92,32,80,74
2020-10-10,93,94,99,27,83,99
2020-10-11,70,71,100,44,94,84
2020-10-12,42,44,88,39,76,61
2020-10-13,52,44,86,31,73,58
2020-10-14,47,50,86,100,72,60
2020-10-15,55,53,87,23,77,64
2020-10-16,74,74,95,24,81,73
2020-10-17,98,93,97,35,84,96
2020-10-18,73,68,96,44,92,81
2020-10-19,50,46,82,38,74,55
2020-10-20,52,40,83,54,75,54
2020-10-21,49,47,86,38,72,56
2020-10-22,53,51,87,31,77,59
2020-10-23,69,76,89,65,85,74
2020-10-24,98,93,95,69,82,88
2020-10-25,64,71,93,43,93,79
2020-10-26,47,49,83,38,75,55
2020-10-27,52,54,83,15,75,53
2020-10-28,51,52,83,23,74,54
2020-10-29,61,57,87,47,78,60
2020-10-30,75,80,88,40,81,66
2020-10-31,81,98,91,69,85,73
2020-11-01,65,73,92,16,91,88
2020-11-02,45,50,86,58,73,69
2020-11-03,54,48,82,21,69,62
2020-11-04,40,43,68,6,58,53
2020-11-05,51,46,75,19,67,62
2020-11-06,61,77,81,34,70,74
2020-11-07,90,93,88,67,77,98
2020-11-08,60,66,93,31,93,89
2020-11-09,41,41,83,35,69,63
2020-11-10,53,46,81,42,73,65
2020-11-11,46,49,85,42,76,73
2020-11-12,52,52,82,71,80,69
2020-11-13,73,80,88,59,86,79
2020-11-14,100,100,93,56,82,100
2020-11-15,64,70,93,55,100,90
2020-11-16,42,43,84,42,71,61
2020-11-17,45,44,86,21,74,60
2020-11-18,46,49,83,14,72,61
2020-11-19,50,48,87,100,79,64
2020-11-20,68,87,85,58,82,75
2020-11-21,82,97,99,48,80,91
2020-11-22,58,61,100,55,98,83
2020-11-23,38,46,89,86,71,63
2020-11-24,50,42,87,28,74,61
2020-11-25,42,48,89,56,72,66
2020-11-26,48,53,99,71,72,80
2020-11-27,66,80,81,42,73,68
2020-11-28,85,98,87,31,78,86
2020-11-29,57,66,88,30,92,76
2020-11-30,40,43,82,41,72,60
2020-12-01,39,44,73,80,70,42
2020-12-02,42,51,76,44,69,41
2020-12-03,39,52,78,27,75,44
2020-12-04,54,80,81,82,76,49
2020-12-05,71,91,86,79,79,64
2020-12-06,51,66,84,50,89,56
2020-12-07,36,44,72,44,70,44
2020-12-08,45,49,75,52,67,41
2020-12-09,38,47,78,53,70,42
2020-12-10,46,52,76,9,75,46
2020-12-11,52,78,79,55,75,55
2020-12-12,72,88,88,100,80,66
2020-12-13,51,67,87,49,90,59
2020-12-14,35,42,76,45,71,46
2020-12-15,38,43,79,63,73,43
2020-12-16,39,50,77,45,77,43
2020-12-17,49,53,77,45,78,47
2020-12-18,62,83,80,19,84,55
2020-12-19,71,90,87,62,89,66
2020-12-20,61,66,89,51,100,61
2020-12-21,43,53,79,47,83,47
2020-12-22,45,54,81,38,83,48
2020-12-23,54,60,79,87,82,47
2020-12-24,54,79,88,42,84,56
2020-12-25,32,39,100,91,61,100
2020-12-26,59,79,83,42,68,72
2020-12-27,65,73,84,40,81,65
2020-12-28,59,78,75,47,68,54
2020-12-29,59,67,80,57,77,55
2020-12-30,72,69,82,87,73,55
2020-12-31,100,100,96,51,83,65
