Date,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
2017-06-16,64,69,90,88,94,79
2017-06-17,86,82,98,29,99,97
2017-06-18,75,75,93,57,91,91
2017-06-19,43,45,88,36,88,64
2017-06-20,46,41,86,81,90,67
2017-06-21,51,48,87,0,88,68
2017-06-22,50,47,87,35,87,68
2017-06-23,80,74,92,24,96,85
2017-06-24,100,87,100,84,99,100
2017-06-25,90,87,100,43,100,97
2017-06-26,53,47,92,12,94,74
2017-06-27,55,48,86,50,86,71
2017-06-28,53,54,88,100,89,67
2017-06-29,61,53,86,87,91,72
2017-06-30,78,83,87,64,97,83
2017-07-01,100,99,96,29,95,94
2017-07-02,69,86,98,14,100,89
2017-07-03,38,43,91,50,86,77
2017-07-04,43,46,89,25,83,75
2017-07-05,40,47,87,13,85,66
2017-07-06,46,46,85,62,85,70
2017-07-07,67,71,91,78,90,78
2017-07-08,77,90,100,29,97,95
2017-07-09,71,88,97,100,95,88
2017-07-10,47,46,87,48,87,68
2017-07-11,38,43,86,61,86,65
2017-07-12,47,46,87,24,89,66
2017-07-13,43,51,87,24,89,68
2017-07-14,63,71,88,76,89,78
2017-07-15,91,89,99,58,98,97
2017-07-16,71,79,96,42,99,91
2017-07-17,37,46,85,37,84,67
2017-07-18,45,40,87,37,84,68
2017-07-19,42,47,92,25,86,69
2017-07-20,46,49,86,37,85,65
2017-07-21,59,71,90,51,89,79
2017-07-22,82,90,97,85,99,99
2017-07-23,83,84,97,56,97,91
2017-07-24,38,47,87,48,84,67
2017-07-25,45,42,89,48,81,65
2017-07-26,52,48,86,0,88,69
2017-07-27,54,50,89,25,88,71
2017-07-28,75,71,90,38,93,81
2017-07-29,85,100,97,98,98,100
2017-07-30,80,97,98,42,97,93
2017-07-31,45,48,86,48,84,68
2017-08-01,55,49,88,43,84,69
2017-08-02,54,56,91,28,91,71
2017-08-03,58,52,87,43,89,69
2017-08-04,68,75,89,91,88,84
2017-08-05,100,93,100,69,96,100
2017-08-06,96,80,95,35,100,90
2017-08-07,53,55,88,43,85,71
2017-08-08,45,50,88,42,84,69
2017-08-09,45,50,88,43,86,66
2017-08-10,58,49,86,15,87,71
2017-08-11,81,72,88,76,86,77
2017-08-12,94,80,96,34,92,95
2017-08-13,80,75,94,17,88,85
2017-08-14,50,48,86,0,76,66
2017-08-15,52,53,87,30,79,70
2017-08-16,51,52,87,29,80,64
2017-08-17,47,51,87,59,82,68
2017-08-18,79,69,88,0,84,76
2017-08-19,98,83,93,50,92,97
2017-08-20,80,80,96,66,91,81
2017-08-21,48,48,83,43,81,64
2017-08-22,44,51,82,29,80,63
2017-08-23,55,59,83,59,81,62
2017-08-24,53,55,86,30,84,61
2017-08-25,75,69,86,76,83,73
2017-08-26,89,95,92,51,91,88
2017-08-27,87,100,92,100,95,76
2017-08-28,64,65,86,88,78,59
2017-08-29,48,47,86,14,82,57
2017-08-30,56,54,85,29,80,59
2017-08-31,57,56,89,59,87,60
2017-09-01,70,65,91,64,92,80
2017-09-02,79,81,99,100,100,100
2017-09-03,72,76,100,70,95,97
2017-09-04,52,44,92,25,81,76
2017-09-05,45,41,83,35,77,56
2017-09-06,38,38,83,0,77,54
2017-09-07,37,39,87,12,79,58
2017-09-08,69,71,85,37,82,70
2017-09-09,89,88,93,54,89,85
2017-09-10,75,80,94,96,91,75
2017-09-11,40,34,85,35,80,63
2017-09-12,34,36,87,35,78,58
2017-09-13,37,38,88,12,78,62
2017-09-14,47,42,88,71,78,61
2017-09-15,72,71,93,62,85,73
2017-09-16,82,89,98,14,93,93
2017-09-17,77,75,96,67,92,77
2017-09-18,37,35,91,71,78,59
2017-09-19,34,38,87,47,78,60
2017-09-20,42,39,87,23,75,57
2017-09-21,44,43,89,36,81,62
2017-09-22,69,73,88,37,86,76
2017-09-23,85,100,91,96,96,93
2017-09-24,66,75,92,40,94,77
2017-09-25,44,39,87,23,79,59
2017-09-26,37,42,85,0,80,59
2017-09-27,41,42,82,59,81,59
2017-09-28,51,43,86,36,82,58
2017-09-29,69,81,92,50,90,75
2017-09-30,100,97,96,98,97,95
2017-10-01,79,81,94,95,96,83
2017-10-02,49,37,83,14,81,61
2017-10-03,41,37,85,42,81,60
2017-10-04,42,43,88,28,80,61
2017-10-05,47,42,89,70,85,64
2017-10-06,77,66,89,100,84,75
2017-10-07,100,94,94,64,93,100
2017-10-08,69,77,100,63,99,89
2017-10-09,41,38,87,14,89,67
2017-10-10,54,34,86,27,80,61
2017-10-11,50,43,85,27,81,60
2017-10-12,48,47,88,42,84,65
2017-10-13,73,68,94,71,91,78
2017-10-14,98,91,97,64,98,99
2017-10-15,77,75,96,47,100,82
2017-10-16,47,39,89,83,84,62
2017-10-17,40,38,85,54,80,59
2017-10-18,46,39,86,55,85,60
2017-10-19,54,44,87,0,83,65
2017-10-20,71,66,89,43,83,79
2017-10-21,93,100,95,80,98,96
2017-10-22,72,69,93,46,93,80
2017-10-23,51,37,84,27,81,59
2017-10-24,56,38,89,54,81,60
2017-10-25,49,40,88,27,83,58
2017-10-26,54,43,89,41,85,61
2017-10-27,81,63,86,43,89,71
2017-10-28,99,87,91,47,95,88
2017-10-29,79,69,91,31,98,76
2017-10-30,50,39,86,27,82,55
2017-10-31,56,46,83,41,78,53
2017-11-01,60,50,89,62,81,61
2017-11-02,57,40,91,21,82,65
2017-11-03,80,66,94,31,87,77
2017-11-04,100,84,98,57,88,95
2017-11-05,80,71,98,100,94,78
2017-11-06,52,43,89,20,78,57
2017-11-07,52,41,92,49,77,61
2017-11-08,42,42,89,20,77,60
2017-11-09,46,41,93,30,79,64
2017-11-10,73,63,96,82,83,79
