,Date,Open,High,Low,Close,Volume,spill,BP,gas,British Petroleum,oil,petroleum
126,2017-07-04,350.3743572088828,351.1138578071694,348.62287466493746,350.2965087890625,19876493,82,91,99,30,92,65
127,2017-07-05,350.9193373369024,351.77562265936234,344.76969071270366,345.74273681640625,25368129,66,100,95,74,93,71
128,2017-07-06,347.1049499511719,349.20673872627265,343.4852237327249,347.1049499511719,26490663,89,93,100,0,95,76
129,2017-07-07,345.1588792044707,347.2606681084977,343.01817796207536,345.6259460449219,30707061,78,99,94,61,96,66
130,2017-07-10,348.0001059382902,348.3114996129862,343.6797918959067,345.4312744140625,18331990,66,98,96,43,96,88
131,2017-07-11,345.4312744140625,345.4312744140625,345.4312744140625,345.4312744140625,0,76,86,94,57,95,100
132,2017-07-12,346.52108843159976,353.95517308820195,346.4043276790882,350.802490234375,28320265,73,84,93,14,96,70
133,2017-07-13,350.374340496186,350.7246227346653,346.910287905438,347.84442138671875,43157295,74,80,94,72,94,73
134,2017-07-14,348.5450858636235,348.9343042732981,345.0421201765519,346.2486877441406,35068583,100,85,92,74,91,77
135,2017-07-17,347.1827815853863,351.07496523544665,347.1827815853863,348.6228942871094,25593317,71,81,98,100,98,73
136,2017-07-18,347.02713359608936,350.48961913829373,344.65291073767924,346.75469970703125,21329579,90,82,94,43,97,87
137,2017-07-19,348.7397069299776,348.8954038015456,344.80861036096,347.1439208984375,19738356,94,83,100,15,96,81
138,2017-07-20,349.1677371080983,353.44913852679804,348.23362741580047,350.4910888671875,24557977,80,85,94,29,96,69
139,2017-07-21,350.1797548263834,353.72163231485047,346.3654197412643,347.4162902832031,23457226,87,85,94,45,91,78
140,2017-07-24,345.3923390453312,345.7301731277607,340.10985976079775,342.3175048828125,48459293,84,84,95,14,94,70
141,2017-07-25,344.0690885959208,348.46725205867165,343.48526095690056,347.5331420898437,29056650,67,85,93,43,97,86
142,2017-07-26,348.0001126056188,350.1797495902402,346.1318693016594,346.5210876464844,22508378,73,82,91,71,93,74
143,2017-07-27,345.6258916972563,348.58394162830024,344.53608507824026,346.1708068847656,27443204,74,89,87,73,98,90
144,2017-07-28,344.30252981602365,346.8713850819486,342.3175258089015,345.3534240722656,25997567,74,85,92,59,98,72
145,2017-07-31,346.83252091899584,349.79059513355,345.74271410563665,347.0271301269531,31199245,74,89,98,14,93,92
146,2017-08-01,354.1887011218996,360.338346346222,352.2036970246066,355.31744384765625,42301264,72,96,58,58,99,77
147,2017-08-02,355.62879413685016,357.8473433769399,342.00615253840675,357.53594970703125,31899867,78,100,56,28,100,74
148,2017-08-03,356.0958723001155,359.14733081261824,353.0801903272766,358.5479431152344,29931025,82,90,55,29,94,83
149,2017-08-04,356.407253410647,361.9730711513434,356.25155656581506,360.6497192382813,17606313,100,83,53,46,90,74
150,2017-08-07,361.2335508295037,365.9586674267848,358.5479583960137,364.65869140625,43696822,85,95,56,43,89,75
151,2017-08-08,364.50303605051295,368.51198086826025,364.50303605051295,366.760498046875,23637041,74,95,53,84,96,85
152,2017-08-09,365.2036143074151,367.0718578472524,364.1916559855048,364.9700927734375,20578342,70,96,54,29,94,73
153,2017-08-10,366.3321441158343,366.84648400455393,361.5447672474834,362.2173767089844,27170808,80,98,52,0,92,77
154,2017-08-11,358.30046635345747,358.9730758753292,354.2727540946898,354.3044128417969,29095344,85,87,53,46,87,79
155,2017-08-14,354.89789363040484,355.76832807659946,351.81182981985023,352.998779296875,24937146,81,95,52,44,90,82
156,2017-08-15,352.9590653858571,355.293408127626,350.7434368654125,351.4160461425781,18929410,87,79,51,30,92,75
157,2017-08-16,353.3944257959327,355.80788005041154,352.3261664469565,352.48443603515625,26651218,75,96,51,44,93,84
158,2017-08-17,350.78309013044253,354.10655798773485,350.0313700271942,350.7039794921875,22126211,64,90,52,15,93,78
159,2017-08-18,349.5566495028409,350.62490894902834,346.7871004971591,348.171875,27041062,82,96,51,60,93,78
160,2017-08-21,348.7257260737018,350.50615008534726,346.5496522816907,348.2904968261719,32830194,66,86,52,43,86,78
161,2017-08-22,349.4774294646773,356.07686458794365,349.2004698019488,349.91265869140625,25608132,90,94,51,86,90,95
162,2017-08-23,350.26872656109066,352.00959515885665,348.5587439521795,351.7326354980469,22983430,79,89,53,15,90,90
163,2017-08-24,352.44479154611264,355.2610430734264,350.0154962918321,350.66436767578125,28044120,99,82,51,0,91,100
164,2017-08-25,352.6031216094866,355.94081322547765,351.61399706735307,352.52398681640625,15271206,90,91,52,15,87,72
165,2017-08-29,352.9591493283656,352.9591493283656,345.91658826862,348.4883117675781,27701012,95,88,56,100,91,80
166,2017-08-30,349.8730873364858,351.4556864189971,348.1717981524952,349.6752624511719,18506672,79,93,59,29,92,71
167,2017-08-31,350.3873896896463,353.4734768889263,348.76523546318816,352.2469482421875,32564981,90,98,100,15,90,76
