,Date,Open,High,Low,Close,Volume,homes,site,property,building,Barratt Developments,developments
53,2017-03-17,446.0230621843707,455.6104738014179,444.0888999955142,452.6925659179688,4754886,79,93,82,85,95,73
54,2017-03-20,453.5263144727814,455.6105346679688,449.0368960308625,455.6105346679688,3538518,90,97,98,100,0,93
55,2017-03-21,460.6126721292106,461.86320427073787,452.2757911856955,454.77685546875,3966765,84,97,91,99,60,82
56,2017-03-22,454.3599765204685,456.027352581094,447.6904722779662,455.1936645507813,4263237,79,93,94,99,0,81
57,2017-03-23,455.1936078514558,459.3620474837951,453.1093880352861,457.6946716308594,3529716,79,94,88,96,60,74
58,2017-03-24,458.9452610842093,458.9452610842093,450.6083807738695,452.2757568359375,4868496,81,92,84,93,0,63
59,2017-03-27,451.44208599539365,455.7147373171414,444.7725814931533,453.52630615234375,3045867,87,96,96,96,59,73
60,2017-03-28,456.4441965962504,456.4441965962504,448.9410043234354,455.1936645507813,4637552,81,93,92,93,0,84
61,2017-03-29,457.27787197794106,458.1115599851935,446.8567718872861,450.6083679199219,3036369,85,94,97,96,30,73
62,2017-03-30,450.6083588766396,454.3599548339844,450.191514881379,454.3599548339844,5236534,84,93,93,99,60,81
63,2017-03-31,453.5263144727814,456.9777953282394,448.941030043369,455.6105346679688,4637681,81,90,82,88,0,68
64,2017-04-03,456.4442094399112,458.956926101489,450.6083930635105,456.8610534667969,7131540,93,93,95,97,0,74
65,2017-04-04,456.4441397411576,459.0952612412127,454.77676388822186,457.6946716308594,4023685,93,100,98,97,50,98
66,2017-04-05,459.778957203506,459.778957203506,445.6062604266074,457.2778930664063,5536170,90,98,98,93,98,77
67,2017-04-06,456.8610178174615,466.0315856933594,454.0931675888045,466.0315856933594,6743904,90,96,95,93,0,70
68,2017-04-07,465.6147155761718,467.6989354310338,462.2799638083926,465.6147155761719,3848879,85,92,87,91,51,70
69,2017-04-10,466.44847251547446,472.7636697867092,464.3642523523133,470.6169128417969,2530258,95,96,98,96,100,91
70,2017-04-11,471.4505700124821,477.7032300922232,469.7831939912178,473.5347900390625,4042810,92,98,98,98,99,91
71,2017-04-12,478.1200523342617,478.1200523342617,466.865264703028,469.7831726074219,8500420,87,97,95,95,50,75
72,2017-04-13,471.8673791418543,478.1200387594584,466.9819799728588,476.8695068359375,2820660,91,91,91,90,0,65
73,2017-04-18,478.5369040653623,484.37271996859846,472.9345452227084,483.5390319824219,6889824,90,97,96,94,96,100
74,2017-04-19,485.6232427739772,494.7938104486789,483.5390228479087,490.2085266113281,6557214,95,92,92,97,0,77
75,2017-04-20,487.9292728636,491.3059460322062,482.8693124571647,486.2409362792969,3718805,88,92,92,99,0,86
76,2017-04-21,484.1305281476276,488.351369718226,479.0655182629096,484.5526123046875,9523691,90,91,89,88,0,64
77,2017-04-24,490.88387243715056,494.68262983348274,489.1955358165585,492.9942932128906,3846119,95,95,94,95,0,87
78,2017-04-25,495.1046742983993,495.1046742983993,490.4617489639727,492.1500854492188,3741530,90,96,96,100,49,83
79,2017-04-26,492.994301426134,493.52190662885886,489.1955439665148,490.8838806152344,3612248,89,97,100,92,0,91
80,2017-04-27,487.5072642735073,499.7477064067815,486.8741379562689,496.37103271484375,4169877,91,94,95,94,50,66
81,2017-04-28,496.37098758358496,496.37098758358496,487.5072199481638,489.195556640625,5089033,87,89,83,83,50,77
82,2017-05-02,492.1502212139739,502.28024291992193,487.9293788364956,502.2802429199219,4238953,91,91,97,98,0,100
83,2017-05-03,502.2801363295403,505.1165294395371,492.9942850696664,495.1047058105469,2227489,88,96,94,95,0,100
84,2017-05-04,496.3709492671194,498.1935057006013,489.1955188780539,494.2605285644531,2162572,86,94,92,97,0,78
85,2017-05-05,497.2151926995131,498.4814453125,493.4164348605525,498.4814453125,3495729,83,91,89,87,0,76
86,2017-05-08,500.5917753482909,501.4359436035157,497.6371864550042,501.4359436035156,2571968,89,97,100,99,0,87
87,2017-05-09,502.28010383855366,504.3905244429173,501.0138514759354,503.5463562011719,3392851,90,100,99,97,0,81
88,2017-05-10,514.9426879882812,527.1831289322649,508.1893412605661,514.9426879882812,9355258,86,97,93,93,93,82
89,2017-05-11,516.2090320239217,518.3194532505117,504.3906731550175,509.0335998535156,7276407,87,95,93,100,96,93
90,2017-05-12,509.8776988526399,513.2543723549753,509.0335304770561,511.1439514160156,4414105,83,91,87,87,0,82
91,2017-05-15,513.2543334960938,514.7062782606747,505.2347345352173,513.2543334960938,3475068,91,95,95,98,0,73
92,2017-05-16,515.7869086304713,518.7414981234446,512.4102349242162,514.0985717773438,3237840,90,93,94,93,50,73
93,2017-05-17,514.94261107406,520.007620363313,511.565938214558,519.1634521484375,3173303,85,92,96,93,0,77
94,2017-05-18,520.85182279699,525.0726641486673,514.9848430133699,516.6309814453125,5361809,89,90,90,89,100,66
95,2017-05-19,517.8972771816566,523.8064555684074,513.2543513063524,514.9426879882812,4234710,87,90,85,87,0,75
96,2017-05-22,513.2542914629176,517.897216796875,510.1815066943348,517.897216796875,3021530,93,91,96,90,0,78
97,2017-05-23,518.7414981234446,521.7003125804667,514.0985717773438,514.0985717773438,2431929,88,90,87,93,0,71
98,2017-05-24,515.7868735596305,518.4949722829763,510.7218633446423,513.6764526367188,2908745,88,88,95,95,0,89
99,2017-05-25,515.3647452893327,516.208913586285,509.2698749168308,512.41015625,1847703,84,90,89,91,0,74
100,2017-05-26,514.0985002819194,514.9426685910852,505.89320904832215,507.34515380859375,2163951,83,90,83,81,54,57
101,2017-05-30,506.9231350487308,509.8777245119623,502.16201280508926,507.7673034667969,2827651,95,97,96,96,0,92
102,2017-05-31,509.0335014748087,517.8972689134247,509.0335014748087,517.0531005859375,4894838,94,94,95,92,48,68
103,2017-06-01,517.4752136940181,523.3843923169513,506.50102482285615,508.1893615722656,3734005,83,92,97,82,0,95
104,2017-06-02,511.14388311721376,513.7270359403827,501.013863963776,501.8580322265625,4306570,80,90,86,80,0,61
105,2017-06-05,503.1243272661556,504.3399317285618,495.5268122571029,497.2151489257813,2998321,88,95,93,87,43,84
106,2017-06-06,497.21509846654425,500.5917714612237,488.7734159798457,489.6175842285156,4299277,91,97,94,84,0,88
107,2017-06-07,487.9292575911236,496.7930243812737,487.9292575911236,493.4163513183594,8031775,85,96,90,85,0,92
108,2017-06-08,495.5268211235434,499.7476628707627,493.8384844246557,498.059326171875,4557073,83,96,86,80,84,98
109,2017-06-09,492.1501497134683,492.1501497134683,477.3020816233465,486.6630554199219,7078205,77,93,87,77,0,94
110,2017-06-12,481.5980882503553,485.8189303910245,480.4837797423444,484.9747619628906,4523653,91,95,95,83,0,98
111,2017-06-13,485.81884765625006,493.6848019593493,483.2863428031332,485.81884765625,4769348,86,93,93,85,42,80
112,2017-06-14,486.6629991370821,502.7021959863528,486.6629991370821,501.4359436035156,4278162,84,95,91,100,85,84
113,2017-06-15,501.0138767749512,501.4359609171373,474.2959299649911,485.81884765625,6861273,82,86,91,94,0,61
