,Date,Open,High,Low,Close,Volume,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
30,2017-02-14,3196.323974609375,3196.323974609375,3196.323974609375,3196.323974609375,159,32,52,89,73,100,82
31,2017-02-15,3194.967041015625,3194.967041015625,3194.966064453125,3194.966064453125,785,20,41,89,0,64,64
32,2017-02-16,3171.175048828125,3171.175048828125,3171.175048828125,3171.175048828125,63,24,45,95,44,62,61
33,2017-02-17,3149.674072265625,3149.674072265625,3149.674072265625,3149.674072265625,529,35,62,92,0,68,73
34,2017-02-20,3150.1669921875,3150.1669921875,3150.1669921875,3150.1669921875,72,21,38,94,29,64,63
35,2017-02-21,3116.154052734375,3116.154052734375,3116.154052734375,3116.154052734375,13,19,36,91,57,60,55
36,2017-02-22,3140.0,3140.0,3136.674072265625,3136.674072265625,1210,21,34,92,0,60,58
37,2017-02-23,3136.674072265625,3136.674072265625,3136.674072265625,3136.674072265625,0,24,46,93,14,61,60
38,2017-02-24,3126.699951171875,3126.699951171875,3126.699951171875,3126.699951171875,39,36,59,91,30,66,71
39,2017-02-27,3126.699951171875,3126.699951171875,3126.699951171875,3126.699951171875,0,27,38,94,14,65,56
40,2017-02-28,3137.583984375,3137.583984375,3137.583984375,3137.583984375,154,20,38,93,28,66,54
41,2017-03-01,3132.330078125,3140.324951171875,3132.330078125,3140.324951171875,201,35,29,89,42,78,58
42,2017-03-02,3145.60693359375,3145.60693359375,3140.669921875,3140.669921875,1545,30,28,89,28,81,61
43,2017-03-03,3140.669921875,3140.669921875,3140.669921875,3140.669921875,0,51,51,90,44,91,68
44,2017-03-06,3103.0,3124.89990234375,3103.0,3124.89990234375,501,31,26,93,28,83,57
45,2017-03-07,3110.16796875,3110.16796875,3110.16796875,3110.16796875,95,28,29,90,55,82,58
46,2017-03-08,3120.1669921875,3120.1669921875,3105.43701171875,3105.43701171875,564,23,30,88,29,85,57
47,2017-03-09,3149.825927734375,3149.825927734375,3149.825927734375,3149.825927734375,379,27,33,92,0,79,61
48,2017-03-10,3157.324951171875,3157.324951171875,3157.324951171875,3157.324951171875,481,39,50,87,30,83,71
49,2017-03-13,3282.43896484375,3329.822021484375,3282.43896484375,3282.44091796875,3355,29,26,93,54,82,59
50,2017-03-14,3470.875,3509.25,3414.18798828125,3414.18798828125,2760,25,27,88,100,80,55
51,2017-03-15,3237.75,3262.5,3208.62890625,3208.62890625,6156,30,30,88,73,83,61
52,2017-03-16,3176.68798828125,3212.677001953125,3166.56298828125,3176.81494140625,1052,28,31,90,73,83,61
53,2017-03-17,3167.25,3167.25,3164.5,3164.5,3082,41,50,95,31,87,73
54,2017-03-20,3074.0,3074.8330078125,3068.5,3074.8330078125,644,28,30,88,59,81,60
55,2017-03-21,3060.25,3060.625,3031.8310546875,3031.8310546875,534,30,28,90,15,82,59
56,2017-03-22,3011.2529296875,3031.66796875,3011.2529296875,3031.66796875,1307,23,32,88,43,79,59
57,2017-03-23,3049.590087890625,3049.590087890625,2985.8349609375,2985.8349609375,3300,27,29,90,44,82,61
58,2017-03-24,3023.946044921875,3023.946044921875,3013.6640625,3019.70703125,567,45,55,91,76,95,74
59,2017-03-27,3142.157958984375,3142.157958984375,3142.157958984375,3142.157958984375,19,29,29,90,14,79,57
60,2017-03-28,3135.322998046875,3135.322998046875,3135.322998046875,3135.322998046875,96,28,29,88,44,81,56
61,2017-03-29,3123.8291015625,3123.8291015625,3117.93408203125,3117.93408203125,664,28,27,90,15,83,60
62,2017-03-30,3112.75,3112.8740234375,3102.83203125,3107.9130859375,5805,29,35,87,59,84,61
63,2017-03-31,3120.0,3148.822998046875,3120.0,3133.077880859375,15428,46,57,90,30,89,73
64,2017-04-03,3127.05810546875,3129.830078125,3127.05810546875,3129.830078125,4326,32,40,87,67,79,62
65,2017-04-04,3100.0,3134.531005859375,3075.31494140625,3075.31494140625,1699,35,41,91,34,79,63
66,2017-04-05,3062.0,3062.0,2999.8359375,2999.8359375,871,30,41,88,34,83,66
67,2017-04-06,2978.0,3080.06298828125,2978.0,2992.8330078125,6492,36,52,90,52,83,70
68,2017-04-07,2988.1669921875,2988.1669921875,2988.1669921875,2988.1669921875,54,51,65,89,18,82,79
69,2017-04-10,3018.75,3025.133056640625,3013.8330078125,3013.8330078125,1349,36,46,90,17,79,68
70,2017-04-11,3018.81298828125,3018.81298828125,3006.6640625,3006.6640625,427,31,41,87,34,81,66
71,2017-04-12,3000.0,3035.166015625,3000.0,3035.166015625,3974,38,40,88,53,87,67
72,2017-04-13,3062.158935546875,3062.158935546875,3062.158935546875,3062.158935546875,44,47,56,88,36,86,71
73,2017-04-18,3035.75,3067.6669921875,3035.75,3067.6669921875,36,36,41,83,67,82,60
74,2017-04-19,3035.1640625,3035.1640625,3035.1640625,3035.1640625,67,27,39,86,34,79,62
75,2017-04-20,3051.654052734375,3051.654052734375,3051.654052734375,3051.654052734375,26,36,50,88,34,84,65
76,2017-04-21,3076.658935546875,3076.658935546875,3056.31298828125,3056.31298828125,4878,50,76,88,71,90,78
77,2017-04-24,3094.278076171875,3094.278076171875,3076.340087890625,3076.340087890625,112,30,36,92,51,82,64
78,2017-04-25,3075.0,3106.842041015625,3075.0,3106.842041015625,169,39,42,89,51,82,63
79,2017-04-26,3101.375,3101.375,3063.3310546875,3063.3310546875,1686,27,44,86,50,83,61
80,2017-04-27,3073.325927734375,3073.325927734375,3073.325927734375,3073.325927734375,69,41,48,87,86,82,66
81,2017-04-28,3097.5,3098.14404296875,3092.25,3097.43408203125,1459,53,82,86,70,89,72
82,2017-05-02,3012.5,3012.5,3012.5,3012.5,3,44,49,88,28,73,61
83,2017-05-03,2900.159912109375,2900.159912109375,2900.159912109375,2900.159912109375,25,40,40,89,14,73,59
84,2017-05-04,2885.25,2892.052978515625,2882.31298828125,2892.052978515625,19149,41,43,91,57,74,63
85,2017-05-05,2892.052978515625,2892.052978515625,2892.052978515625,2892.052978515625,0,66,68,93,44,82,78
86,2017-05-08,2980.14306640625,2980.14306640625,2980.14306640625,2980.14306640625,7,39,43,89,0,77,62
87,2017-05-09,2998.0,3002.85693359375,2997.490966796875,2997.490966796875,2533,37,39,90,28,82,63
88,2017-05-10,3030.0,3021.280029296875,3000.159912109375,3000.159912109375,1276,38,40,87,43,86,65
89,2017-05-11,2997.285888671875,2997.285888671875,2997.285888671875,2997.285888671875,21,50,47,90,29,87,66
90,2017-05-12,2957.1630859375,2957.1630859375,2957.1630859375,2957.1630859375,49,68,70,92,60,93,81
91,2017-05-15,2960.1669921875,2960.1669921875,2960.1669921875,2960.1669921875,36,41,40,92,75,73,63
92,2017-05-16,3033.31298828125,3146.5,3033.31298828125,3054.178955078125,2254,37,39,90,15,73,62
93,2017-05-17,3150.0,3165.179931640625,3150.0,3165.179931640625,54,43,46,88,30,70,60
94,2017-05-18,3122.875,3272.0,3122.875,3227.18896484375,3494,52,50,88,15,69,65
95,2017-05-19,3301.18505859375,3301.18505859375,3253.1669921875,3253.1669921875,105,61,73,91,16,80,77
96,2017-05-22,3305.655029296875,3319.81689453125,3305.655029296875,3319.81689453125,968,40,43,92,76,73,66
97,2017-05-23,3320.0,3344.81591796875,3320.0,3344.81591796875,4875,38,40,90,59,73,61
98,2017-05-24,3450.56298828125,3459.81005859375,3445.875,3459.81005859375,948,42,40,91,31,73,64
99,2017-05-25,3569.964111328125,3572.712890625,3498.25,3572.303955078125,4074,43,53,93,15,75,67
100,2017-05-26,3577.324951171875,3577.3330078125,3477.466064453125,3477.466064453125,3639,62,71,94,0,79,76
101,2017-05-30,3532.115966796875,3649.5,3532.115966796875,3600.677001953125,1314,45,44,88,45,72,61
102,2017-05-31,3709.25,3739.5,3693.5810546875,3739.5,19086,46,46,88,29,73,64
103,2017-06-01,3759.29296875,3759.29296875,3727.20703125,3727.2080078125,2161,56,51,85,12,85,63
104,2017-06-02,3743.75,3799.7919921875,3743.75,3799.7919921875,25770,76,85,89,64,88,71
105,2017-06-05,3797.75,3839.782958984375,3791.60205078125,3839.782958984375,3865,52,54,90,24,84,62
106,2017-06-06,3799.219970703125,3799.219970703125,3789.79296875,3789.79296875,3278,47,52,87,70,80,63
107,2017-06-07,3760.43798828125,3760.43798828125,3665.5,3665.698974609375,12070,52,45,87,12,83,59
108,2017-06-08,3662.721923828125,3672.7880859375,3662.721923828125,3662.72412109375,3309,55,46,84,12,82,63
109,2017-06-09,3565.0,3586.972900390625,3565.0,3586.972900390625,3801,71,71,89,13,85,72
110,2017-06-12,3552.139892578125,3552.14111328125,3551.138916015625,3551.196044921875,2585,47,48,86,24,90,65
111,2017-06-13,3596.740966796875,3639.25,3596.739013671875,3639.25,6130,47,41,85,47,83,63
112,2017-06-14,3620.7119140625,3629.75,3620.7119140625,3629.75,1838,40,43,86,24,88,65
113,2017-06-15,3600.0,3600.0,3597.02587890625,3597.02587890625,1017,47,44,87,37,86,68
114,2017-06-16,3603.802978515625,3603.802978515625,3603.5029296875,3603.5029296875,927,64,69,90,88,94,79
115,2017-06-19,3603.5029296875,3603.5029296875,3603.5029296875,3603.5029296875,0,43,45,88,36,88,64
116,2017-06-20,3622.3349609375,3622.3349609375,3620.2880859375,3620.675048828125,4845,46,41,86,81,90,67
117,2017-06-21,3641.0810546875,3686.448974609375,3634.06494140625,3634.06494140625,8498,51,48,87,0,88,68
118,2017-06-22,3738.780029296875,3749.7939453125,3717.18701171875,3749.7939453125,3348,50,47,87,35,87,68
119,2017-06-23,3760.0,3760.0,3691.70703125,3736.75,803,80,74,92,24,96,85
120,2017-06-26,3743.791015625,3743.791015625,3743.791015625,3743.791015625,139,53,47,92,12,94,74
121,2017-06-27,3710.81298828125,3711.5,3710.81298828125,3711.299072265625,368,55,48,86,50,86,71
122,2017-06-28,3719.5,3719.5,3719.2919921875,3719.2919921875,169,53,54,88,100,89,67
123,2017-06-29,3710.199951171875,3710.199951171875,3710.199951171875,3710.199951171875,5,61,53,86,87,91,72
124,2017-06-30,3750.0,3750.0,3713.0,3729.0,3871,78,83,87,64,97,83
125,2017-07-03,3769.60009765625,3769.60009765625,3749.7958984375,3765.85302734375,3072,38,43,91,50,86,77
126,2017-07-04,3765.85302734375,3765.85302734375,3765.85302734375,3765.85302734375,0,43,46,89,25,83,75
127,2017-07-05,3830.0,3830.0,3793.0,3799.722900390625,6825,40,47,87,13,85,66
128,2017-07-06,3779.568115234375,3779.568115234375,3737.965087890625,3737.965087890625,524,46,46,85,62,85,70
129,2017-07-07,3819.5,3819.5,3758.69189453125,3807.469970703125,3329,67,71,91,78,90,78
130,2017-07-10,4094.174072265625,4094.174072265625,3984.155029296875,3984.155029296875,1063,47,46,87,48,87,68
131,2017-07-11,3984.155029296875,3984.155029296875,3984.155029296875,3984.155029296875,0,38,43,86,61,86,65
132,2017-07-12,4103.06298828125,4103.06298828125,4015.216064453125,4062.0,27962,47,46,87,24,89,66
133,2017-07-13,3992.0,3997.26904296875,3992.0,3997.26904296875,1544,43,51,87,24,89,68
134,2017-07-14,3992.0,4060.218994140625,3992.0,4010.498046875,731,63,71,88,76,89,78
135,2017-07-17,4050.705078125,4050.705078125,4040.22412109375,4040.22412109375,255,37,46,85,37,84,67
136,2017-07-18,4041.794921875,4041.794921875,4009.720947265625,4009.720947265625,281,45,40,87,37,84,68
137,2017-07-19,3990.222900390625,3990.222900390625,3990.222900390625,3990.222900390625,139,42,47,92,25,86,69
138,2017-07-20,4000.72705078125,4000.72705078125,4000.72705078125,4000.72705078125,22,46,49,86,37,85,65
139,2017-07-21,3920.218994140625,3973.987060546875,3920.218994140625,3973.987060546875,399,59,71,90,51,89,79
140,2017-07-24,3946.783935546875,3946.783935546875,3946.783935546875,3946.783935546875,370,38,47,87,48,84,67
141,2017-07-25,3971.0,3977.9541015625,3971.0,3977.9541015625,32569,45,42,89,48,81,65
142,2017-07-26,3915.708984375,3918.111083984375,3915.708984375,3918.111083984375,401,52,48,86,0,88,69
143,2017-07-27,3914.5,3914.75,3914.5,3914.75,165,54,50,89,25,88,71
144,2017-07-28,3872.927001953125,3872.927001953125,3868.22705078125,3868.22705078125,1503,75,71,90,38,93,81
145,2017-07-31,3839.949951171875,3859.7080078125,3839.949951171875,3859.7080078125,2971,45,48,86,48,84,68
146,2017-08-01,3910.0,3918.75,3897.2080078125,3917.867919921875,22416,55,49,88,43,84,69
147,2017-08-02,3760.125,3915.68798828125,3700.0,3705.0,271638,54,56,91,28,91,71
148,2017-08-03,3716.75,3739.2958984375,3688.5,3702.5869140625,6737,58,52,87,43,89,69
149,2017-08-04,3745.659912109375,3757.2919921875,3745.659912109375,3757.2919921875,735,68,75,89,91,88,84
150,2017-08-07,3720.29296875,3720.29296875,3706.779052734375,3706.779052734375,464,53,55,88,43,85,71
151,2017-08-08,3739.797119140625,3739.797119140625,3739.006103515625,3739.006103515625,425,45,50,88,42,84,69
152,2017-08-09,3725.0,3725.0,3711.93701171875,3713.34912109375,1788,45,50,88,43,86,66
153,2017-08-10,3727.0,3754.708984375,3727.0,3727.14599609375,13112,58,49,86,15,87,71
154,2017-08-11,3707.0,3740.2041015625,3707.0,3733.25,10397,81,72,88,76,86,77
155,2017-08-14,3756.25,3756.25,3724.118896484375,3724.118896484375,430,50,48,86,0,76,66
156,2017-08-15,3749.75,3779.705078125,3749.595947265625,3749.595947265625,233,52,53,87,30,79,70
157,2017-08-16,3777.389892578125,3783.29296875,3777.389892578125,3783.29296875,583,51,52,87,29,80,64
158,2017-08-17,3770.29296875,3770.29296875,3770.29296875,3770.29296875,53,47,51,87,59,82,68
159,2017-08-18,3718.0,3729.7919921875,3700.030029296875,3729.7919921875,25443,79,69,88,0,84,76
160,2017-08-21,3700.5,3753.708984375,3700.5,3701.85009765625,231322,48,48,83,43,81,64
161,2017-08-22,3749.75390625,3749.75390625,3745.304931640625,3745.304931640625,636,44,51,82,29,80,63
