,Date,Open,High,Low,Close,Volume,treatment,MedImmune,Covid,research,drug,AstraZeneca
41,2017-03-01,4061.7978091974583,4101.831104824687,4015.110478057258,4080.996337890625,3188632,89,79,0.0,95,89,62
42,2017-03-02,4114.5939093317165,4188.241250833964,4087.54143612084,4142.51904296875,2664273,90,20,0.0,96,98,72
43,2017-03-03,4146.445778770036,4196.696188045637,4131.141838300753,4171.7529296875,2264714,87,21,0.0,80,93,84
44,2017-03-06,4170.007783533294,4214.748247744656,4149.832624727214,4155.60888671875,1236910,95,100,0.0,96,93,60
45,2017-03-07,4155.608880765994,4187.037012596873,4032.127432502998,4115.90283203125,1976976,94,20,83.0,96,97,69
46,2017-03-08,4144.264230849477,4225.4757630492895,4101.0675411406855,4149.9365234375,3083578,100,41,88.0,100,96,35
47,2017-03-09,4146.445455054144,4210.96990712,4112.411703029076,4157.7900390625,1723294,91,41,0.0,94,93,61
48,2017-03-10,4166.080822113996,4233.187470613877,4152.118255470966,4153.42724609375,2059505,91,22,0.0,82,83,56
49,2017-03-13,4170.00775839864,4267.712487976079,4156.045191874757,4201.85986328125,2595417,91,77,0.0,95,93,73
50,2017-03-14,4219.312713337013,4286.480714498532,4212.767760834422,4236.32958984375,2216997,91,21,0.0,89,87,69
51,2017-03-15,4245.492737697326,4331.275082387531,4224.548888631604,4232.40283203125,2629244,92,21,0.0,88,90,69
52,2017-03-16,4232.8389990415,4278.9907151203415,4214.513131815467,4246.365234375,2294572,91,84,0.0,95,91,60
53,2017-03-17,4206.223118108025,4310.993924410655,4206.223118108025,4273.41796875,4469010,90,22,0.0,79,84,100
54,2017-03-20,4275.600290826292,4344.49786270706,4240.257539162149,4276.03662109375,1337141,98,41,0.0,93,92,67
55,2017-03-21,4269.927920622961,4322.439244718956,4208.405354016805,4211.89599609375,2222127,98,82,0.0,99,100,61
56,2017-03-22,4188.3334727488245,4285.577580630171,4180.479529368318,4234.58447265625,1969612,93,41,0.0,92,100,70
57,2017-03-23,4250.72902335086,4408.20673638763,4236.766456244802,4327.95947265625,3049287,97,42,0.0,96,91,60
58,2017-03-24,4317.92410612382,4341.593317508842,4272.763925749547,4300.9072265625,1667736,86,21,0.0,83,93,67
59,2017-03-27,4290.435011380306,4409.579152604877,4245.056668943252,4341.04931640625,2043529,94,21,88.0,94,92,75
60,2017-03-28,4333.195628750708,4374.009124381167,4310.942786432081,4328.39599609375,2100864,99,84,0.0,99,98,52
61,2017-03-29,4314.432769452013,4403.42921150343,4307.015156478643,4323.595703125,1768597,96,21,89.0,95,96,49
62,2017-03-30,4337.558382462071,4406.900793795221,4290.434722336741,4299.59765625,1696461,94,21,0.0,96,95,38
63,2017-03-31,4303.089043913009,4369.2395239181615,4276.90922819259,4286.94482421875,2287390,85,44,0.0,77,91,76
64,2017-04-03,4286.943857849495,4345.973278318987,4264.254689339757,4284.76220703125,2447273,96,24,0.0,95,86,65
65,2017-04-04,4291.743792176463,4393.343107502396,4283.453518482751,4324.0322265625,2779515,94,74,0.0,100,96,100
66,2017-04-05,4308.7610799384,4332.267093088598,4231.966958412409,4238.9482421875,2482511,96,0,0.0,98,92,69
67,2017-04-06,4204.47841868157,4255.972207429983,4164.772364706889,4184.4072265625,2123849,93,100,0.0,92,90,70
68,2017-04-07,4166.516135843948,4236.97748172844,4154.298893011858,4183.0966796875,2171075,90,0,100.0,85,83,72
69,2017-04-10,4170.8804462218695,4229.708325462535,4124.193114100754,4134.6650390625,1841398,96,100,0.0,95,96,80
70,2017-04-11,4166.953248485248,4224.9608749252975,4131.610503655164,4140.7734375,1920542,100,25,0.0,95,96,84
71,2017-04-12,4136.410472248257,4217.573006151042,4127.247537657834,4131.61083984375,1512895,93,0,0.0,93,96,77
72,2017-04-13,4131.610706835238,4139.0283203125,4098.013281085284,4139.0283203125,1844895,91,52,0.0,84,96,91
