,Date,Open,High,Low,Close,Volume,bank,capital,Barclays,banking,business,London
0,2017-01-03,199.81379785254373,207.28140482508687,198.664932129503,204.93948364257807,55552090,100,90,100,100,83,86
1,2017-01-04,206.3092611249031,207.67906188964844,204.2943334330141,207.67906188964844,31177764,96,93,89,94,89,86
2,2017-01-05,207.2371924104077,209.35816467867863,204.01154427640964,205.51390075683597,36901986,93,89,92,92,90,86
3,2017-01-06,204.80691656422792,208.51862497651985,204.5859813791532,207.90000915527344,28600450,91,86,82,89,78,86
4,2017-01-09,211.21403729038076,212.09777803218148,205.51391220272856,206.8395233154297,32589710,89,91,78,89,88,98
5,2017-01-10,206.4860210946865,209.71168292699747,203.30456248170563,208.78375244140625,31718216,88,94,74,85,92,85
6,2017-01-11,209.0488725269158,209.88842352404933,204.80691432294077,206.9720764160156,36655762,84,94,70,80,92,85
7,2017-01-12,205.73483938291525,207.72325597459647,204.76271921083475,205.248779296875,28992021,86,91,73,81,94,95
8,2017-01-13,204.1883007429815,208.6953704276169,204.1883007429815,207.90000915527344,39301433,90,90,77,79,80,89
9,2017-01-16,206.35345521436585,206.35345521436585,202.5533674749117,204.23248291015625,28280597,85,90,81,78,88,86
10,2017-01-17,202.37661576143265,208.16511991358027,202.37661576143265,204.67434692382807,48407947,89,92,73,73,96,83
11,2017-01-18,204.4534166684269,207.69408691632543,199.946333697238,201.13938903808597,43766069,84,94,62,73,98,81
12,2017-01-19,202.64175159210407,207.6940931259392,200.43239977248848,201.7580108642578,37558870,83,92,66,72,95,83
13,2017-01-20,201.4928657442592,202.77428697417915,200.0788753275677,200.96261596679688,54380881,84,92,70,77,82,82
14,2017-01-23,199.0626010852296,199.1067908190591,196.3229994055585,198.39979553222656,28342201,85,94,74,74,92,85
15,2017-01-24,199.54866867235148,202.7301273552071,199.50447893686444,202.06732177734372,36563063,83,100,75,75,95,80
16,2017-01-25,203.30455562932707,205.9115880601648,203.30455562932707,204.0115509033203,41402288,83,92,70,77,93,83
17,2017-01-26,205.0278283266425,208.72185772636965,204.6743374648317,205.33714294433597,52157732,74,90,72,62,86,84
18,2017-01-27,204.895294815297,207.3034802274205,201.89056822523847,203.7906188964844,28619310,90,92,84,83,85,80
19,2017-01-30,201.1394107328082,201.58128113118008,196.8974522114752,197.4276885986328,68379387,90,92,84,85,95,83
20,2017-01-31,196.89742632218525,199.76958353395355,193.62758850113465,193.9368896484375,48441418,93,99,97,96,100,86
21,2017-02-01,195.9695091994488,197.9137361315223,194.37877316963824,196.27882385253903,32776938,94,96,94,100,95,95
22,2017-02-02,197.86952517307893,198.57652038658267,194.59968748103773,195.61599731445312,42923195,95,93,87,94,96,92
23,2017-02-03,196.63229066388837,203.39290110627252,195.571804602214,202.2440490722656,43542033,96,93,87,89,85,94
24,2017-02-06,202.81847670310304,206.22088355806025,200.922849256209,200.96261596679688,42267862,93,88,85,90,90,92
25,2017-02-07,200.25565237771065,202.50918042396705,199.2393424596764,199.76959228515625,33574738,87,97,79,90,100,92
26,2017-02-08,199.4160705867737,201.31612105904145,195.39506145123684,198.7974548339844,41800806,88,94,77,84,93,97
