,Date,Open,High,Low,Close,Volume,government,aircraft,Airbus,defence,BAE Systems,aerospace
68,2017-04-07,513.2077429819916,525.6759561735603,511.1967408543192,522.05615234375,13207728,71,70,96,81,69,75
69,2017-04-10,521.6539596129801,524.6463072566646,515.2187527095047,516.4253540039062,6569151,81,66,80,86,63,71
70,2017-04-11,514.8165919719407,519.6832077485783,514.4143915094627,516.023193359375,6536522,81,76,87,91,59,100
71,2017-04-12,517.6320241410328,525.6760338401942,514.8166207463264,520.0452270507812,10283775,82,60,92,100,80,84
72,2017-04-13,520.0451392474849,520.8495400815879,514.4143334087651,517.229736328125,7538989,73,78,79,91,79,78
73,2017-04-18,518.8385052916954,519.6429060750933,509.5878962826186,512.0010986328125,10788304,83,71,72,78,65,95
74,2017-04-19,512.4032875926224,514.816489888977,506.370281851736,507.1746826171875,7459860,78,82,78,87,28,81
75,2017-04-20,510.6227156398179,517.7648761852421,505.6970945886299,508.57037353515625,7727558,84,69,89,82,84,88
76,2017-04-21,507.3388935491791,519.4066733683937,506.5179568282257,509.3912353515625,11565558,77,66,87,77,39,88
77,2017-04-24,520.0634239275681,522.1814547429364,513.4959300184591,515.958740234375,7261166,100,73,100,81,49,84
78,2017-04-25,517.6005249023438,520.0633346956936,513.9063102123191,517.6005249023438,9287216,97,72,98,87,83,85
79,2017-04-26,517.1902027803309,524.5786342486214,513.9064554610907,523.3472290039062,8382320,94,100,90,83,89,86
80,2017-04-27,520.4739187394761,522.9367290805145,515.1378296672259,518.0111083984375,14109819,91,77,96,89,66,97
81,2017-04-28,518.4215714304071,528.478046885708,514.3168875711007,514.7273559570312,8048292,90,59,87,79,77,89
82,2017-05-02,516.369192053213,524.1680908203125,512.6749768477449,524.1680908203125,7490683,100,86,87,97,100,84
83,2017-05-03,523.3471276625147,523.9628301656471,519.6529126437205,522.11572265625,4615933,99,85,100,92,45,88
84,2017-05-04,522.5262590433837,525.8100061544183,519.2425119323491,521.705322265625,4692589,96,88,91,93,63,86
85,2017-05-05,522.9366831186655,532.7879236169764,520.4738729940879,531.5565185546875,5964268,84,90,91,93,51,68
86,2017-05-08,528.6832287798085,529.9146338157863,523.3471402905712,524.989013671875,5489698,95,81,91,92,41,81
87,2017-05-09,524.9890262016427,531.5565198836023,524.9890262016427,527.8623046875,6391484,93,83,96,93,87,98
88,2017-05-10,525.8099975585938,529.9146813802845,521.2948453547339,525.8099975585938,6937741,99,82,78,88,54,91
89,2017-05-11,522.9366513161503,526.2203979492188,521.294777999616,526.2203979492188,8182050,90,79,94,88,25,85
90,2017-05-12,526.6308801174164,527.0413484573364,520.4738550186157,525.3994750976562,5852841,84,84,89,92,39,84
91,2017-05-15,527.0414113210563,528.3385054595963,520.473917098987,521.705322265625,6741067,92,85,84,90,61,90
92,2017-05-16,522.5262160709078,529.9146464631124,519.6529375850506,527.8623046875,6310273,90,82,87,88,49,100
93,2017-05-17,527.0413693134544,528.2727743819438,521.0362152585478,524.1680908203125,6486750,87,85,89,85,18,73
94,2017-05-18,523.7576642100216,524.9398151742344,514.3168912657972,521.705322265625,9924507,87,80,85,88,67,68
95,2017-05-19,523.347133398056,529.545195309649,518.4215133190155,525.3994750976562,10217901,78,89,85,92,56,73
96,2017-05-22,527.0413276987529,530.887413888078,525.3994544037412,526.630859375,5672270,84,89,87,94,63,93
97,2017-05-23,526.630859375,530.3250742887762,526.220391051247,526.630859375,5568926,83,79,75,96,70,75
98,2017-05-24,527.4519214336689,543.4601898662861,527.4519214336689,533.6089477539062,11352097,85,84,93,95,72,73
99,2017-05-25,534.8402696469935,540.1763582927425,533.6088645748976,538.5344848632812,5866820,84,86,87,91,37,91
100,2017-05-26,539.3555325824099,547.9753698611241,538.9450641405664,546.33349609375,7878114,70,70,68,100,62,73
101,2017-05-30,544.6916293266124,547.2365136563442,542.6392870910186,545.9230346679688,7263829,82,84,80,87,48,92
102,2017-05-31,546.7439645355936,548.948178064053,543.8706854426888,546.33349609375,8534338,89,86,86,88,78,89
103,2017-06-01,550.0275465354522,555.7741029917928,548.3856732622121,552.4903564453125,9106779,89,78,62,88,34,87
104,2017-06-02,554.5426781953271,555.363614802574,547.745299036445,550.0275268554688,5843671,82,67,65,90,43,89
105,2017-06-05,551.2589111328125,552.079847709332,547.1542282502153,551.2589111328125,5049845,88,73,55,91,100,75
106,2017-06-06,552.4904715375893,553.0528112465782,549.2067243070538,552.9009399414062,6621653,88,66,67,87,54,100
107,2017-06-07,552.9009012629477,557.0055850139719,546.3334072613092,547.9752807617188,7886922,91,67,69,100,44,93
108,2017-06-08,549.6170603049505,551.4888198263211,541.4076942062956,542.6390991210938,10614520,92,64,62,90,18,78
109,2017-06-09,542.6391821541497,555.774169921875,540.5868403154427,555.774169921875,14399911,100,62,69,79,57,77
110,2017-06-12,553.3113766603026,554.542781801238,544.6915406737548,547.5648193359375,7040705,84,66,79,83,59,82
111,2017-06-13,547.1543330148461,547.1543330148461,538.5344973109363,541.4077758789062,9775850,87,74,74,76,50,85
112,2017-06-14,540.9973075120533,545.1019911805819,540.1763707783476,541.4077758789062,10429193,87,71,72,74,48,81
113,2017-06-15,542.2286861425483,543.8705595298081,534.8402558998793,539.3554077148438,8752653,81,69,76,70,49,72
114,2017-06-16,541.4077118509414,552.4903564453125,540.1763068960113,552.4903564453125,14085421,82,63,78,77,65,53
115,2017-06-19,555.3637084960938,557.6894287103561,550.4380880216273,555.3637084960938,737476,76,74,100,86,73,83
116,2017-06-20,557.0055959434707,560.153906480443,554.5427856445312,554.5427856445312,635304,90,76,82,84,81,78
117,2017-06-21,556.5951136147104,558.2369871061992,552.9008982588606,555.3637084960938,875612,85,71,71,75,50,82
118,2017-06-22,554.953223464541,556.184628546193,541.407767566368,545.512451171875,1419463,86,74,83,81,72,83
119,2017-06-23,541.4078477595403,541.8183161808895,533.1385525464324,533.6089477539062,1164986,81,69,70,75,19,75
120,2017-06-26,533.6088644600294,535.2917747036648,527.4518391008753,534.306640625,1709629,74,100,81,96,41,72
121,2017-06-27,533.1984669724623,534.2656748220294,527.0414407949512,529.5452880859375,1019692,80,84,81,89,61,91
122,2017-06-28,528.2728078516083,529.0937446159464,523.3471872655792,525.8099975585938,7154885,86,81,64,88,49,69
123,2017-06-29,529.093753265453,527.8623480988149,518.557011684759,521.705322265625,1134181,88,85,73,83,77,81
124,2017-06-30,521.705350205949,525.3995659037095,519.2425397407754,520.0634765625,993327,74,81,71,78,50,71
125,2017-07-03,522.1156623459768,522.9365989219925,513.90629658582,518.4214477539062,7436988,91,79,78,79,66,68
126,2017-07-04,516.3691555044608,516.7796238315708,510.2121305978098,511.85400390625,6386339,89,80,76,97,42,66
127,2017-07-05,513.0854505958526,513.0854505958526,508.1598302701324,509.3912353515625,8474053,92,85,100,97,42,77
128,2017-07-06,508.98084133328655,512.9500889970084,501.5924097655453,503.2342834472656,11327712,92,91,74,97,84,71
129,2017-07-07,502.4132539695091,508.15981079595775,499.12950721153845,506.9284057617188,9477013,86,86,80,87,61,84
130,2017-07-10,510.2121023026724,518.8319366939484,502.41320452008927,517.1900634765625,18519567,91,80,80,95,81,96
131,2017-07-11,517.1900634765625,517.1900634765625,517.1900634765625,517.1900634765625,0,100,91,86,86,70,94
132,2017-07-12,512.2645656111167,514.7273760227087,503.6447291705451,508.1598815917969,10753229,92,76,70,78,64,92
133,2017-07-13,506.928368355464,511.4435198145006,506.1074317265483,507.3388366699219,9087660,91,91,83,89,100,77
134,2017-07-14,508.980731839448,508.980731839448,499.9504285326191,502.4132385253906,6800085,80,74,79,76,67,66
135,2017-07-17,502.41330918589546,507.3389298641886,463.22755752976894,503.6447143554688,7440096,96,85,90,95,76,88
136,2017-07-18,504.0552202881257,507.3389676515663,501.8633329527115,503.2342834472656,8398796,97,91,73,85,59,86
137,2017-07-19,504.0550950670008,504.87603170391776,499.6753800708904,501.59228515625,6821619,90,95,79,89,77,81
138,2017-07-20,502.82377062868994,504.8761125496234,498.8545233154433,504.05517578125,7939914,85,84,73,93,64,84
139,2017-07-21,504.4656571579294,504.87612555268765,496.5107776632736,497.8981628417969,8690325,81,80,80,80,84,71
140,2017-07-24,496.256297960543,503.2342607937351,491.74114553906577,493.7934875488281,10617644,90,100,93,91,86,94
