,Date,Open,High,Low,Close,Volume,Legal & General,assurance,insurance,business,pensions,investment
25,2017-02-07,170.18229584691844,174.0025587323527,169.53356386738378,172.2726287841797,14317354,58,92,90,100,92,85
26,2017-02-08,172.05637158936472,173.4259094419932,170.88434705404126,171.6959686279297,10251538,29,94,87,93,85,91
27,2017-02-09,172.70509230944705,174.86750993770244,171.91220144630347,174.29086303710938,9882045,30,81,85,94,77,82
28,2017-02-10,174.57919107877206,176.23488016010248,174.55324532132627,175.1558380126953,10583018,45,81,82,83,60,77
29,2017-02-13,175.8766535890176,176.2370565676836,174.2908826826123,175.51625061035156,9351128,58,90,90,90,82,89
30,2017-02-14,175.51623221762952,176.16495311179708,173.75026000695124,175.80455017089844,8623034,44,85,84,90,81,90
31,2017-02-15,176.59743796952915,178.68777059094307,176.0207910743935,177.9669647216797,17120648,30,91,86,93,86,100
32,2017-02-16,177.60658898775324,178.18323597120323,176.09290302965178,177.0299530029297,11348027,59,78,89,96,100,98
33,2017-02-17,178.11113529209405,178.83194116377615,174.65126490829508,175.8766326904297,12834701,0,81,81,86,69,83
34,2017-02-20,176.3812143114399,177.89491121057745,176.30914031539228,177.10202026367188,6750469,30,92,84,93,74,89
35,2017-02-21,177.46240952252427,178.26899369642877,175.80455376081235,176.0207977294922,8381314,58,93,89,100,83,92
36,2017-02-22,176.52537893251272,177.75075788929183,175.5162549666519,176.7416229248047,11060690,44,88,89,99,97,98
37,2017-02-23,176.74160921139568,178.36342252980933,175.87664430796684,177.5345001220703,15386049,29,86,93,92,81,88
38,2017-02-24,177.10200345454527,178.90401816409218,176.81368550046776,178.18321228027344,17185582,77,87,88,83,66,81
39,2017-02-27,179.048183904994,179.05611391387257,177.678657073452,178.11114501953125,11426909,72,100,100,98,83,94
40,2017-02-28,178.75987600989615,179.26443797632794,177.53450809181157,178.9761199951172,15527980,29,93,99,97,76,94
41,2017-03-01,179.7689935357937,181.93141131368355,179.2644315873445,181.4268493652344,17969072,77,84,93,96,74,88
42,2017-03-02,180.7781168092162,182.4359725320745,180.70603182180395,181.64308166503903,14342343,97,100,90,94,83,92
43,2017-03-03,181.2826692107189,183.5892457047288,180.4177044002932,183.15676879882807,11469474,20,84,87,85,56,80
44,2017-03-06,182.94055258162243,184.95881144434728,182.4359906155977,183.94967651367188,13689684,95,90,100,99,71,85
45,2017-03-07,183.8055288319985,183.97924114113636,182.12172708256648,183.2288818359375,19263692,94,87,100,99,78,95
46,2017-03-08,183.22884936114556,185.3191929765537,178.2552932736953,179.3365020751953,27720596,79,89,97,97,100,93
47,2017-03-09,179.69691868684345,184.32160974977293,178.83195377953066,180.417724609375,24396752,59,91,93,95,69,88
48,2017-03-10,180.9943577705536,182.36388451967045,178.75985518133703,179.3365020751953,20894959,41,85,89,87,73,81
49,2017-03-13,179.91316717940842,181.15439509715335,178.25531131624612,179.7689971923828,15807891,19,95,92,96,69,88
50,2017-03-14,180.2014884750933,180.48980645720303,176.47204137325005,177.60658264160156,18711383,78,89,94,99,71,84
51,2017-03-15,177.53449695356005,180.26851322871696,177.53449695356005,179.69691467285156,17200367,0,80,93,95,79,90
52,2017-03-16,181.06643175814548,181.06643175814548,178.5436112213121,179.3365020751953,13734712,100,83,91,93,65,87
53,2017-03-17,179.55275859567834,181.5335340504908,179.48067360441914,180.12939453125,21271957,42,78,81,81,62,82
54,2017-03-20,180.20149270764384,181.4989456548641,179.91317471876212,180.7060546875,8232133,80,100,96,100,64,97
55,2017-03-21,181.0664708370539,182.94057089691728,180.12942080712224,181.28271484375,11453037,40,96,95,99,65,92
56,2017-03-22,180.8502044677734,181.7872543818365,179.336518605326,180.85020446777344,15968839,39,93,88,95,62,100
57,2017-03-23,181.2106183630504,181.2106183630504,179.19237042473983,179.62484741210938,10856493,40,84,87,90,56,89
58,2017-03-24,179.48070331166687,179.90741705423375,177.89493222912057,179.12030029296875,8819537,41,84,83,84,49,79
59,2017-03-27,178.75989585536988,178.75989585536988,176.09291573789827,178.32740783691406,10327615,20,86,93,96,73,89
60,2017-03-28,179.0481960621973,179.56861805329947,176.88577818222572,178.39947509765625,11706426,100,94,95,95,61,98
61,2017-03-29,178.75987975578,179.5441147998426,176.45330286188226,177.31826782226562,14221404,60,93,90,96,66,87
62,2017-03-30,176.8137249414741,178.11117802148965,175.22795384306733,178.03909301757812,11544270,81,81,91,91,64,89
63,2017-03-31,177.82282209781988,179.12027498151576,176.95785717489787,178.25531005859375,15122477,41,82,82,79,57,75
64,2017-04-03,178.25531377174167,178.9040347277899,176.21831325183868,176.5974578857422,11280383,37,95,96,96,87,91
65,2017-04-04,176.88577380716274,178.25531169644648,176.4172543442076,177.17410278320312,9920601,100,92,95,100,78,94
66,2017-04-05,177.67867289231907,177.67867289231907,176.0208169495823,176.7416229248047,13345076,25,85,93,98,74,100
67,2017-04-06,175.8045740386136,177.24618599792532,174.1798789442715,177.0299530029297,12681845,63,87,90,97,81,95
68,2017-04-07,176.81369420277537,177.6094667533251,175.58832633969905,177.5345001220703,14415074,39,82,85,85,80,78
69,2017-04-10,177.3182646594918,178.26036296862404,176.8857766877012,177.60658264160156,7827032,25,92,100,95,72,97
70,2017-04-11,177.1741011552848,178.83195700675034,176.8569447838674,178.25531005859375,15616488,13,90,93,96,77,95
71,2017-04-12,178.97612751399458,180.14959296541863,178.16449487497397,179.91317749023438,17089610,25,81,88,95,97,89
72,2017-04-13,180.2014881806854,183.0342502955453,179.55276722268533,181.3547821044922,25160232,13,100,86,89,92,86
73,2017-04-18,182.07557636379727,183.69017455508148,178.54362082311263,179.69691467285156,23159232,49,87,91,96,93,95
74,2017-04-19,179.7689935357937,183.44510815765668,179.7689935357937,181.4268493652344,21800215,49,91,91,95,78,87
75,2017-04-20,180.56188952034108,182.86846634842067,180.56188952034108,182.4359893798828,16925905,37,86,89,93,99,98
76,2017-04-21,183.08472638982687,184.67050840942764,182.86848238727887,183.44512939453125,15851750,13,82,84,83,88,77
77,2017-04-24,187.1933072968967,188.562834153304,185.53544047303436,187.7699432373047,27444250,12,87,97,97,94,96
78,2017-04-25,187.62577792833693,188.8951293348485,187.19331196088143,188.27452087402344,18418786,37,88,92,97,100,88
79,2017-04-26,188.56285661828667,188.77908962238843,186.6166715923559,188.20245361328125,19573151,36,87,94,97,93,89
80,2017-04-27,185.38781977793727,194.25190762802012,184.61024510600603,185.3127593994141,28349233,50,76,88,93,87,90
81,2017-04-28,185.31276328014167,186.21344203085923,184.63726566970956,184.7123260498047,15795553,0,75,81,81,94,81
82,2017-05-02,185.46291227832944,188.6152540279884,185.0125728344034,188.23997497558597,25389375,75,95,93,97,90,97
83,2017-05-03,188.46514486424624,188.46514486424624,186.60900926379117,187.6395263671875,11733448,56,100,93,98,85,93
84,2017-05-04,187.86471356191004,189.06559977078507,186.4589172750317,188.16493225097656,15299747,19,87,92,93,96,96
85,2017-05-05,188.46514469754896,188.99053308039083,187.18918675729444,188.23997497558597,15041272,20,82,88,86,93,84
86,2017-05-08,188.31499809865343,196.1583383807178,187.9134582716113,188.69027709960935,13679880,19,74,100,98,89,91
87,2017-05-09,189.36579882642067,190.04129649223603,188.7653500942476,189.96624755859372,12455991,19,93,89,100,100,100
88,2017-05-10,189.81615047045744,192.91295869369077,189.7411015274509,191.84266662597656,13603783,19,90,89,93,94,93
89,2017-05-11,191.9177028714484,192.4430912481673,189.891198302614,191.16714477539065,14556223,77,93,88,94,90,96
90,2017-05-12,191.69251108760588,192.5181294792808,190.7918437665282,191.61746215820312,14849296,40,81,81,84,87,83
91,2017-05-15,192.1428740923488,193.52841057871768,191.76759504138715,192.66827392578125,15134575,20,99,96,94,87,90
92,2017-05-16,192.59320915203492,193.41882762640645,192.1368685537577,193.0435485839844,11717953,100,89,92,90,93,92
93,2017-05-17,192.36802214977263,192.81836156806528,188.99052232300653,189.29074096679688,18981557,80,88,95,90,88,93
94,2017-05-18,189.74108492382973,190.5666919403058,185.16267605456216,188.3150177001953,24590628,60,85,88,90,95,87
95,2017-05-19,186.73885006392052,189.4603674865222,183.36133874969107,186.96401977539065,33581052,84,82,84,82,62,83
96,2017-05-22,187.939749258054,188.54019804646413,186.8139120745131,187.8647003173828,12942281,20,86,92,88,85,85
97,2017-05-23,187.63952390888645,190.19141685300423,187.5644635182798,189.7410888671875,16015467,98,88,87,91,79,86
98,2017-05-24,190.0412990288798,190.34152912527728,188.8404130011114,189.29074096679688,14204680,41,83,85,90,77,86
99,2017-05-25,189.96624100958783,190.79184796683228,188.99051328502028,189.21568298339844,6193407,0,63,88,84,66,84
100,2017-05-26,188.9905375009237,189.5159258960545,187.2447362848244,187.8647003173828,11035073,22,65,83,76,82,72
101,2017-05-30,187.4894039421352,189.2907386884097,186.21345754247344,188.76535034179688,13498794,40,91,96,89,90,82
102,2017-05-31,189.51591265040253,190.6417497552564,188.39007554554863,188.9905242919922,21481987,20,94,94,87,97,92
103,2017-06-01,189.1406142290901,191.9176765125674,188.5401655441908,191.3922882080078,18815380,14,84,94,94,90,87
104,2017-06-02,193.19364934422504,193.6439887829028,190.31902191461856,191.16714477539065,12672510,100,88,87,84,80,83
105,2017-06-05,191.0170509008936,191.46739037600597,189.6660439281652,190.56671142578125,10019724,27,70,99,92,100,95
106,2017-06-06,190.11637693476692,190.34154666466196,187.78964214686556,188.3900909423828,12380161,39,98,93,97,96,93
107,2017-06-07,188.16491017208844,192.14287032480317,188.16491017208844,190.64175415039065,16674426,40,85,87,97,85,90
108,2017-06-08,191.6174950872909,192.44310216823845,190.91346889623415,191.5424346923828,17433942,26,83,86,94,77,83
109,2017-06-09,189.81614143315093,194.3029754324749,187.4894181637746,193.7941131591797,21487107,42,87,85,88,78,82
110,2017-06-12,193.0435514159504,193.5689283399196,191.3923144429837,193.1936492919922,15079544,53,99,100,97,95,100
111,2017-06-13,194.1693797700906,196.0457749247872,193.39855059356464,193.94419860839844,25136278,52,97,94,95,98,98
112,2017-06-14,194.39454043691532,195.97071696744675,193.869140625,193.869140625,16622226,0,91,92,93,88,91
113,2017-06-15,194.1693708113856,194.54464982501003,190.19139952383827,193.2686920166016,16481797,14,92,90,92,58,88
114,2017-06-16,193.49386566337023,195.37026088083977,193.1185866198764,194.69476318359372,24303485,56,78,83,83,72,81
115,2017-06-19,195.67048885132604,196.61693227175488,195.25917993311117,195.59542846679688,2862037,27,92,92,97,82,96
116,2017-06-20,196.2709374640639,197.6969932317082,195.97071881380427,196.1958770751953,3493067,13,93,96,100,73,96
117,2017-06-21,196.5711491394324,196.052529284547,193.6439773191393,195.22015380859372,3030838,39,88,87,95,70,93
118,2017-06-22,195.595428463783,195.595428463783,192.08731177976068,192.96847534179688,6722911,13,79,90,95,60,97
119,2017-06-23,192.8183702440648,193.5689283399196,191.3727991995245,193.1936492919922,1205751,54,89,86,86,87,75
120,2017-06-26,193.49385705667183,196.66572528624903,192.74781133023475,195.7838287353516,3011166,28,100,96,94,86,85
121,2017-06-27,195.22017446204651,196.5268941525114,193.4188395286169,194.04330444335935,1332438,14,88,97,96,72,93
122,2017-06-28,194.3945569453036,195.52039414768956,192.7433198863843,194.544677734375,1281829,56,97,97,96,86,98
